Sandia National              Trajectory Analysis & Optimization Software
Laboratories                           (TAOS - Version 96.0)
-------------------------------------------------------------------------------
Ballistic Missile Intercept

Problem (intercept) / 1976 US Standard Atmosphere / Non-rotating WGS-84 Earth

Trajectory for vehicle: interceptor

 Time      East       Alt       Vel    Gamgd   Alpha    Dynprs
25.000   159.002   35000.0    730.00    0.000   0.000    196.695
25.500   158.943   34996.0    729.41   -1.259   0.000    196.406
26.000   158.883   34984.0    729.17   -2.518   0.000    196.368
26.500   158.823   34964.0    729.28   -3.776   0.000    196.580
27.000   158.763   34936.0    729.74   -5.031   0.000    197.041
27.000   158.763   34936.0    729.74   -5.031  10.000    197.041
27.500   158.681   34917.3   1268.67   -0.035  10.000    595.968
28.000   158.554   34944.8   1842.92    3.752  10.000   1256.261
28.500   158.378   35049.1   2456.79    7.246  10.000   2223.641
29.000   158.153   35269.8   3114.68   10.914  10.000   3543.810
30.000   157.545   36269.4   4600.80   18.829   8.671   7431.352
30.500   157.159   37159.4   5470.27   22.496   7.343  10067.147
31.000   156.713   38380.8   6461.27   25.766   5.651  13247.085
31.500   156.199   39980.3   7619.95   28.215   3.596  17065.785
32.000   155.604   41995.9   9003.70   29.762   1.541  21634.940
32.000   155.604   41995.9   9003.70   29.762   0.000  21634.940
32.250   155.284   43109.6   8955.59   29.723   0.000  20293.170
32.250   155.284   43109.6   8955.59   29.723   0.000  20293.170
32.500   154.966   44215.9   8904.93   29.684   0.000  19029.550
32.500   154.966   44215.9   8904.93   29.684   0.000  19029.550
33.000   154.327   46429.8   9001.47   29.605   0.000  17489.631
33.500   153.680   48663.5   9107.63   29.528   0.000  16089.808
34.000   153.025   50919.2   9223.24   29.451   0.000  14813.096
35.000   151.688   55503.8   9481.16   29.231  -0.483  12571.639
35.500   151.003   57826.4   9620.92   28.956  -0.966  11584.664
36.000   150.306   60159.2   9767.44   28.569  -1.449  10680.508
37.000   148.869   64826.9  10080.34   27.495  -2.573   9101.865
37.500   148.127   67146.0  10245.75   26.800  -3.213   8402.093
38.000   147.369   69443.7  10417.14   26.013  -3.854   7761.076
39.000   145.795   73943.9  10780.37   24.246  -4.625   6674.944
39.500   144.979   76139.1  10976.73   23.368  -4.756   6221.524
40.000   144.143   78297.8  11183.90   22.505  -4.886   5818.652
41.000   142.405   82505.7  11632.88   20.827  -5.003   5141.478
