Sandia National Laboratories
Trajectory Analysis & Optimization Software
(TAOS - Version 96.0)

Trajectory for a Strypi Sounding Rocket
2nd Stage Fires Down to Maximize Velocity

Problem (rocket) / 1976 US Standard Atmosphere / Non-rotating WGS-84 Earth
Trajectory for vehicle: rocket

   Time      Alt       Vel      Range    Gamgd   Pitchgd       Wt
  0.000      0.0      0.00      0.000   86.000    86.000  12000.00
  0.003      0.0      0.00      0.000   86.000    86.000  11999.88

  0.003      0.0      0.00      0.000   86.000    86.000  11999.88
  0.100      0.9     24.03      0.000   86.000    86.000  11955.09
  0.200      5.0     58.78      0.000   86.000    86.000  11892.52
  0.300     12.6     93.20      0.000   86.000    86.000  11830.77
  0.400     23.6    127.64      0.000   86.000    86.000  11769.26
  0.410     24.9    131.12      0.000   86.000    86.000  11763.05

  0.410     24.9    131.12      0.000   86.000    86.000  11763.05
  0.500     38.1    162.51      0.000   85.920    85.920  11707.29
  1.000    163.6    340.29      0.002   85.638    85.638  11395.82
  1.500    374.7    504.53      0.005   85.467    85.467  11111.35
  2.000    654.4    603.99      0.008   85.335    85.335  10930.61
  2.500    971.3    666.74      0.013   85.216    85.216  10806.96
  3.000   1318.5    726.75      0.018   85.104    85.104  10687.55

  3.000   1318.5    726.75      0.018   85.104    85.104  10337.55
  3.500   1696.2    789.54      0.023   84.999    84.999  10219.84
  4.000   2105.0    852.23      0.029   84.900    84.900  10102.67
  4.500   2545.0    914.74      0.035   84.807    84.807   9986.03
  5.000   3015.9    976.72      0.042   84.718    84.718   9869.69
  5.500   3517.4   1037.38      0.050   84.633    84.633   9753.27
  6.000   4048.3   1095.48      0.058   84.552    84.552   9636.77
  6.500   4607.4   1151.07      0.067   84.473    84.473   9520.20
  7.000   5194.1   1206.79      0.077   84.397    84.397   9403.54
  7.500   5808.5   1263.11      0.087   84.324    84.324   9286.81
  8.000   6451.1   1320.11      0.097   84.253    84.253   9170.00
  8.500   7122.1   1377.80      0.108   84.185    84.185   9053.11
  9.000   7822.0   1436.31      0.120   84.118    84.118   8936.14
  9.500   8551.0   1495.79      0.133   84.054    84.054   8819.09
 10.000   9309.9   1556.42      0.146   83.991    83.991   8701.97
 10.500  10099.1   1618.37      0.159   83.930    83.930   8584.76
 11.000  10919.4   1681.57      0.174   83.871    83.871   8467.48
 11.500  11771.3   1745.98      0.189   83.813    83.813   8350.12
