Time[1]    Alt[1]     Alt[2]    Alt[3]    Vel[1]   Vel[2]   Vel[3]
0.000      100000.0   80000.0   90000.0   9000.00  7000.00  8000.00
0.500      100000.0   80000.0   90000.0   8992.80  6987.89  7991.04
1.000      100000.0   80000.0   90000.0   8985.61  6975.80  7982.09
1.500      100000.0   80000.0   90000.0   8978.43  6963.73  7973.14
2.000      100000.0   80000.0   90000.0   8971.24  6951.68  7964.21
2.500      100000.0   80000.0   90000.0   8964.07  6939.65  7955.29
3.000      100000.0   80000.0   90000.0   8956.89  6927.64  7946.39
3.500      100000.0   80000.0   90000.0   8949.72  6915.65  7937.49
4.000      100000.0   80000.0   90000.0   8942.56  6903.67  7928.60
4.500      100000.0   80000.0   90000.0   8935.40  6891.72  7919.73
5.000      100000.0   80000.0   90000.0   8928.24  6879.78  7910.86
