Sandia National Laboratories
Trajectory Analysis & Optimization Software (TAOS - Version 96.0)

Example of two vehicles relative to each other
Problem (two) | 1976 US Standard Atmosphere | Non-rotating WGS-84 Earth
Trajectory for vehicle: vehicle-1

 Time[1]     Alt[1]     Alt[2]    Range[1]   Range[2]
   0.000   100000.0    80000.0       0.000      0.000
   0.500   100000.0    80000.0       0.737      0.573
   1.000   100000.0    80000.0       1.473      1.146
   1.500   100000.0    80000.0       2.209      1.717
   2.000   100000.0    80000.0       2.944      2.287
   2.500   100000.0    80000.0       3.678      2.857
   3.000   100000.0    80000.0       4.412      3.425
   3.500   100000.0    80000.0       5.145      3.993
   4.000   100000.0    80000.0       5.878      4.559
   4.500   100000.0    80000.0       6.610      5.124
   5.000   100000.0    80000.0       7.341      5.689
   5.500   100000.0    80000.0       8.072      6.252
   6.000   100000.0    80000.0       8.803      6.815
   6.500   100000.0    80000.0       9.532      7.376
   7.000   100000.0    80000.0      10.262      7.937
   7.500   100000.0    80000.0      10.990      8.497
   8.000   100000.0    80000.0      11.718      9.055
   8.500   100000.0    80000.0      12.446      9.613
   9.000   100000.0    80000.0      13.172     10.170
   9.500   100000.0    80000.0      13.899     10.725
  10.000   100000.0    80000.0      14.624     11.280
