id,catalog_status,roadmap_status,binding_documented,target_importable,verification_paths_exist,implementation_stage,historical_equivalence,target,documented_binding,verification_tests,source_pages,test_plan_units
TAOS-ALG-COORD-001,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.coordinates.ecic_coords,taoryx.coordinates.ecic_coords,tests/unit/test_coordinates.py,2-7,2
TAOS-ALG-COORD-002,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.coordinates.geocentric_unit_vectors,taoryx.coordinates.geocentric_unit_vectors,tests/unit/test_coordinates.py,2-8,2
TAOS-ALG-COORD-003,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.coordinates.geocentric_position_to_ecfc,taoryx.coordinates.geocentric_position_to_ecfc,tests/unit/test_coordinates.py,2-9,1
TAOS-ALG-COORD-004,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.coordinates.ecfc_position_to_geocentric,taoryx.coordinates.ecfc_position_to_geocentric,tests/unit/test_coordinates.py,2-10,0
TAOS-ALG-COORD-005,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.coordinates.ecfc_velocity_to_geocentric,taoryx.coordinates.ecfc_velocity_to_geocentric,tests/unit/test_coordinates.py,2-11,1
TAOS-ALG-COORD-006,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.coordinates.geocentric_velocity_to_ecfc,taoryx.coordinates.geocentric_velocity_to_ecfc,tests/unit/test_coordinates.py,2-11,0
TAOS-ALG-COORD-007,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.earth.resolve_ellipsoid_parameters,taoryx.earth.resolve_ellipsoid_parameters,tests/unit/test_earth.py,2-12,2
TAOS-ALG-COORD-008,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.coordinates.geodetic_unit_vectors,taoryx.coordinates.geodetic_unit_vectors,tests/unit/test_coordinates.py,2-13,0
TAOS-ALG-COORD-009,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.earth.ellipsoidal_surface_geometry,taoryx.earth.ellipsoidal_surface_geometry,tests/unit/test_earth.py,2-14;2-15,1
TAOS-ALG-COORD-010,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.coordinates.geodetic_position_to_ecfc,taoryx.coordinates.geodetic_position_to_ecfc,tests/unit/test_coordinates.py,2-16,1
TAOS-ALG-COORD-011,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.coordinates.ecfc_position_to_geodetic,taoryx.coordinates.ecfc_position_to_geodetic,tests/unit/test_coordinates.py,2-16;2-17,1
TAOS-ALG-COORD-012,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.coordinates.ecfc_velocity_to_geodetic,taoryx.coordinates.ecfc_velocity_to_geodetic,tests/unit/test_coordinates.py,2-18,0
TAOS-ALG-COORD-013,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.coordinates.geodetic_velocity_to_ecfc,taoryx.coordinates.geodetic_velocity_to_ecfc,tests/unit/test_coordinates.py,2-18,0
TAOS-ALG-COORD-014,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.attitude.euler_angles_to_body_basis,taoryx.attitude.euler_angles_to_body_basis,tests/unit/test_attitude.py,2-20,1
TAOS-ALG-COORD-015,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.attitude.body_basis_to_euler_angles,taoryx.attitude.body_basis_to_euler_angles,tests/unit/test_attitude.py,2-21;2-22,0
TAOS-ALG-COORD-016,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.coordinates.velocity_frames,taoryx.coordinates.velocity_frames,tests/unit/test_coordinates.py,2-24;2-25,0
TAOS-ALG-COORD-017,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.attitude.resolve_aerodynamic_attitude,taoryx.attitude.wind_to_body_aerodynamic,tests/unit/test_attitude.py,2-26;2-27;2-29;2-30,0
TAOS-ALG-COORD-018,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.coordinates.inertial_platform_coordinates,taoryx.coordinates.inertial_platform_coordinates,tests/unit/test_coordinates.py,2-32,1
TAOS-ALG-COORD-019,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.coordinates.tangent_plane_coordinates,taoryx.coordinates.tangent_plane_unit_vectors,tests/unit/test_coordinates.py,2-33,1
TAOS-ALG-COORD-020,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.linalg.transform_vector,taoryx.linalg.transform_vector,tests/unit/test_contracts.py,2-35,0
TAOS-ALG-DYN-001,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.dynamics.earth_fixed_derivatives,taoryx.dynamics.earth_fixed_derivatives,tests/unit/test_dynamics.py,2-36;2-37,1
TAOS-ALG-DYN-002,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.dynamics.assemble_state_derivatives,taoryx.dynamics.assemble_state_derivatives,tests/unit/test_dynamics.py,2-38;2-39,1
TAOS-ALG-DYN-003,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.integration.rk4_step,taoryx.integration.rk4_step,tests/unit/test_integration.py,2-40,1
TAOS-ALG-DYN-004,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.dynamics.apply_rail_constraint,taoryx.dynamics.apply_rail_constraint,tests/unit/test_dynamics.py,2-41,2
TAOS-ALG-DYN-005,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.state_rates.longitude_and_geocentric_latitude_rates,taoryx.state_rates.longitude_and_geocentric_latitude_rates,tests/unit/test_state_rates.py,2-42;2-43,1
TAOS-ALG-DYN-006,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.state_rates.geodetic_latitude_and_altitude_rates,taoryx.state_rates.geodetic_latitude_and_altitude_rates,tests/unit/test_state_rates.py,2-43,0
TAOS-ALG-DYN-007,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.state_rates.altitude_acceleration,taoryx.state_rates.altitude_acceleration,tests/unit/test_state_rates.py,2-44,0
TAOS-ALG-DYN-008,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.state_rates.dynamic_pressure_derivatives,taoryx.state_rates.dynamic_pressure_derivatives,tests/unit/test_state_rates.py,2-44,1
TAOS-ALG-DYN-009,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.state_rates.mach_rate,taoryx.state_rates.mach_rate,tests/unit/test_state_rates.py,2-45,0
TAOS-ALG-DYN-010,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.state_rates.ground_speed,taoryx.state_rates.ground_speed,tests/unit/test_state_rates.py,2-46,2
TAOS-ALG-DYN-011,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.state_rates.flight_path_angle_rates,taoryx.state_rates.flight_path_angle_rates,tests/unit/test_state_rates.py,2-47;2-48;2-49,1
TAOS-ALG-DYN-012,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.dynamics.specific_load_factors,taoryx.dynamics.specific_load_factors,tests/unit/test_dynamics.py,2-50,0
TAOS-ALG-ENV-001,cataloged,complete,true,true,true,unit_verified,unverified,taos_math.dynamics.combine_acceleration_contributions,taoryx.dynamics.combine_acceleration_contributions,tests/unit/test_dynamics.py,2-51,0
