equation,section,manual_page,pdf_page,algorithm_ids,mapping_status,notes
1-1,Trajectory Simulation,1-2,19,[],documentation_only,"documentation_only: six-degree-of-freedom context, not a TAOS point-mass runtime algorithm"
1-2,Trajectory Simulation,1-2,19,"[""TAOS-ALG-DYN-001""]",mapped,primary point-mass force equation
2-1,ECIC Coordinate System,2-7,36,"[""TAOS-ALG-COORD-001""]",mapped,Earth rotation angle
2-2,ECIC Coordinate System,2-7,36,"[""TAOS-ALG-COORD-001""]",mapped,Earth rotation rate
2-3,ECIC Coordinate System,2-7,36,"[""TAOS-ALG-COORD-001""]",mapped,ECIC position components
2-4,ECIC Coordinate System,2-7,36,"[""TAOS-ALG-COORD-001""]",mapped,ECIC velocity components
2-5,ECIC Coordinate System,2-7,36,"[""TAOS-ALG-COORD-001""]",mapped,ECIC acceleration components
2-6,Local Geocentric Horizon,2-8,37,"[""TAOS-ALG-COORD-002""]",mapped,Local geocentric horizon unit vectors
2-7,Geocentric Coordinate System,2-9,38,"[""TAOS-ALG-COORD-003""]",mapped,Geocentric position components in ECFC coordinates
2-8,Geocentric Coordinate System,2-10,39,"[""TAOS-ALG-COORD-004""]",mapped,Longitude from ECFC position
2-9,Geocentric Coordinate System,2-10,39,"[""TAOS-ALG-COORD-004""]",mapped,Geocentric latitude from ECFC position
2-10,Geocentric Coordinate System,2-11,40,"[""TAOS-ALG-COORD-005""]",mapped,Local geocentric north velocity component
2-11,Geocentric Coordinate System,2-11,40,"[""TAOS-ALG-COORD-005""]",mapped,Local geocentric east velocity component
2-12,Geocentric Coordinate System,2-11,40,"[""TAOS-ALG-COORD-005""]",mapped,Local geocentric down velocity component
2-13,Geocentric Coordinate System,2-11,40,"[""TAOS-ALG-COORD-005""]",mapped,Geocentric vertical flight-path angle
2-14,Geocentric Coordinate System,2-11,40,"[""TAOS-ALG-COORD-005""]",mapped,Geocentric heading angle
2-15,Geocentric Coordinate System,2-11,40,"[""TAOS-ALG-COORD-006""]",mapped,Geocentric-to-ECFC x velocity transformation
2-16,Geocentric Coordinate System,2-11,40,"[""TAOS-ALG-COORD-006""]",mapped,Geocentric-to-ECFC y velocity transformation
2-17,Geocentric Coordinate System,2-11,40,"[""TAOS-ALG-COORD-006""]",mapped,Geocentric-to-ECFC z velocity transformation
2-18,Local Geodetic Horizon,2-12,41,"[""TAOS-ALG-COORD-007""]",mapped,Ellipsoid radius eccentricity and flattening relation
2-19,Local Geodetic Horizon,2-13,42,"[""TAOS-ALG-COORD-008""]",mapped,Local geodetic north unit vector
2-20,Local Geodetic Horizon,2-13,42,"[""TAOS-ALG-COORD-008""]",mapped,Local geodetic east unit vector
2-21,Local Geodetic Horizon,2-13,42,"[""TAOS-ALG-COORD-008""]",mapped,Local geodetic down unit vector
2-22,Geodetic Coordinate System,2-14,43,"[""TAOS-ALG-COORD-009""]",mapped,Ellipsoid surface equation
2-23,Geodetic Coordinate System,2-14,43,"[""TAOS-ALG-COORD-009""]",mapped,Ellipsoid meridional section equation
2-24,Geodetic Coordinate System,2-15,44,"[""TAOS-ALG-COORD-009""]",mapped,Geodetic latitude from surface-normal slope
2-25,Geodetic Coordinate System,2-15,44,"[""TAOS-ALG-COORD-009""]",mapped,Ellipsoid surface coordinate ratio
2-26,Geodetic Coordinate System,2-15,44,"[""TAOS-ALG-COORD-009""]",mapped,Ellipsoid surface x coordinate
2-27,Geodetic Coordinate System,2-15,44,"[""TAOS-ALG-COORD-009""]",mapped,Surface x coordinate in terms of normal radius
2-28,Geodetic Coordinate System,2-15,44,"[""TAOS-ALG-COORD-009""]",mapped,Prime vertical radius of curvature
2-29,Geodetic Coordinate System,2-15,44,"[""TAOS-ALG-COORD-009""]",mapped,Ellipsoid surface z coordinate
2-30,Geodetic Coordinate System,2-16,45,"[""TAOS-ALG-COORD-010""]",mapped,Geodetic position ECFC x component
2-31,Geodetic Coordinate System,2-16,45,"[""TAOS-ALG-COORD-010""]",mapped,Geodetic position ECFC y component
2-32,Geodetic Coordinate System,2-16,45,"[""TAOS-ALG-COORD-010""]",mapped,Geodetic position ECFC z component
2-33,Geodetic Coordinate System,2-16,45,"[""TAOS-ALG-COORD-010""]",mapped,Equatorial projection of geodetic position
2-34,Geodetic Coordinate System,2-16,45,"[""TAOS-ALG-COORD-011""]",mapped,Surface-normal z-axis intercept
2-35,Geodetic Coordinate System,2-17,46,"[""TAOS-ALG-COORD-011""]",mapped,Initial spherical estimate of geodetic latitude
2-36,Geodetic Coordinate System,2-17,46,"[""TAOS-ALG-COORD-011""]",mapped,Initial z-axis intercept estimate
2-37,Geodetic Coordinate System,2-17,46,"[""TAOS-ALG-COORD-011""]",mapped,Iteration shifted z coordinate
2-38,Geodetic Coordinate System,2-17,46,"[""TAOS-ALG-COORD-011""]",mapped,Iteration radius and altitude relation
2-39,Geodetic Coordinate System,2-17,46,"[""TAOS-ALG-COORD-011""]",mapped,Iteration geodetic latitude relation
2-40,Geodetic Coordinate System,2-17,46,"[""TAOS-ALG-COORD-011""]",mapped,Iteration normal radius
2-41,Geodetic Coordinate System,2-17,46,"[""TAOS-ALG-COORD-011""]",mapped,Iteration z-axis intercept update
2-42,Geodetic Coordinate System,2-18,47,"[""TAOS-ALG-COORD-012""]",mapped,Local geodetic north velocity component
2-43,Geodetic Coordinate System,2-18,47,"[""TAOS-ALG-COORD-012""]",mapped,Local geodetic east velocity component
2-44,Geodetic Coordinate System,2-18,47,"[""TAOS-ALG-COORD-012""]",mapped,Local geodetic down velocity component
2-45,Geodetic Coordinate System,2-18,47,"[""TAOS-ALG-COORD-012""]",mapped,Geodetic vertical flight-path angle
2-46,Geodetic Coordinate System,2-18,47,"[""TAOS-ALG-COORD-012""]",mapped,Geodetic heading angle
2-47,Geodetic Coordinate System,2-18,47,"[""TAOS-ALG-COORD-013""]",mapped,Geodetic-to-ECFC x velocity transformation
2-48,Geodetic Coordinate System,2-18,47,"[""TAOS-ALG-COORD-013""]",mapped,Geodetic-to-ECFC y velocity transformation
2-49,Geodetic Coordinate System,2-18,47,"[""TAOS-ALG-COORD-013""]",mapped,Geodetic-to-ECFC z velocity transformation
2-50,Body-Fixed Cartesian Coordinate System,2-20,49,"[""TAOS-ALG-COORD-014""]",mapped,Geodetic Euler rotation matrix
2-51,Body-Fixed Cartesian Coordinate System,2-20,49,"[""TAOS-ALG-COORD-014""]",mapped,Body x unit vector from geodetic Euler angles
2-52,Body-Fixed Cartesian Coordinate System,2-20,49,"[""TAOS-ALG-COORD-014""]",mapped,Body y unit vector from geodetic Euler angles
2-53,Body-Fixed Cartesian Coordinate System,2-20,49,"[""TAOS-ALG-COORD-014""]",mapped,Body z unit vector from geodetic Euler angles
2-54,Body-Fixed Cartesian Coordinate System,2-21,50,"[""TAOS-ALG-COORD-015""]",mapped,Cosine of geodetic Euler yaw angle
2-55,Body-Fixed Cartesian Coordinate System,2-21,50,"[""TAOS-ALG-COORD-015""]",mapped,Sine of geodetic Euler yaw angle
2-56,Body-Fixed Cartesian Coordinate System,2-21,50,"[""TAOS-ALG-COORD-015""]",mapped,Geodetic Euler pitch relation
2-57,Body-Fixed Cartesian Coordinate System,2-21,50,"[""TAOS-ALG-COORD-015""]",mapped,Geodetic Euler roll relation
2-58,Body-Fixed Cartesian Coordinate System,2-21,50,"[""TAOS-ALG-COORD-015""]",mapped,Intermediate y axis for Euler-angle recovery
2-59,Body-Fixed Cartesian Coordinate System,2-21,50,"[""TAOS-ALG-COORD-015""]",mapped,Linear system for intermediate x axis
2-60,Body-Fixed Cartesian Coordinate System,2-21,50,"[""TAOS-ALG-COORD-015""]",mapped,Explicit intermediate x axis
2-61,Body-Fixed Cartesian Coordinate System,2-22,51,"[""TAOS-ALG-COORD-015""]",mapped,Vertical-body Euler-angle singularity convention
2-62,Velocity Cartesian Coordinate Systems,2-24,53,"[""TAOS-ALG-COORD-016""]",mapped,Wind-corrected velocity
2-63,Velocity Cartesian Coordinate Systems,2-24,53,"[""TAOS-ALG-COORD-016""]",mapped,Wind-relative velocity x unit vector
2-64,Velocity Cartesian Coordinate Systems,2-25,54,"[""TAOS-ALG-COORD-016""]",mapped,Wind-relative velocity y unit vector
2-65,Velocity Cartesian Coordinate Systems,2-25,54,"[""TAOS-ALG-COORD-016""]",mapped,Wind-relative velocity z unit vector
2-66,Velocity Cartesian Coordinate Systems,2-25,54,"[""TAOS-ALG-COORD-016""]",mapped,Earth-relative velocity x unit vector
2-67,Velocity Cartesian Coordinate Systems,2-25,54,"[""TAOS-ALG-COORD-016""]",mapped,Geodetic-to-velocity transformation matrix
2-68,Velocity Cartesian Coordinate Systems,2-25,54,"[""TAOS-ALG-COORD-016""]",mapped,Velocity x unit vector from geodetic flight-path angles
2-69,Velocity Cartesian Coordinate Systems,2-25,54,"[""TAOS-ALG-COORD-016""]",mapped,Velocity y unit vector from geodetic heading
2-70,Velocity Cartesian Coordinate Systems,2-25,54,"[""TAOS-ALG-COORD-016""]",mapped,Velocity z unit vector from geodetic flight-path angles
2-71,Wind Cartesian Coordinate System,2-26,55,"[""TAOS-ALG-COORD-017""]",mapped,Wind unit vectors from bank angle
2-72,Wind Cartesian Coordinate System,2-27,56,"[""TAOS-ALG-COORD-017""]",mapped,Wind-to-body aerodynamic rotation matrix
2-73,Wind Cartesian Coordinate System,2-27,56,"[""TAOS-ALG-COORD-017""]",mapped,Body x unit vector from angle of attack and Euler sideslip
2-74,Wind Cartesian Coordinate System,2-27,56,"[""TAOS-ALG-COORD-017""]",mapped,Body y unit vector from Euler sideslip
2-75,Wind Cartesian Coordinate System,2-27,56,"[""TAOS-ALG-COORD-017""]",mapped,Body z unit vector from angle of attack and Euler sideslip
2-76,Wind Cartesian Coordinate System,2-27,56,"[""TAOS-ALG-COORD-017""]",mapped,Angle of attack projection definition
2-77,Wind Cartesian Coordinate System,2-27,56,"[""TAOS-ALG-COORD-017""]",mapped,Sideslip projection definition
2-78,Wind Cartesian Coordinate System,2-29,58,"[""TAOS-ALG-COORD-017""]",mapped,Sideslip definition at ninety-degree angle of attack
