legacy_module,legacy_function,algorithm_id,target_module,target_symbol
coords,ecic_coords,TAOS-ALG-COORD-001,coordinates,ecic_coords
coords,geoc_unit_vectors,TAOS-ALG-COORD-002,coordinates,geocentric_unit_vectors
coords,p_geocentric_to_ecfc,TAOS-ALG-COORD-003,coordinates,geocentric_position_to_ecfc
coords,p_ecfc_to_geocentric,TAOS-ALG-COORD-004,coordinates,ecfc_position_to_geocentric
coords,v_ecfc_to_geocentric,TAOS-ALG-COORD-005,coordinates,ecfc_velocity_to_geocentric
coords,v_geocentric_to_ecfc,TAOS-ALG-COORD-006,coordinates,geocentric_velocity_to_ecfc
coords,geod_unit_vectors,TAOS-ALG-COORD-008,coordinates,geodetic_unit_vectors
coords,p_geodetic_to_ecfc,TAOS-ALG-COORD-010,coordinates,geodetic_position_to_ecfc
coords,p_ecfc_to_geodetic,TAOS-ALG-COORD-011,coordinates,ecfc_position_to_geodetic
coords,v_ecfc_to_geodetic,TAOS-ALG-COORD-012,coordinates,ecfc_velocity_to_geodetic
coords,v_geodetic_to_ecfc,TAOS-ALG-COORD-013,coordinates,geodetic_velocity_to_ecfc
coords,euler_to_body,TAOS-ALG-COORD-014,attitude,euler_angles_to_body_basis
coords,euler_angles,TAOS-ALG-COORD-015,attitude,body_basis_to_euler_angles
coords,wind_unit_vectors,TAOS-ALG-COORD-016,coordinates,velocity_frames
derivs,wind_unit_vectors,TAOS-ALG-COORD-017,attitude,resolve_aerodynamic_attitude
derivs,body_attitude,TAOS-ALG-COORD-017,attitude,resolve_aerodynamic_attitude
coords,inertial_platform_coords,TAOS-ALG-COORD-018,coordinates,inertial_platform_coordinates
coords,tangent_plane_unit_vectors,TAOS-ALG-COORD-019,coordinates,tangent_plane_coordinates
coords,tangent_plane_coords,TAOS-ALG-COORD-019,coordinates,tangent_plane_coordinates
derivs,compute_derivs,TAOS-ALG-DYN-002,dynamics,assemble_state_derivatives
derivs,integration_step,TAOS-ALG-DYN-003,integration,rk4_step
derivs,compute_state_rates,TAOS-ALG-DYN-005,state_rates,longitude_and_geocentric_latitude_rates
derivs,compute_state_rates,TAOS-ALG-DYN-006,state_rates,geodetic_latitude_and_altitude_rates
derivs,compute_state_rates,TAOS-ALG-DYN-010,state_rates,ground_speed
derivs,compute_rates,TAOS-ALG-DYN-011,state_rates,flight_path_angle_rates
derivs,compute_derivs,TAOS-ALG-DYN-012,dynamics,specific_load_factors
atmos,atmos_setup,TAOS-ALG-ENV-002,atmosphere,prepare_atmosphere_model
atmos,atmos_properties,TAOS-ALG-ENV-004,atmosphere,atmosphere_properties
atmos,atmos_hi_alt,TAOS-ALG-ENV-005,atmosphere,high_altitude_atmosphere
derivs,force_aero,TAOS-ALG-FORCE-001,aerodynamics,force_from_axial_normal_coefficients
derivs,force_aero,TAOS-ALG-FORCE-004,aerodynamics,evaluate_aerodynamic_forces
derivs,force_prop,TAOS-ALG-FORCE-005,propulsion,evaluate_propulsive_forces
derivs,accel_grav,TAOS-ALG-GRAV-004,gravity,gravity_acceleration_full
derivs,accel_grav,TAOS-ALG-GRAV-005,gravity,gravity_acceleration_j2
derivs,sodano_inverse,TAOS-ALG-GEO-001,geodesy,sodano_inverse
derivs,sodano_direct,TAOS-ALG-GEO-003,geodesy,sodano_direct
derivs,radar_out,TAOS-ALG-RADAR-001,radar,radar_observations
path,vehicle_obs,TAOS-ALG-REL-001,relative_motion,relative_vehicle_observations
derivs,iip_derivs,TAOS-ALG-IIP-001,iip,iip_derivatives
derivs,iip_calc,TAOS-ALG-IIP-003,iip,initial_impact_point
derivs,iip_out,TAOS-ALG-IIP-003,iip,initial_impact_point
derivs,maxld,TAOS-ALG-AERO-002,aerodynamics,maximum_lift_to_drag
derivs,compute_derivs,TAOS-ALG-GUID-002,guidance,solve_guidance
derivs,parab_guidance_correction,TAOS-ALG-GUID-003,guidance,parabolic_guidance_correction
derivs,cubic_guidance_correction,TAOS-ALG-GUID-004,guidance,cubic_guidance_correction
derivs,intercept,TAOS-ALG-GUID-006,guidance,predictive_intercept
derivs,prop_nav,TAOS-ALG-GUID-007,guidance,proportional_navigation
derivs,range_insensitive_axis,TAOS-ALG-GUID-008,guidance,range_insensitive_axis
vf02,vf02ad,TAOS-ALG-OPT-002,optimization,han_powell_rqp
main,main,TAOS-ALG-EXEC-001,engine,run_taos
path,compute_trajectories,TAOS-ALG-EXEC-003,engine,compute_trajectories
path,get_next_time_step,TAOS-ALG-EXEC-004,engine,get_next_time_step
derivs,integration_step,TAOS-ALG-EXEC-005,engine,integrate_active_vehicles
path,check_final_conditions,TAOS-ALG-EXEC-006,events,refine_segment_final_condition
search,search_function_hit,TAOS-ALG-EXEC-007,engine,dispatch_search_and_restart
path,add_new_vehicles,TAOS-ALG-EXEC-008,engine,activate_dependent_vehicles
derivs,compute_derivs,TAOS-ALG-EXEC-009,engine,compute_derivatives
