equation,section,manual_page,pdf_page,status,notes
1-1,Trajectory Simulation,1-2,19,visually_verified,Force and moment equations share one source number
1-2,Trajectory Simulation,1-2,19,visually_verified,Point-mass force equation
2-1,ECIC Coordinate System,2-7,36,visually_verified,Earth rotation angle
2-2,ECIC Coordinate System,2-7,36,visually_verified,Earth rotation rate
2-3,ECIC Coordinate System,2-7,36,visually_verified,ECIC position components
2-4,ECIC Coordinate System,2-7,36,visually_verified,ECIC velocity components
2-5,ECIC Coordinate System,2-7,36,visually_verified,ECIC acceleration components
2-6,Local Geocentric Horizon,2-8,37,visually_verified,Local geocentric horizon unit vectors
2-7,Geocentric Coordinate System,2-9,38,visually_verified,Geocentric position components in ECFC coordinates
2-8,Geocentric Coordinate System,2-10,39,visually_verified,Longitude from ECFC position
2-9,Geocentric Coordinate System,2-10,39,visually_verified,Geocentric latitude from ECFC position
2-10,Geocentric Coordinate System,2-11,40,visually_verified,Local geocentric north velocity component
2-11,Geocentric Coordinate System,2-11,40,visually_verified,Local geocentric east velocity component
2-12,Geocentric Coordinate System,2-11,40,visually_verified,Local geocentric down velocity component
2-13,Geocentric Coordinate System,2-11,40,visually_verified,Geocentric vertical flight-path angle
2-14,Geocentric Coordinate System,2-11,40,visually_verified,Geocentric heading angle
2-15,Geocentric Coordinate System,2-11,40,visually_verified,Geocentric-to-ECFC x velocity transformation
2-16,Geocentric Coordinate System,2-11,40,visually_verified,Geocentric-to-ECFC y velocity transformation
2-17,Geocentric Coordinate System,2-11,40,visually_verified,Geocentric-to-ECFC z velocity transformation
2-18,Local Geodetic Horizon,2-12,41,visually_verified,Ellipsoid radius eccentricity and flattening relation
2-19,Local Geodetic Horizon,2-13,42,visually_verified,Local geodetic north unit vector
2-20,Local Geodetic Horizon,2-13,42,visually_verified,Local geodetic east unit vector
2-21,Local Geodetic Horizon,2-13,42,visually_verified,Local geodetic down unit vector
2-22,Geodetic Coordinate System,2-14,43,visually_verified,Ellipsoid surface equation
2-23,Geodetic Coordinate System,2-14,43,visually_verified,Ellipsoid meridional section equation
2-24,Geodetic Coordinate System,2-15,44,visually_verified,Geodetic latitude from surface-normal slope
2-25,Geodetic Coordinate System,2-15,44,visually_verified,Ellipsoid surface coordinate ratio
2-26,Geodetic Coordinate System,2-15,44,visually_verified,Ellipsoid surface x coordinate
2-27,Geodetic Coordinate System,2-15,44,visually_verified,Surface x coordinate in terms of normal radius
2-28,Geodetic Coordinate System,2-15,44,visually_verified,Prime vertical radius of curvature
2-29,Geodetic Coordinate System,2-15,44,visually_verified,Ellipsoid surface z coordinate
2-30,Geodetic Coordinate System,2-16,45,visually_verified,Geodetic position ECFC x component
2-31,Geodetic Coordinate System,2-16,45,visually_verified,Geodetic position ECFC y component
2-32,Geodetic Coordinate System,2-16,45,visually_verified,Geodetic position ECFC z component
2-33,Geodetic Coordinate System,2-16,45,visually_verified,Equatorial projection of geodetic position
