equation,latex_label,section,source_manual_page,source_pdf_page,source_pdf_sha256,reconstructed_page,reconstructed_section,tex_file,tex_line_start,tex_line_end,tex_label_line,latex_snippet_sha256,transcription_status,verification_scope,validation_suite,code_implementation_status,notes
1-1,eq:force-equation,Trajectory Simulation,1-2,19,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,1-1,Trajectory Simulation,manual/chapters/01_introduction.tex,38,44,43,0945ec72ebdac63c7bd69e450083e5c55d3f7c72e3c72402424c1ff44aac0b1e,visually_verified,visual transcription plus repository structural validation,tools/check_manifest.py,not yet mapped to an executable mathematics implementation,Force and moment equations share one source number
1-2,eq:point-mass-force,Trajectory Simulation,1-2,19,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,1-2,Trajectory Simulation,manual/chapters/01_introduction.tex,58,61,60,097ea600ee987635ace67db6c5d68530208a15dbde17cc3418d3b9bb9d8cae6b,visually_verified,visual transcription plus repository structural validation,tools/check_manifest.py,not yet mapped to an executable mathematics implementation,Point-mass force equation
2-1,eq:ecic-rotation-angle,ECIC Coordinate System,2-7,36,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-4,"Earth-Centered, Inertial, Cartesian (ECIC) Coordinate System",manual/chapters/chapter02/01_02_ecic.tex,11,15,14,a6c4f2ae442138b29d30bb01b8788ba047b6e37cc2bfb12b0bae4fabe928514b,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part1.py,implemented,Earth rotation angle
2-2,eq:earth-rotation-rate,ECIC Coordinate System,2-7,36,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-4,"Earth-Centered, Inertial, Cartesian (ECIC) Coordinate System",manual/chapters/chapter02/01_02_ecic.tex,17,22,21,612a4d4fe2c7d3f34c6dd6efac4344a440d20040f132759d805aaa93d66609c8,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part1.py,implemented,Earth rotation rate
2-3,eq:ecic-position-components,ECIC Coordinate System,2-7,36,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-5,"Earth-Centered, Inertial, Cartesian (ECIC) Coordinate System",manual/chapters/chapter02/01_02_ecic.tex,32,47,46,8d4d24fd6fd0ea3066be3e5d749b778f8529c7d01def954910922a3708a378f4,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part1.py,implemented,ECIC position components
2-4,eq:ecic-velocity-components,ECIC Coordinate System,2-7,36,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-5,"Earth-Centered, Inertial, Cartesian (ECIC) Coordinate System",manual/chapters/chapter02/01_02_ecic.tex,50,71,70,069922c359021e95d834a8723965d2a914456e096374484606ca5ab28e83bdb1,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part1.py,implemented,ECIC velocity components
2-5,eq:ecic-acceleration-components,ECIC Coordinate System,2-7,36,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-5,"Earth-Centered, Inertial, Cartesian (ECIC) Coordinate System",manual/chapters/chapter02/01_02_ecic.tex,74,89,88,f5ab66606dec642d0100e3a497ad7fad554527d35d1b3930172bdc21a8eed162,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part1.py,implemented,ECIC acceleration components
2-6,eq:local-geocentric-unit-vectors,Local Geocentric Horizon,2-8,37,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-6,Local Geocentric Horizon Coordinate System,manual/chapters/chapter02/01_03_local_geocentric.tex,24,41,40,f6e6ce6cc769753f3ebdd52903409ebc2bb18385f5a3c02b1b27d8c4d5a5aef6,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part1.py,implemented,Local geocentric horizon unit vectors
2-7,eq:geocentric-position-to-ecfc,Geocentric Coordinate System,2-9,38,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-6,Geocentric Coordinate System,manual/chapters/chapter02/01_04_geocentric.tex,32,42,41,df9ee1f3df1205a8c7ed3050c0c6c58ccca5c264ac7401c45cf81f8d6e807227,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part1.py,implemented,Geocentric position components in ECFC coordinates
2-8,eq:longitude-from-ecfc,Geocentric Coordinate System,2-10,39,da9686bf1191d28b5bf4242a43040c30e13f1e9a375d7868654f4172b9181f5b,2-6,Geocentric Coordinate System,manual/chapters/chapter02/01_04_geocentric.tex,46,51,50,0b6d86cd8fd6b4d8911421b31b5a566ad17a6a71ecd313448be9b7d846cac198,visually_verified,visual transcription plus section-level structural and selected numerical checks,tools/check_chapter02_part1.py,implemented,Longitude from ECFC position
