acceleration_ecic_x_m_s2,acceleration_ecic_y_m_s2,acceleration_ecic_z_m_s2,aero_force_body_x_n,aero_force_body_y_n,aero_force_body_z_n,aero_moment_body_x_nm,aero_moment_body_y_nm,aero_moment_body_z_nm,air_relative_speed_m_s,air_relative_velocity_m_s,angular_acceleration_body_x_rad_s2,angular_acceleration_body_y_rad_s2,angular_acceleration_body_z_rad_s2,attitude_quaternion,attitude_rate_rad_s,body_id,candidate_index,configuration_variant_id,deployment_time_s,drag_force_n,event_id,fidelity,force_body_x_n,force_body_y_n,force_body_z_n,force_ecic_x_n,force_ecic_y_n,force_ecic_z_n,gravity_force_body_x_n,gravity_force_body_y_n,gravity_force_body_z_n,heat_rate_w_m2,inertia_x_kg_m2,inertia_xz_kg_m2,inertia_y_kg_m2,inertia_z_kg_m2,mass_kg,mass_property_profile_id,moment_body_x_nm,moment_body_y_nm,moment_body_z_nm,parent_event_id,phase,pitch_deg,position_m,projected_area_m2,propellant_mass_rate_kg_s,propulsion_force_body_x_n,propulsion_force_body_y_n,propulsion_force_body_z_n,propulsion_moment_body_x_nm,propulsion_moment_body_y_nm,propulsion_moment_body_z_nm,query_id,roll_deg,rotation_equation_residual_nm,rotation_equation_residual_normalized,shape,speed_m_s,termination,time_s,total_force_body_x_n,total_force_body_y_n,total_force_body_z_n,total_force_ecic_n,total_force_ecic_x_n,total_force_ecic_y_n,total_force_ecic_z_n,total_moment_body_x_nm,total_moment_body_y_nm,total_moment_body_z_nm,translation_equation_residual_n,translation_equation_residual_normalized,velocity_m_s,wind_velocity_m_s,yaw_deg
,,,,,,,,,138.87066417186614,"[99.44789782155023, 0.0, 96.92872116359388]",,,,,,hl20-synthetic-spent-booster,0,nominal,25.0,3230.496245398106,booster-release,point_mass_3dof,,,,,,,,,,,,,,,1500.0,generic_slender_body_v1,,,,booster-release,ballistic,,"[3454.580460000464, 0.0, 4109.084147580231]",7.391596196356832,,,,,,,,query-000000,,,,cylinder,138.87066417186614,,25.0,,,,,,,,,,,,,"[99.44789782155023, 0.0, 96.92872116359388]","[0.0, 0.0, 0.0]",
,,,,,,,,,130.20390728351373,"[97.9734712220269, 0.0, 85.7569612836212]",,,,,,hl20-synthetic-spent-booster,0,nominal,25.0,2809.5086591412964,booster-release,point_mass_3dof,,,,,,,,,,,,,,,1500.0,generic_slender_body_v1,,,,booster-release,ballistic,,"[3553.2800679401053, 0.0, 4200.404524115882]",7.391596196356832,,,,,,,,query-000000,,,,cylinder,130.20390728351373,,26.0,,,,,,,,,,,,,"[97.9734712220269, 0.0, 85.7569612836212]","[0.0, 0.0, 0.0]",
,,,,,,,,,122.21528231687788,"[96.6238533128654, 0.0, 74.83586174267008]",,,,,,hl20-synthetic-spent-booster,0,nominal,25.0,2452.0636522408604,booster-release,point_mass_3dof,,,,,,,,,,,,,,,1500.0,generic_slender_body_v1,,,,booster-release,ballistic,,"[3650.5689834831405, 0.0, 4280.68154867878]",7.391596196356832,,,,,,,,query-000000,,,,cylinder,122.21528231687788,,27.0,,,,,,,,,,,,,"[96.6238533128654, 0.0, 74.83586174267008]","[0.0, 0.0, 0.0]",
,,,,,,,,,114.93852149285767,"[95.38378031553404, 0.0, 64.13110146942782]",,,,,,hl20-synthetic-spent-booster,0,nominal,25.0,2151.110026713343,booster-release,point_mass_3dof,,,,,,,,,,,,,,,1500.0,generic_slender_body_v1,,,,booster-release,ballistic,,"[3746.564273947494, 0.0, 4350.148295633937]",7.391596196356832,,,,,,,,query-000000,,,,cylinder,114.93852149285767,,28.0,,,,,,,,,,,,,"[95.38378031553404, 0.0, 64.13110146942782]","[0.0, 0.0, 0.0]",
,,,,,,,,,108.42222109159076,"[94.23910103269534, 0.0, 53.613150093827045]",,,,,,hl20-synthetic-spent-booster,0,nominal,25.0,1900.9065591883452,booster-release,point_mass_3dof,,,,,,,,,,,,,,,1500.0,generic_slender_body_v1,,,,booster-release,ballistic,,"[3841.368331637316, 0.0, 4409.00596286637]",7.391596196356832,,,,,,,,query-000000,,,,cylinder,108.42222109159076,,29.0,,,,,,,,,,,,,"[94.23910103269534, 0.0, 53.613150093827045]","[0.0, 0.0, 0.0]",
,,,,,,,,,102.72777080049032,"[93.17642217811249, 0.0, 43.25678263260245]",,,,,,hl20-synthetic-spent-booster,0,nominal,25.0,1696.7811358536248,booster-release,point_mass_3dof,,,,,,,,,,,,,,,1500.0,generic_slender_body_v1,,,,booster-release,ballistic,,"[3935.0698032660516, 0.0, 4457.428402716114]",7.391596196356832,,,,,,,,query-000000,,,,cylinder,102.72777080049032,,30.0,,,,,,,,,,,,,"[93.17642217811249, 0.0, 43.25678263260245]","[0.0, 0.0, 0.0]",
,,,,,,,,,97.92531183020607,"[92.18282559755656, 0.0, 33.04078331234851]",,,,,,hl20-synthetic-spent-booster,0,nominal,25.0,1534.9400923130597,booster-release,point_mass_3dof,,,,,,,,,,,,,,,1500.0,generic_slender_body_v1,,,,booster-release,ballistic,,"[4027.744200175351, 0.0, 4495.566264856014]",7.391596196356832,,,,,,,,query-000000,,,,cylinder,97.92531183020607,,31.0,,,,,,,,,,,,,"[92.18282559755656, 0.0, 33.04078331234851]","[0.0, 0.0, 0.0]",
,,,,,,,,,94.08705328891556,"[91.24566761851008, 0.0, 22.94780463233069]",,,,,,hl20-synthetic-spent-booster,0,nominal,25.0,1412.314456048492,booster-release,point_mass_3dof,,,,,,,,,,,,,,,1500.0,generic_slender_body_v1,,,,booster-release,ballistic,,"[4119.454265665791, 0.0, 4523.550923700463]",7.391596196356832,,,,,,,,query-000000,,,,cylinder,94.08705328891556,,32.0,,,,,,,,,,,,,"[91.24566761851008, 0.0, 22.94780463233069]","[0.0, 0.0, 0.0]",
,,,,,,,,,91.27784010658678,"[90.35247651822283, 0.0, 12.964338839586592]",,,,,,hl20-synthetic-spent-booster,0,nominal,25.0,1326.4332047033574,booster-release,point_mass_3dof,,,,,,,,,,,,,,,1500.0,generic_slender_body_v1,,,,booster-release,ballistic,,"[4210.250189359985, 0.0, 4541.498325220427]",7.391596196356832,,,,,,,,query-000000,,,,cylinder,91.27784010658678,,33.0,,,,,,,,,,,,,"[90.35247651822283, 0.0, 12.964338839586592]","[0.0, 0.0, 0.0]",
,,,,,,,,,89.54397362748661,"[89.49096170313611, 0.0, 3.080744463249694]",,,,,,hl20-synthetic-spent-booster,0,nominal,25.0,1275.3163035633693,booster-release,point_mass_3dof,,,,,,,,,,,,,,,1500.0,generic_slender_body_v1,,,,booster-release,ballistic,,"[4300.169774168378, 0.0, 4549.512838161849]",7.391596196356832,,,,,,,,query-000000,,,,cylinder,89.54397362748661,,34.0,,,,,,,,,,,,,"[89.49096170313611, 0.0, 3.080744463249694]","[0.0, 0.0, 0.0]",
