query_id,air_relative_speed_m_s,air_relative_velocity_m_s,configuration_variant_id,drag_force_n,event_id,mass_kg,mass_property_profile_id,mission_bank_command_deg,mission_profile_id,mission_segment,position_m,projected_area_m2,pseudo6dof_profile_id,query_id,specific_energy_j_per_kg,termination,time_s,velocity_m_s,wind_velocity_m_s
query-000000,250.0,"[125.00000000000003, 0.0, 216.50635094610965]",nominal,61124.61162149999,,11664.1,generic_slender_body_v1,0.0,none,unprofiled,"[0.0, 0.0, 0.0]",26.612075808,,query-000000,31250.0,,0.0,"[125.00000000000003, 0.0, 216.50635094610965]","[0.0, 0.0, 0.0]"
query-000000,246.75888894083053,"[127.55865107399433, 0.0, 211.23148394000384]",nominal,58070.524897814634,,11564.1,generic_slender_body_v1,0.0,none,unprofiled,"[126.2735873573467, 0.0, 213.84251801386202]",26.612075808,,query-000000,32542.05336493721,,1.0,"[127.55865107399433, 0.0, 211.23148394000384]","[0.0, 0.0, 0.0]"
query-000000,243.90881137749747,"[130.18350847279896, 0.0, 206.26139335633397]",nominal,55360.60002480976,,11464.1,generic_slender_body_v1,0.0,none,unprofiled,"[255.13935867369668, 0.0, 422.5645078977867]",26.612075808,,query-000000,33889.69636516765,,2.0,"[130.18350847279896, 0.0, 206.26139335633397]","[0.0, 0.0, 0.0]"
query-000000,241.42597557332437,"[132.86966438895823, 0.0, 201.57418973345028]",nominal,52953.6735579202,,11364.1,generic_slender_body_v1,0.0,none,unprofiled,"[386.66102637296655, 0.0, 626.4595555833525]",26.612075808,,query-000000,35286.72044152719,,3.0,"[132.86966438895823, 0.0, 201.57418973345028]","[0.0, 0.0, 0.0]"
query-000000,239.28893876668565,"[135.61265506058507, 0.0, 197.15071393100612]",nominal,50814.5773424023,,11264.1,generic_slender_body_v1,0.0,none,unprofiled,"[520.8976228252073, 0.0, 825.8007579074578]",26.612075808,,query-000000,36727.93711057649,,4.0,"[135.61265506058507, 0.0, 197.15071393100612]","[0.0, 0.0, 0.0]"
query-000000,237.4782266774272,"[138.40839856383198, 0.0, 192.9741520329884]",nominal,48913.108892105,,11164.1,generic_slender_body_v1,0.0,none,unprofiled,"[657.9039122435227, 0.0, 1020.8432544043907]",26.612075808,,query-000000,38209.006573732564,,5.0,"[138.40839856383198, 0.0, 192.9741520329884]","[0.0, 0.0, 0.0]"
query-000000,235.97602354510096,"[141.2531438633085, 0.0, 189.02971469292734]",nominal,47223.202727280084,,11064.1,generic_slender_body_v1,0.0,none,unprofiled,"[797.7307462055057, 0.0, 1211.8264073881785]",26.612075808,,query-000000,39726.299282092295,,6.0,"[141.2531438633085, 0.0, 189.02971469292734]","[0.0, 0.0, 0.0]"
query-000000,234.76591981667778,"[144.1434289571438, 0.0, 185.3043685287738]",nominal,45722.25898298096,,10964.1,generic_slender_body_v1,0.0,none,unprofiled,"[940.4253729323516, 0.0, 1398.9756883175228]",26.612075808,,query-000000,41276.78348752442,,7.0,"[144.1434289571438, 0.0, 185.3043685287738]","[0.0, 0.0, 0.0]"
query-000000,233.8327071688744,"[147.07604640607815, 0.0, 181.78660983549287]",nominal,44390.59602570835,,10864.1,generic_slender_body_v1,0.0,none,unprofiled,"[1086.0317085320305, 0.0, 1582.5043174337206]",26.612075808,,query-000000,42857.93343552368,,8.0,"[147.07604640607815, 0.0, 181.78660983549287]","[0.0, 0.0, 0.0]"
query-000000,233.1622125048847,"[150.04801488337745, 0.0, 178.46627291936917]",nominal,43211.00154385389,,10764.1,generic_slender_body_v1,0.0,none,unprofiled,"[1234.5905768835355, 0.0, 1762.6146949927543]",26.612075808,,query-000000,44467.6540687372,,9.0,"[150.04801488337745, 0.0, 178.46627291936917]","[0.0, 0.0, 0.0]"
query-000000,232.74116407312883,"[153.05655565161086, 0.0, 175.3343669283932]",nominal,42168.36235688262,,10664.1,generic_slender_body_v1,0.0,none,unprofiled,"[1386.139923616251, 0.0, 1939.4996555354348]",26.612075808,,query-000000,46104.219024014106,,10.0,"[153.05655565161086, 0.0, 175.3343669283932]","[0.0, 0.0, 0.0]"
query-000000,232.55708403656774,"[156.09907308301686, 0.0, 172.38293627332777]",nominal,41249.357546935644,,10564.1,generic_slender_body_v1,0.0,none,unprofiled,"[1540.7150086541055, 0.0, 2113.343571149292]",26.612075808,,query-000000,47766.219399806825,,11.0,"[156.09907308301686, 0.0, 172.38293627332777]","[0.0, 0.0, 0.0]"
query-000000,232.59820276189438,"[159.17313850659235, 0.0, 169.6049406887208]",nominal,40442.20283008043,,10464.1,generic_slender_body_v1,0.0,none,unprofiled,"[1698.348580997309, 0.0, 2284.3233252671175]",26.612075808,,query-000000,49452.52130176245,,12.0,"[159.17313850659235, 0.0, 169.6049406887208]","[0.0, 0.0, 0.0]"
query-000000,232.85339086102474,"[162.27647679765235, 0.0, 166.99415173477828]",nominal,39736.43662243424,,10364.1,generic_slender_body_v1,0.0,none,unprofiled,"[1859.0710387663921, 0.0, 2452.609174986965]",26.612075808,,query-000000,51162.2305836245,,13.0,"[162.27647679765235, 0.0, 166.99415173477828]","[0.0, 0.0, 0.0]"
query-000000,233.3121056475749,"[165.40695523217113, 0.0, 164.54506313629616]",nominal,39122.7402142554,,10264.1,generic_slender_body_v1,0.0,none,unprofiled,"[2022.9105770041922, 0.0, 2618.3655170084035]",26.612075808,,query-000000,52894.66351822303,,14.0,"[165.40695523217113, 0.0, 164.54506313629616]","[0.0, 0.0, 0.0]"
query-000000,232.0784626657187,"[166.17436786914155, 0.0, 162.0076920907603]",nominal,37973.133590492274,,10164.1,generic_slender_body_v1,0.0,none,unprofiled,"[2189.8933252983843, 0.0, 2781.751569921932]",26.612075808,,query-000000,54209.870449816604,,15.0,"[166.17436786914155, 0.0, 162.0076920907603]","[0.0, 0.0, 0.0]"
query-000000,221.62669815721793,"[155.68752239858077, 0.0, 157.73328344221454]",nominal,33984.360506426885,,10164.1,generic_slender_body_v1,0.0,none,unprofiled,"[2350.7362273098834, 0.0, 2941.6900117611744]",26.612075808,,query-000000,53407.32102187301,,16.0,"[155.68752239858077, 0.0, 157.73328344221454]","[0.0, 0.0, 0.0]"
query-000000,211.43015063957577,"[146.22514313535376, 0.0, 152.71187286690912]",nominal,30369.31704545029,,10164.1,generic_slender_body_v1,0.0,none,unprofiled,"[2501.609991353722, 0.0, 3096.969398836094]",26.612075808,,query-000000,52722.24925483283,,17.0,"[146.22514313535376, 0.0, 152.71187286690912]","[0.0, 0.0, 0.0]"
query-000000,201.48295104867688,"[137.72008485854667, 0.0, 147.0665080493796]",nominal,27096.73799397517,,10164.1,generic_slender_body_v1,0.0,none,unprofiled,"[2643.5057030428416, 0.0, 3246.906007415126]",26.612075808,,query-000000,52138.96057925931,,18.0,"[137.72008485854667, 0.0, 147.0665080493796]","[0.0, 0.0, 0.0]"
query-000000,191.78123862528764,"[130.10403370262188, 0.0, 140.90061711346956]",nominal,24137.59544619023,,10164.1,generic_slender_body_v1,0.0,none,unprofiled,"[2777.3465422720333, 0.0, 3390.929112376126]",26.612075808,,query-000000,51643.67672420809,,19.0,"[130.10403370262188, 0.0, 140.90061711346956]","[0.0, 0.0, 0.0]"
query-000000,182.32353739482903,"[123.30928099391183, 0.0, 134.30075766326902]",nominal,21465.206047750904,,10164.1,generic_slender_body_v1,0.0,none,unprofiled,"[2903.9875553332167, 0.0, 3528.562764165101]",26.612075808,,query-000000,51224.31617528149,,20.0,"[123.30928099391183, 0.0, 134.30075766326902]","[0.0, 0.0, 0.0]"
query-000000,173.11117911197132,"[117.26993185265115, 0.0, 127.33908833037705]",nominal,19055.237489341078,,10164.1,generic_slender_body_v1,0.0,none,unprofiled,"[3024.216905275577, 0.0, 3659.410177588541]",26.612075808,,query-000000,50870.29498481717,,21.0,"[117.26993185265115, 0.0, 127.33908833037705]","[0.0, 0.0, 0.0]"
query-000000,164.14879739847115,"[111.92268843806012, 0.0, 120.07555746346235]",nominal,16885.648272294507,,10164.1,generic_slender_body_v1,0.0,none,unprofiled,"[3138.758107802134, 0.0, 3783.1404503150097]",26.612075808,,query-000000,50572.34814076385,,22.0,"[111.92268843806012, 0.0, 120.07555746346235]","[0.0, 0.0, 0.0]"
query-000000,155.44491864403395,"[107.2073189440196, 0.0, 112.55982185969195]",nominal,14936.585631020105,,10164.1,generic_slender_body_v1,0.0,none,unprofiled,"[3248.272885089702, 0.0, 3899.477333513817]",26.612075808,,query-000000,50322.370758828445,,23.0,"[107.2073189440196, 0.0, 112.55982185969195]","[0.0, 0.0, 0.0]"
query-000000,147.01267525557228,"[103.06689959497109, 0.0, 104.83291894095338]",nominal,13190.259441746475,,10164.1,generic_slender_body_v1,0.0,none,unprofiled,"[3353.364368689917, 0.0, 4008.1897957360616]",26.612075808,,query-000000,50113.27780325522,,24.0,"[103.06689959497109, 0.0, 104.83291894095338]","[0.0, 0.0, 0.0]"
query-000000,138.87066417186614,"[99.44789782155023, 0.0, 96.92872116359388]",nominal,11630.804591620787,booster-release,8664.1,generic_slender_body_v1,0.0,none,unprofiled,"[3454.580460000464, 0.0, 4109.084147580231]",26.612075808,,query-000000,49938.88073963528,,25.0,"[99.44789782155023, 0.0, 96.92872116359388]","[0.0, 0.0, 0.0]"
query-000000,130.84371259449952,"[95.7560407887316, 0.0, 89.16758255094035]",nominal,10212.675268076562,booster-release,8664.1,generic_slender_body_v1,0.0,none,unprofiled,"[3552.1385641896054, 0.0, 4202.147471278934]",26.612075808,,query-000000,49769.02806197355,,26.0,"[95.7560407887316, 0.0, 89.16758255094035]","[0.0, 0.0, 0.0]"
query-000000,123.15827725268264,"[92.56397866228839, 0.0, 81.23959077971813]",nominal,8957.916722309046,booster-release,8664.1,generic_slender_body_v1,0.0,none,unprofiled,"[3646.2591096401043, 0.0, 4287.363765221585]",26.612075808,,query-000000,49628.65649613457,,27.0,"[92.56397866228839, 0.0, 81.23959077971813]","[0.0, 0.0, 0.0]"
query-000000,115.85265595544027,"[89.82058440857143, 0.0, 73.17171932128083]",nominal,7855.006518663689,booster-release,8664.1,generic_slender_body_v1,0.0,none,unprofiled,"[3737.416044886684, 0.0, 4364.580080626321]",26.612075808,,query-000000,49512.82819363892,,28.0,"[89.82058440857143, 0.0, 73.17171932128083]","[0.0, 0.0, 0.0]"
query-000000,108.97552621793513,"[87.47810380119367, 0.0, 64.98651144524878]",nominal,6893.86162816231,booster-release,8664.1,generic_slender_body_v1,0.0,none,unprofiled,"[3826.0338819086774, 0.0, 4433.668131538201]",26.612075808,,query-000000,49417.26423938703,,29.0,"[87.47810380119367, 0.0, 64.98651144524878]","[0.0, 0.0, 0.0]"
query-000000,102.58728670209761,"[85.49211250940391, 0.0, 56.70317532182653]",nominal,6065.722597243976,booster-release,8664.1,generic_slender_body_v1,0.0,none,unprofiled,"[3912.491045790612, 0.0, 4494.520420468391]",26.612075808,,query-000000,49338.264377835534,,30.0,"[85.49211250940391, 0.0, 56.70317532182653]","[0.0, 0.0, 0.0]"
query-000000,96.76086818209109,"[83.8215140106353, 0.0, 48.33859121154524]",nominal,5363.041832422666,booster-release,8664.1,generic_slender_body_v1,0.0,none,unprofiled,"[3997.1231985139116, 0.0, 4547.047413367155]",26.612075808,,query-000000,49272.63532197301,,31.0,"[83.8215140106353, 0.0, 48.33859121154524]","[0.0, 0.0, 0.0]"
