model_id,document_id,component_role,source_set,source_path,compile_status,check_status
daveml-atmosphere-1976,daveml-example-atmos-76,environment,daveml_examples,atmos_76.dml,passed,failed
f16-s119,daveml-example-f16-aero,aerodynamics,daveml_examples,F16_aero.dml,passed,passed
hl20-mod-k,daveml-example-hl20-aero,aerodynamics,daveml_examples,HL20_aero.dml,passed,passed
nesc-tumbling-brick,nesc-all-models-brick-aero,aerodynamics,nesc_models,All_models/brick_aero.dml,passed,no_cases
nesc-tumbling-brick,nesc-all-models-brick-inertia,mass_properties,nesc_models,All_models/brick_inertia.dml,passed,no_cases
nesc-atmospheric-spheroid,nesc-all-models-cannonball-aero,aerodynamics,nesc_models,All_models/cannonball_aero.dml,passed,no_cases
nesc-atmospheric-spheroid,nesc-all-models-cannonball-inertia,mass_properties,nesc_models,All_models/cannonball_inertia.dml,passed,no_cases
f16-s119,nesc-all-models-f16-package-f16-s119-source-f16-aero,aerodynamics,nesc_models,All_models/F16_package/F16_S119_source/F16_aero.dml,passed,passed
f16-s119,nesc-all-models-f16-package-f16-s119-source-f16-control,control_mapping,nesc_models,All_models/F16_package/F16_S119_source/F16_control.dml,passed,no_cases
f16-s119,nesc-all-models-f16-package-f16-s119-source-f16-gnc,guidance_navigation_control,nesc_models,All_models/F16_package/F16_S119_source/F16_gnc.dml,passed,no_cases
f16-s119,nesc-all-models-f16-package-f16-s119-source-f16-inertia,mass_properties,nesc_models,All_models/F16_package/F16_S119_source/F16_inertia.dml,passed,no_cases
f16-s119,nesc-all-models-f16-package-f16-s119-source-f16-prop,propulsion,nesc_models,All_models/F16_package/F16_S119_source/F16_prop.dml,passed,passed
nesc-orbital-cylinder,nesc-all-models-orbital-cylinder-inertia,mass_properties,nesc_models,All_models/orbital_cylinder_inertia.dml,passed,no_cases
nesc-orbital-spheroid,nesc-all-models-orbital-sphere-inertia,mass_properties,nesc_models,All_models/orbital_sphere_inertia.dml,passed,no_cases
nesc-international-space-station,nesc-all-models-orbital-station-inertia,mass_properties,nesc_models,All_models/orbital_station_inertia.dml,passed,no_cases
nesc-two-stage-rocket,nesc-all-models-two-stage-package-twostage-aero,aerodynamics,nesc_models,All_models/two-stage_package/twostage_aero.dml,passed,no_cases
nesc-two-stage-rocket,nesc-all-models-two-stage-package-twostage-inertia,mass_properties,nesc_models,All_models/two-stage_package/twostage_inertia.dml,passed,no_cases
nesc-two-stage-rocket,nesc-all-models-two-stage-package-twostage-prop,propulsion,nesc_models,All_models/two-stage_package/twostage_prop.dml,passed,no_cases
