shot_name,reference_id,section,identifier_kind,identifier,units,value,tolerance,issues
sea level,,input,signalName,GeometricAltitude,ft,0.0,,
sea level,,output,signalName,AmbientTemperature,dgF,59.0,0.4,
sea level,,output,signalName,AmbientPressure,lbf_ft2,2116.22,2.5,
sea level,,output,signalName,RatioOfDensityToSeaLevel,nd,1.0,0.002,
5000 ft,,input,signalName,GeometricAltitude,ft,5000.0,,
5000 ft,,output,signalName,AmbientTemperature,dgF,41.2,0.4,
5000 ft,,output,signalName,AmbientPressure,lbf_ft2,1761.12,2.5,
5000 ft,,output,signalName,RatioOfDensityToSeaLevel,nd,0.8616,0.002,
10000 ft,,input,signalName,GeometricAltitude,ft,10000.0,,
10000 ft,,output,signalName,AmbientTemperature,dgF,23.36,0.4,
10000 ft,,output,signalName,AmbientPressure,lbf_ft2,1455.84,2.5,
10000 ft,,output,signalName,RatioOfDensityToSeaLevel,nd,0.73866,0.002,
15000 ft,,input,signalName,GeometricAltitude,ft,15000.0,,
15000 ft,,output,signalName,AmbientTemperature,dgF,5.55,0.4,
15000 ft,,output,signalName,AmbientPressure,lbf_ft2,1194.336,2.5,
15000 ft,,output,signalName,RatioOfDensityToSeaLevel,nd,0.6292,0.002,
20000 ft,,input,signalName,GeometricAltitude,ft,20000.0,,
20000 ft,,output,signalName,AmbientTemperature,dgF,-12.3,0.4,
20000 ft,,output,signalName,AmbientPressure,lbf_ft2,972.576,2.5,
20000 ft,,output,signalName,RatioOfDensityToSeaLevel,nd,0.5328,0.002,
25000 ft,,input,signalName,GeometricAltitude,ft,25000.0,,
25000 ft,,output,signalName,AmbientTemperature,dgF,-30.2,0.4,
25000 ft,,output,signalName,AmbientPressure,lbf_ft2,785.376,2.5,
25000 ft,,output,signalName,RatioOfDensityToSeaLevel,nd,0.4481,0.002,
30000 ft,,input,signalName,GeometricAltitude,ft,30000.0,,
30000 ft,,output,signalName,AmbientTemperature,dgF,-48.0,0.4,
30000 ft,,output,signalName,AmbientPressure,lbf_ft2,628.416,2.5,
30000 ft,,output,signalName,RatioOfDensityToSeaLevel,nd,0.3741,0.002,
35000 ft,,input,signalName,GeometricAltitude,ft,35000.0,,
35000 ft,,output,signalName,AmbientTemperature,dgF,-65.8,0.4,
35000 ft,,output,signalName,AmbientPressure,lbf_ft2,497.952,2.5,
35000 ft,,output,signalName,RatioOfDensityToSeaLevel,nd,0.3099,0.002,
40000 ft,,input,signalName,GeometricAltitude,ft,40000.0,,
40000 ft,,output,signalName,AmbientTemperature,dgF,-69.7,0.4,
40000 ft,,output,signalName,AmbientPressure,lbf_ft2,391.68,2.5,
40000 ft,,output,signalName,RatioOfDensityToSeaLevel,nd,0.2462,0.002,
45000 ft,,input,signalName,GeometricAltitude,ft,45000.0,,
45000 ft,,output,signalName,AmbientTemperature,dgF,-69.7,0.4,
45000 ft,,output,signalName,AmbientPressure,lbf_ft2,308.016,2.5,
45000 ft,,output,signalName,RatioOfDensityToSeaLevel,nd,0.1936,0.002,
50000 ft,,input,signalName,GeometricAltitude,ft,50000.0,,
50000 ft,,output,signalName,AmbientTemperature,dgF,-69.7,0.4,
50000 ft,,output,signalName,AmbientPressure,lbf_ft2,242.208,2.5,
50000 ft,,output,signalName,RatioOfDensityToSeaLevel,nd,0.1522,0.002,
55000 ft,,input,signalName,GeometricAltitude,ft,55000.0,,
55000 ft,,output,signalName,AmbientTemperature,dgF,-69.7,0.4,
55000 ft,,output,signalName,AmbientPressure,lbf_ft2,192.24,2.5,
55000 ft,,output,signalName,RatioOfDensityToSeaLevel,nd,0.12082,0.002,
60695 ft,,input,signalName,GeometricAltitude,ft,60695.53806,,
