breakpoint_id,name,units,index,value,issues
ALPHA1,alpha,deg,0,-10.0,
ALPHA1,alpha,deg,1,-5.0,
ALPHA1,alpha,deg,2,0.0,
ALPHA1,alpha,deg,3,5.0,
ALPHA1,alpha,deg,4,10.0,
ALPHA1,alpha,deg,5,15.0,
ALPHA1,alpha,deg,6,20.0,
ALPHA1,alpha,deg,7,25.0,
ALPHA1,alpha,deg,8,30.0,
ALPHA1,alpha,deg,9,35.0,
ALPHA1,alpha,deg,10,40.0,
ALPHA1,alpha,deg,11,45.0,
BETA1,beta,deg,0,0.0,
BETA1,beta,deg,1,5.0,
BETA1,beta,deg,2,10.0,
BETA1,beta,deg,3,15.0,
BETA1,beta,deg,4,20.0,
BETA1,beta,deg,5,25.0,
BETA1,beta,deg,6,30.0,
BETA2,beta,deg,0,-30.0,
BETA2,beta,deg,1,-20.0,
BETA2,beta,deg,2,-10.0,
BETA2,beta,deg,3,0.0,
BETA2,beta,deg,4,10.0,
BETA2,beta,deg,5,20.0,
BETA2,beta,deg,6,30.0,
DE1,el,deg,0,-24.0,
DE1,el,deg,1,-12.0,
DE1,el,deg,2,0.0,
DE1,el,deg,3,12.0,
DE1,el,deg,4,24.0,
