table_id,declared_id,name,function_name,source_kind,dimensions,shape,breakpoint_ids,flat_index,coordinates,value,issues
CX_table_def,CX_table_def,CX_table,Basic CX,inline-function,2,"[5,12]",DE1;ALPHA1,0,"[-24.0,-10.0]",-0.099,
CX_table_def,CX_table_def,CX_table,Basic CX,inline-function,2,"[5,12]",DE1;ALPHA1,1,"[-24.0,-5.0]",-0.081,
CX_table_def,CX_table_def,CX_table,Basic CX,inline-function,2,"[5,12]",DE1;ALPHA1,2,"[-24.0,0.0]",-0.081,
CX_table_def,CX_table_def,CX_table,Basic CX,inline-function,2,"[5,12]",DE1;ALPHA1,3,"[-24.0,5.0]",-0.063,
CX_table_def,CX_table_def,CX_table,Basic CX,inline-function,2,"[5,12]",DE1;ALPHA1,4,"[-24.0,10.0]",-0.025,
CX_table_def,CX_table_def,CX_table,Basic CX,inline-function,2,"[5,12]",DE1;ALPHA1,5,"[-24.0,15.0]",0.044,
CX_table_def,CX_table_def,CX_table,Basic CX,inline-function,2,"[5,12]",DE1;ALPHA1,6,"[-24.0,20.0]",0.097,
CX_table_def,CX_table_def,CX_table,Basic CX,inline-function,2,"[5,12]",DE1;ALPHA1,7,"[-24.0,25.0]",0.113,
CX_table_def,CX_table_def,CX_table,Basic CX,inline-function,2,"[5,12]",DE1;ALPHA1,8,"[-24.0,30.0]",0.145,
CX_table_def,CX_table_def,CX_table,Basic CX,inline-function,2,"[5,12]",DE1;ALPHA1,9,"[-24.0,35.0]",0.167,
CX_table_def,CX_table_def,CX_table,Basic CX,inline-function,2,"[5,12]",DE1;ALPHA1,10,"[-24.0,40.0]",0.174,
CX_table_def,CX_table_def,CX_table,Basic CX,inline-function,2,"[5,12]",DE1;ALPHA1,11,"[-24.0,45.0]",0.166,
CX_table_def,CX_table_def,CX_table,Basic CX,inline-function,2,"[5,12]",DE1;ALPHA1,12,"[-12.0,-10.0]",-0.048,
CX_table_def,CX_table_def,CX_table,Basic CX,inline-function,2,"[5,12]",DE1;ALPHA1,13,"[-12.0,-5.0]",-0.038,
CX_table_def,CX_table_def,CX_table,Basic CX,inline-function,2,"[5,12]",DE1;ALPHA1,14,"[-12.0,0.0]",-0.04,
CX_table_def,CX_table_def,CX_table,Basic CX,inline-function,2,"[5,12]",DE1;ALPHA1,15,"[-12.0,5.0]",-0.021,
CX_table_def,CX_table_def,CX_table,Basic CX,inline-function,2,"[5,12]",DE1;ALPHA1,16,"[-12.0,10.0]",0.016,
CX_table_def,CX_table_def,CX_table,Basic CX,inline-function,2,"[5,12]",DE1;ALPHA1,17,"[-12.0,15.0]",0.083,
CX_table_def,CX_table_def,CX_table,Basic CX,inline-function,2,"[5,12]",DE1;ALPHA1,18,"[-12.0,20.0]",0.127,
CX_table_def,CX_table_def,CX_table,Basic CX,inline-function,2,"[5,12]",DE1;ALPHA1,19,"[-12.0,25.0]",0.137,
CX_table_def,CX_table_def,CX_table,Basic CX,inline-function,2,"[5,12]",DE1;ALPHA1,20,"[-12.0,30.0]",0.162,
CX_table_def,CX_table_def,CX_table,Basic CX,inline-function,2,"[5,12]",DE1;ALPHA1,21,"[-12.0,35.0]",0.177,
CX_table_def,CX_table_def,CX_table,Basic CX,inline-function,2,"[5,12]",DE1;ALPHA1,22,"[-12.0,40.0]",0.179,
CX_table_def,CX_table_def,CX_table,Basic CX,inline-function,2,"[5,12]",DE1;ALPHA1,23,"[-12.0,45.0]",0.167,
CX_table_def,CX_table_def,CX_table,Basic CX,inline-function,2,"[5,12]",DE1;ALPHA1,24,"[0.0,-10.0]",-0.022,
CX_table_def,CX_table_def,CX_table,Basic CX,inline-function,2,"[5,12]",DE1;ALPHA1,25,"[0.0,-5.0]",-0.02,
CX_table_def,CX_table_def,CX_table,Basic CX,inline-function,2,"[5,12]",DE1;ALPHA1,26,"[0.0,0.0]",-0.021,
CX_table_def,CX_table_def,CX_table,Basic CX,inline-function,2,"[5,12]",DE1;ALPHA1,27,"[0.0,5.0]",-0.004,
CX_table_def,CX_table_def,CX_table,Basic CX,inline-function,2,"[5,12]",DE1;ALPHA1,28,"[0.0,10.0]",0.032,
CX_table_def,CX_table_def,CX_table,Basic CX,inline-function,2,"[5,12]",DE1;ALPHA1,29,"[0.0,15.0]",0.094,
CX_table_def,CX_table_def,CX_table,Basic CX,inline-function,2,"[5,12]",DE1;ALPHA1,30,"[0.0,20.0]",0.128,
CX_table_def,CX_table_def,CX_table,Basic CX,inline-function,2,"[5,12]",DE1;ALPHA1,31,"[0.0,25.0]",0.13,
CX_table_def,CX_table_def,CX_table,Basic CX,inline-function,2,"[5,12]",DE1;ALPHA1,32,"[0.0,30.0]",0.154,
CX_table_def,CX_table_def,CX_table,Basic CX,inline-function,2,"[5,12]",DE1;ALPHA1,33,"[0.0,35.0]",0.161,
CX_table_def,CX_table_def,CX_table,Basic CX,inline-function,2,"[5,12]",DE1;ALPHA1,34,"[0.0,40.0]",0.155,
CX_table_def,CX_table_def,CX_table,Basic CX,inline-function,2,"[5,12]",DE1;ALPHA1,35,"[0.0,45.0]",0.138,
CX_table_def,CX_table_def,CX_table,Basic CX,inline-function,2,"[5,12]",DE1;ALPHA1,36,"[12.0,-10.0]",-0.04,
CX_table_def,CX_table_def,CX_table,Basic CX,inline-function,2,"[5,12]",DE1;ALPHA1,37,"[12.0,-5.0]",-0.038,
CX_table_def,CX_table_def,CX_table,Basic CX,inline-function,2,"[5,12]",DE1;ALPHA1,38,"[12.0,0.0]",-0.039,
CX_table_def,CX_table_def,CX_table,Basic CX,inline-function,2,"[5,12]",DE1;ALPHA1,39,"[12.0,5.0]",-0.025,
CX_table_def,CX_table_def,CX_table,Basic CX,inline-function,2,"[5,12]",DE1;ALPHA1,40,"[12.0,10.0]",0.006,
CX_table_def,CX_table_def,CX_table,Basic CX,inline-function,2,"[5,12]",DE1;ALPHA1,41,"[12.0,15.0]",0.062,
CX_table_def,CX_table_def,CX_table,Basic CX,inline-function,2,"[5,12]",DE1;ALPHA1,42,"[12.0,20.0]",0.087,
CX_table_def,CX_table_def,CX_table,Basic CX,inline-function,2,"[5,12]",DE1;ALPHA1,43,"[12.0,25.0]",0.085,
CX_table_def,CX_table_def,CX_table,Basic CX,inline-function,2,"[5,12]",DE1;ALPHA1,44,"[12.0,30.0]",0.1,
CX_table_def,CX_table_def,CX_table,Basic CX,inline-function,2,"[5,12]",DE1;ALPHA1,45,"[12.0,35.0]",0.11,
CX_table_def,CX_table_def,CX_table,Basic CX,inline-function,2,"[5,12]",DE1;ALPHA1,46,"[12.0,40.0]",0.104,
