breakpoint_id,name,units,index,value,issues
ALPHA_LIM_MACH_PTS,alpha limit Mach points,nd,0,-10.0,
ALPHA_LIM_MACH_PTS,alpha limit Mach points,nd,1,0.0,
ALPHA_LIM_MACH_PTS,alpha limit Mach points,nd,2,1.009,
ALPHA_LIM_MACH_PTS,alpha limit Mach points,nd,3,1.1,
ALPHA_LIM_MACH_PTS,alpha limit Mach points,nd,4,1.6,
ALPHA_LIM_MACH_PTS,alpha limit Mach points,nd,5,3.0,
ALPHA_LIM_MACH_PTS,alpha limit Mach points,nd,6,20.0,
XMACH1_PTS,Mach,nd,0,0.3,
XMACH1_PTS,Mach,nd,1,0.6,
XMACH1_PTS,Mach,nd,2,0.8,
XMACH1_PTS,Mach,nd,3,0.9,
XMACH1_PTS,Mach,nd,4,0.95,
XMACH1_PTS,Mach,nd,5,1.1,
XMACH1_PTS,Mach,nd,6,1.2,
XMACH1_PTS,Mach,nd,7,1.6,
XMACH1_PTS,Mach,nd,8,2.0,
XMACH1_PTS,Mach,nd,9,2.5,
XMACH1_PTS,Mach,nd,10,3.0,
XMACH1_PTS,Mach,nd,11,3.5,
XMACH1_PTS,Mach,nd,12,4.0,
DBFU_PTS,Upper body flap,deg,0,-60.0,
DBFU_PTS,Upper body flap,deg,1,-45.0,
DBFU_PTS,Upper body flap,deg,2,-30.0,
DBFU_PTS,Upper body flap,deg,3,-15.0,
DBFU_PTS,Upper body flap,deg,4,0.0,
DBFL_PTS,Lower body flap,deg,0,0.0,
DBFL_PTS,Lower body flap,deg,1,15.0,
DBFL_PTS,Lower body flap,deg,2,30.0,
DBFL_PTS,Lower body flap,deg,3,45.0,
DBFL_PTS,Lower body flap,deg,4,60.0,
DWF_PTS,Wing flaps,deg,0,-30.0,
DWF_PTS,Wing flaps,deg,1,-15.0,
DWF_PTS,Wing flaps,deg,2,0.0,
DWF_PTS,Wing flaps,deg,3,15.0,
DWF_PTS,Wing flaps,deg,4,30.0,
DRUD_PTS,Rudder,deg,0,0.0,
DRUD_PTS,Rudder,deg,1,15.0,
DRUD_PTS,Rudder,deg,2,30.0,
HOB_PTS,HoB,nd,0,0.2,
HOB_PTS,HoB,nd,1,0.4,
HOB_PTS,HoB,nd,2,0.6,
HOB_PTS,HoB,nd,3,0.8,
HOB_PTS,HoB,nd,4,1.0,
HOB_PTS,HoB,nd,5,1.5,
HOB_PTS,HoB,nd,6,2.0,
HOB_PTS,HoB,nd,7,2.5,
DLG_PTS,Landing gear extension,deg,0,0.0,
DLG_PTS,Landing gear extension,deg,1,15.0,
DLG_PTS,Landing gear extension,deg,2,30.0,
DLG_PTS,Landing gear extension,deg,3,60.0,
DLG_PTS,Landing gear extension,deg,4,90.0,
