shot_name,reference_id,section,identifier_kind,identifier,units,value,tolerance,issues
Nominal,NOTE1,input,signalName,angleOfAttack,deg,12.34,,
Nominal,NOTE1,input,signalName,angleOfSideslip,deg,0.0,,
Nominal,NOTE1,input,signalName,mach,nd,0.8,,
Nominal,NOTE1,input,signalName,trueAirspeed,f_s,300.0,,
Nominal,NOTE1,input,signalName,heightOfCgWrtRwy,f,20000.0,,
Nominal,NOTE1,input,signalName,bodyAngularRate_Roll,rad_s,0.0,,
Nominal,NOTE1,input,signalName,bodyAngularRate_Pitch,rad_s,0.0,,
Nominal,NOTE1,input,signalName,bodyAngularRate_Yaw,rad_s,0.0,,
Nominal,NOTE1,input,signalName,upperLeftBodyFlapDeflection,deg,0.0,,
Nominal,NOTE1,input,signalName,upperRightBodyFlapDeflection,deg,0.0,,
Nominal,NOTE1,input,signalName,lowerLeftBodyFlapDeflection,deg,0.0,,
Nominal,NOTE1,input,signalName,lowerRightBodyFlapDeflection,deg,0.0,,
Nominal,NOTE1,input,signalName,leftWingFlapDeflection,deg,0.0,,
Nominal,NOTE1,input,signalName,rightWingFlapDeflection,deg,0.0,,
Nominal,NOTE1,input,signalName,rudderDeflection,deg,0.0,,
Nominal,NOTE1,input,signalName,landingGearExtension,deg,0.0,,
Nominal,NOTE1,internal,varID,ALP,,12.34,,
Nominal,NOTE1,internal,varID,BETA,,0.0,,
Nominal,NOTE1,internal,varID,XMACH,,0.8,,
Nominal,NOTE1,internal,varID,PB,,0.0,,
Nominal,NOTE1,internal,varID,QB,,0.0,,
Nominal,NOTE1,internal,varID,RB,,0.0,,
Nominal,NOTE1,internal,varID,VRW,,300.0,,
Nominal,NOTE1,internal,varID,H_rwy,,20000.0,,
Nominal,NOTE1,internal,varID,DBFUL,,0.0,,
Nominal,NOTE1,internal,varID,DBFUR,,0.0,,
Nominal,NOTE1,internal,varID,DBFLL,,0.0,,
Nominal,NOTE1,internal,varID,DBFLR,,0.0,,
Nominal,NOTE1,internal,varID,DWFL,,0.0,,
Nominal,NOTE1,internal,varID,DWFR,,0.0,,
Nominal,NOTE1,internal,varID,DRUD,,0.0,,
Nominal,NOTE1,internal,varID,DLG,,0.0,,
Nominal,NOTE1,internal,varID,CBAR,,28.24,,
Nominal,NOTE1,internal,varID,BSPAN,,13.89,,
Nominal,NOTE1,internal,varID,SWING,,286.45,,
Nominal,NOTE1,internal,varID,XRP,,0.54,,
Nominal,NOTE1,internal,varID,CMQ0,,-0.22364,,
Nominal,NOTE1,internal,varID,CMQ1,,0.020457,,
Nominal,NOTE1,internal,varID,CMQ2,,-0.0016741,,
Nominal,NOTE1,internal,varID,CMQ3,,3.1618e-05,,
Nominal,NOTE1,internal,varID,CNP0,,0.40031,,
Nominal,NOTE1,internal,varID,CNP1,,-0.015518,,
