table_id,declared_id,name,function_name,source_kind,dimensions,shape,breakpoint_ids,flat_index,coordinates,value,issues
CLBFL0_table,CLBFL0_table,CLBFL0,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,0,"[0.0,0.3]",0.0,
CLBFL0_table,CLBFL0_table,CLBFL0,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,1,"[0.0,0.6]",0.0,
CLBFL0_table,CLBFL0_table,CLBFL0,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,2,"[0.0,0.8]",0.0,
CLBFL0_table,CLBFL0_table,CLBFL0,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,3,"[0.0,0.9]",0.0,
CLBFL0_table,CLBFL0_table,CLBFL0,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,4,"[0.0,0.95]",0.0,
CLBFL0_table,CLBFL0_table,CLBFL0,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,5,"[0.0,1.1]",0.0,
CLBFL0_table,CLBFL0_table,CLBFL0,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,6,"[0.0,1.2]",0.0,
CLBFL0_table,CLBFL0_table,CLBFL0,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,7,"[0.0,1.6]",0.0,
CLBFL0_table,CLBFL0_table,CLBFL0,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,8,"[0.0,2.0]",0.0,
CLBFL0_table,CLBFL0_table,CLBFL0,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,9,"[0.0,2.5]",0.0,
CLBFL0_table,CLBFL0_table,CLBFL0,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,10,"[0.0,3.0]",0.0,
CLBFL0_table,CLBFL0_table,CLBFL0,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,11,"[0.0,3.5]",0.0,
CLBFL0_table,CLBFL0_table,CLBFL0,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,12,"[0.0,4.0]",0.0,
CLBFL0_table,CLBFL0_table,CLBFL0,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,13,"[15.0,0.3]",-0.0086429,
CLBFL0_table,CLBFL0_table,CLBFL0,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,14,"[15.0,0.6]",-0.010256,
CLBFL0_table,CLBFL0_table,CLBFL0,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,15,"[15.0,0.8]",-0.011189,
CLBFL0_table,CLBFL0_table,CLBFL0,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,16,"[15.0,0.9]",-0.012121,
CLBFL0_table,CLBFL0_table,CLBFL0,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,17,"[15.0,0.95]",-0.01352,
CLBFL0_table,CLBFL0_table,CLBFL0,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,18,"[15.0,1.1]",-0.0086299,
CLBFL0_table,CLBFL0_table,CLBFL0,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,19,"[15.0,1.2]",-0.0053679,
CLBFL0_table,CLBFL0_table,CLBFL0,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,20,"[15.0,1.6]",0.0076757,
CLBFL0_table,CLBFL0_table,CLBFL0,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,21,"[15.0,2.0]",0.0113,
CLBFL0_table,CLBFL0_table,CLBFL0,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,22,"[15.0,2.5]",0.0062992,
CLBFL0_table,CLBFL0_table,CLBFL0,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,23,"[15.0,3.0]",0.0051902,
CLBFL0_table,CLBFL0_table,CLBFL0,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,24,"[15.0,3.5]",0.0038813,
CLBFL0_table,CLBFL0_table,CLBFL0,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,25,"[15.0,4.0]",0.0037366,
CLBFL0_table,CLBFL0_table,CLBFL0,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,26,"[30.0,0.3]",0.022251,
CLBFL0_table,CLBFL0_table,CLBFL0,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,27,"[30.0,0.6]",0.026405,
CLBFL0_table,CLBFL0_table,CLBFL0,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,28,"[30.0,0.8]",0.028805,
CLBFL0_table,CLBFL0_table,CLBFL0,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,29,"[30.0,0.9]",0.031206,
CLBFL0_table,CLBFL0_table,CLBFL0,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,30,"[30.0,0.95]",0.034806,
CLBFL0_table,CLBFL0_table,CLBFL0,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,31,"[30.0,1.1]",0.031321,
CLBFL0_table,CLBFL0_table,CLBFL0,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,32,"[30.0,1.2]",0.028996,
CLBFL0_table,CLBFL0_table,CLBFL0,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,33,"[30.0,1.6]",0.019698,
CLBFL0_table,CLBFL0_table,CLBFL0,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,34,"[30.0,2.0]",0.018808,
CLBFL0_table,CLBFL0_table,CLBFL0,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,35,"[30.0,2.5]",0.012755,
CLBFL0_table,CLBFL0_table,CLBFL0,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,36,"[30.0,3.0]",0.010804,
CLBFL0_table,CLBFL0_table,CLBFL0,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,37,"[30.0,3.5]",0.0098493,
CLBFL0_table,CLBFL0_table,CLBFL0,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,38,"[30.0,4.0]",0.0083719,
CLBFL0_table,CLBFL0_table,CLBFL0,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,39,"[45.0,0.3]",0.029416,
CLBFL0_table,CLBFL0_table,CLBFL0,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,40,"[45.0,0.6]",0.034907,
CLBFL0_table,CLBFL0_table,CLBFL0,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,41,"[45.0,0.8]",0.03808,
CLBFL0_table,CLBFL0_table,CLBFL0,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,42,"[45.0,0.9]",0.041254,
CLBFL0_table,CLBFL0_table,CLBFL0,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,43,"[45.0,0.95]",0.046014,
CLBFL0_table,CLBFL0_table,CLBFL0,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,44,"[45.0,1.1]",0.042215,
CLBFL0_table,CLBFL0_table,CLBFL0,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,45,"[45.0,1.2]",0.039681,
CLBFL0_table,CLBFL0_table,CLBFL0,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,46,"[45.0,1.6]",0.029547,
CLBFL0_table,CLBFL0_table,CLBFL0,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,47,"[45.0,2.0]",0.028211,
CLBFL0_table,CLBFL0_table,CLBFL0,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,48,"[45.0,2.5]",0.019132,
CLBFL0_table,CLBFL0_table,CLBFL0,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,49,"[45.0,3.0]",0.016206,
CLBFL0_table,CLBFL0_table,CLBFL0,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,50,"[45.0,3.5]",0.014774,
CLBFL0_table,CLBFL0_table,CLBFL0,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,51,"[45.0,4.0]",0.012558,
CLBFL0_table,CLBFL0_table,CLBFL0,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,52,"[60.0,0.3]",0.063779,
CLBFL0_table,CLBFL0_table,CLBFL0,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,53,"[60.0,0.6]",0.075685,
CLBFL0_table,CLBFL0_table,CLBFL0,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,54,"[60.0,0.8]",0.082566,
CLBFL0_table,CLBFL0_table,CLBFL0,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,55,"[60.0,0.9]",0.089446,
CLBFL0_table,CLBFL0_table,CLBFL0,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,56,"[60.0,0.95]",0.099767,
CLBFL0_table,CLBFL0_table,CLBFL0,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,57,"[60.0,1.1]",0.085587,
CLBFL0_table,CLBFL0_table,CLBFL0,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,58,"[60.0,1.2]",0.076127,
CLBFL0_table,CLBFL0_table,CLBFL0,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,59,"[60.0,1.6]",0.038301,
CLBFL0_table,CLBFL0_table,CLBFL0,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,60,"[60.0,2.0]",0.036569,
CLBFL0_table,CLBFL0_table,CLBFL0,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,61,"[60.0,2.5]",0.0248,
CLBFL0_table,CLBFL0_table,CLBFL0,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,62,"[60.0,3.0]",0.021007,
CLBFL0_table,CLBFL0_table,CLBFL0,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,63,"[60.0,3.5]",0.019151,
CLBFL0_table,CLBFL0_table,CLBFL0,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,64,"[60.0,4.0]",0.016278,
CLBFL1_table,CLBFL1_table,CLBFL1,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,0,"[0.0,0.3]",0.0,
CLBFL1_table,CLBFL1_table,CLBFL1,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,1,"[0.0,0.6]",0.0,
CLBFL1_table,CLBFL1_table,CLBFL1,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,2,"[0.0,0.8]",0.0,
CLBFL1_table,CLBFL1_table,CLBFL1,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,3,"[0.0,0.9]",0.0,
CLBFL1_table,CLBFL1_table,CLBFL1,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,4,"[0.0,0.95]",0.0,
CLBFL1_table,CLBFL1_table,CLBFL1,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,5,"[0.0,1.1]",0.0,
CLBFL1_table,CLBFL1_table,CLBFL1,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,6,"[0.0,1.2]",0.0,
CLBFL1_table,CLBFL1_table,CLBFL1,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,7,"[0.0,1.6]",0.0,
CLBFL1_table,CLBFL1_table,CLBFL1,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,8,"[0.0,2.0]",0.0,
CLBFL1_table,CLBFL1_table,CLBFL1,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,9,"[0.0,2.5]",0.0,
CLBFL1_table,CLBFL1_table,CLBFL1,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,10,"[0.0,3.0]",0.0,
CLBFL1_table,CLBFL1_table,CLBFL1,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,11,"[0.0,3.5]",0.0,
CLBFL1_table,CLBFL1_table,CLBFL1,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,12,"[0.0,4.0]",0.0,
CLBFL1_table,CLBFL1_table,CLBFL1,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,13,"[15.0,0.3]",0.0086555,
CLBFL1_table,CLBFL1_table,CLBFL1,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,14,"[15.0,0.6]",0.010271,
CLBFL1_table,CLBFL1_table,CLBFL1,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,15,"[15.0,0.8]",0.011205,
CLBFL1_table,CLBFL1_table,CLBFL1,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,16,"[15.0,0.9]",0.012139,
CLBFL1_table,CLBFL1_table,CLBFL1,,top-level-definition,2,"[5,13]",DBFL_PTS;XMACH1_PTS,17,"[15.0,0.95]",0.013539,
