table_id,declared_id,name,function_name,source_kind,dimensions,shape,breakpoint_ids,flat_index,coordinates,value,issues
gridded-table-0001,,CL_TABLE,Basic CL,inline-function,2,"[10,6]",MACH1;ALPHA1,0,"[0.0,-4.0]",0.95013,
gridded-table-0001,,CL_TABLE,Basic CL,inline-function,2,"[10,6]",MACH1;ALPHA1,1,"[0.0,0.0]",0.61543,
gridded-table-0001,,CL_TABLE,Basic CL,inline-function,2,"[10,6]",MACH1;ALPHA1,2,"[0.0,4.0]",0.057891,
gridded-table-0001,,CL_TABLE,Basic CL,inline-function,2,"[10,6]",MACH1;ALPHA1,3,"[0.0,8.0]",0.015274,
gridded-table-0001,,CL_TABLE,Basic CL,inline-function,2,"[10,6]",MACH1;ALPHA1,4,"[0.0,12.0]",0.83812,
gridded-table-0001,,CL_TABLE,Basic CL,inline-function,2,"[10,6]",MACH1;ALPHA1,5,"[0.0,16.0]",0.19343,
gridded-table-0001,,CL_TABLE,Basic CL,inline-function,2,"[10,6]",MACH1;ALPHA1,6,"[0.4,-4.0]",0.23114,
gridded-table-0001,,CL_TABLE,Basic CL,inline-function,2,"[10,6]",MACH1;ALPHA1,7,"[0.4,0.0]",0.79194,
gridded-table-0001,,CL_TABLE,Basic CL,inline-function,2,"[10,6]",MACH1;ALPHA1,8,"[0.4,4.0]",0.35287,
gridded-table-0001,,CL_TABLE,Basic CL,inline-function,2,"[10,6]",MACH1;ALPHA1,9,"[0.4,8.0]",0.74679,
gridded-table-0001,,CL_TABLE,Basic CL,inline-function,2,"[10,6]",MACH1;ALPHA1,10,"[0.4,12.0]",0.01964,
gridded-table-0001,,CL_TABLE,Basic CL,inline-function,2,"[10,6]",MACH1;ALPHA1,11,"[0.4,16.0]",0.68222,
gridded-table-0001,,CL_TABLE,Basic CL,inline-function,2,"[10,6]",MACH1;ALPHA1,12,"[0.8,-4.0]",0.60684,
gridded-table-0001,,CL_TABLE,Basic CL,inline-function,2,"[10,6]",MACH1;ALPHA1,13,"[0.8,0.0]",0.92181,
gridded-table-0001,,CL_TABLE,Basic CL,inline-function,2,"[10,6]",MACH1;ALPHA1,14,"[0.8,4.0]",0.81317,
gridded-table-0001,,CL_TABLE,Basic CL,inline-function,2,"[10,6]",MACH1;ALPHA1,15,"[0.8,8.0]",0.4451,
gridded-table-0001,,CL_TABLE,Basic CL,inline-function,2,"[10,6]",MACH1;ALPHA1,16,"[0.8,12.0]",0.68128,
gridded-table-0001,,CL_TABLE,Basic CL,inline-function,2,"[10,6]",MACH1;ALPHA1,17,"[0.8,16.0]",0.30276,
gridded-table-0001,,CL_TABLE,Basic CL,inline-function,2,"[10,6]",MACH1;ALPHA1,18,"[0.9,-4.0]",0.48598,
gridded-table-0001,,CL_TABLE,Basic CL,inline-function,2,"[10,6]",MACH1;ALPHA1,19,"[0.9,0.0]",0.73821,
gridded-table-0001,,CL_TABLE,Basic CL,inline-function,2,"[10,6]",MACH1;ALPHA1,20,"[0.9,4.0]",0.0098613,
gridded-table-0001,,CL_TABLE,Basic CL,inline-function,2,"[10,6]",MACH1;ALPHA1,21,"[0.9,8.0]",0.93181,
gridded-table-0001,,CL_TABLE,Basic CL,inline-function,2,"[10,6]",MACH1;ALPHA1,22,"[0.9,12.0]",0.37948,
gridded-table-0001,,CL_TABLE,Basic CL,inline-function,2,"[10,6]",MACH1;ALPHA1,23,"[0.9,16.0]",0.54167,
gridded-table-0001,,CL_TABLE,Basic CL,inline-function,2,"[10,6]",MACH1;ALPHA1,24,"[0.95,-4.0]",0.8913,
gridded-table-0001,,CL_TABLE,Basic CL,inline-function,2,"[10,6]",MACH1;ALPHA1,25,"[0.95,0.0]",0.17627,
gridded-table-0001,,CL_TABLE,Basic CL,inline-function,2,"[10,6]",MACH1;ALPHA1,26,"[0.95,4.0]",0.13889,
gridded-table-0001,,CL_TABLE,Basic CL,inline-function,2,"[10,6]",MACH1;ALPHA1,27,"[0.95,8.0]",0.46599,
gridded-table-0001,,CL_TABLE,Basic CL,inline-function,2,"[10,6]",MACH1;ALPHA1,28,"[0.95,12.0]",0.8318,
gridded-table-0001,,CL_TABLE,Basic CL,inline-function,2,"[10,6]",MACH1;ALPHA1,29,"[0.95,16.0]",0.15087,
gridded-table-0001,,CL_TABLE,Basic CL,inline-function,2,"[10,6]",MACH1;ALPHA1,30,"[0.99,-4.0]",0.7621,
