table_id,declared_id,name,function_name,source_kind,dimensions,point_index,independent_values,dependent_value,modification_id,issues
CLBAlfaFlap_Table,CLBAlfaFlap_Table,CLBASIC as function of flap angle and angle of   attack,,top-level-definition,2,0,"[1.0,-5.0]",-0.44,,
CLBAlfaFlap_Table,CLBAlfaFlap_Table,CLBASIC as function of flap angle and angle of   attack,,top-level-definition,2,1,"[1.0,10.0]",0.95,,
CLBAlfaFlap_Table,CLBAlfaFlap_Table,CLBASIC as function of flap angle and angle of   attack,,top-level-definition,2,2,"[1.0,12.0]",1.12,,
CLBAlfaFlap_Table,CLBAlfaFlap_Table,CLBASIC as function of flap angle and angle of   attack,,top-level-definition,2,3,"[1.0,14.0]",1.26,,
CLBAlfaFlap_Table,CLBAlfaFlap_Table,CLBASIC as function of flap angle and angle of   attack,,top-level-definition,2,4,"[1.0,15.0]",1.32,,
CLBAlfaFlap_Table,CLBAlfaFlap_Table,CLBASIC as function of flap angle and angle of   attack,,top-level-definition,2,5,"[1.0,17.0]",1.41,,
CLBAlfaFlap_Table,CLBAlfaFlap_Table,CLBASIC as function of flap angle and angle of   attack,,top-level-definition,2,6,"[5.0,-5.0]",-0.55,,
CLBAlfaFlap_Table,CLBAlfaFlap_Table,CLBASIC as function of flap angle and angle of   attack,,top-level-definition,2,7,"[5.0,0.0]",-0.03,,
CLBAlfaFlap_Table,CLBAlfaFlap_Table,CLBASIC as function of flap angle and angle of   attack,,top-level-definition,2,8,"[5.0,5.0]",0.5,,
CLBAlfaFlap_Table,CLBAlfaFlap_Table,CLBASIC as function of flap angle and angle of   attack,,top-level-definition,2,9,"[5.0,10.0]",1.02,,
CLBAlfaFlap_Table,CLBAlfaFlap_Table,CLBASIC as function of flap angle and angle of   attack,,top-level-definition,2,10,"[5.0,12.0]",1.23,,
CLBAlfaFlap_Table,CLBAlfaFlap_Table,CLBASIC as function of flap angle and angle of   attack,,top-level-definition,2,11,"[5.0,14.0]",1.44,,
CLBAlfaFlap_Table,CLBAlfaFlap_Table,CLBASIC as function of flap angle and angle of   attack,,top-level-definition,2,12,"[5.0,16.0]",1.63,,
CLBAlfaFlap_Table,CLBAlfaFlap_Table,CLBASIC as function of flap angle and angle of   attack,,top-level-definition,2,13,"[5.0,17.0]",1.7,,
CLBAlfaFlap_Table,CLBAlfaFlap_Table,CLBASIC as function of flap angle and angle of   attack,,top-level-definition,2,14,"[5.0,18.0]",1.75,,
CLBAlfaFlap_Table,CLBAlfaFlap_Table,CLBASIC as function of flap angle and angle of   attack,,top-level-definition,2,15,"[10.0,-5.0]",-0.4,,
CLBAlfaFlap_Table,CLBAlfaFlap_Table,CLBASIC as function of flap angle and angle of   attack,,top-level-definition,2,16,"[10.0,14.0]",1.57,,
CLBAlfaFlap_Table,CLBAlfaFlap_Table,CLBASIC as function of flap angle and angle of   attack,,top-level-definition,2,17,"[10.0,15.0]",1.66,,
CLBAlfaFlap_Table,CLBAlfaFlap_Table,CLBASIC as function of flap angle and angle of   attack,,top-level-definition,2,18,"[10.0,16.0]",1.75,,
CLBAlfaFlap_Table,CLBAlfaFlap_Table,CLBASIC as function of flap angle and angle of   attack,,top-level-definition,2,19,"[10.0,17.0]",1.8,,
CLBAlfaFlap_Table,CLBAlfaFlap_Table,CLBASIC as function of flap angle and angle of   attack,,top-level-definition,2,20,"[10.0,18.0]",1.84,,
