shot_name,reference_id,section,identifier_kind,identifier,units,value,tolerance,issues
"lower left corner of envelope, idle",,input,signalName,powerLeverAngle,pct,0.0,,
"lower left corner of envelope, idle",,input,signalName,altitudeMSL,ft,0.0,,
"lower left corner of envelope, idle",,input,signalName,mach,nd,0.0,,
"lower left corner of envelope, idle",,output,signalName,thrustBodyForce_X,lbf,1060.0,1e-05,
"lower left corner of envelope, idle",,output,signalName,thrustBodyForce_Y,lbf,0.0,1e-05,
"lower left corner of envelope, idle",,output,signalName,thrustBodyForce_Z,lbf,0.0,1e-05,
"lower left corner of envelope, idle",,output,signalName,thrustBodyMoment_Roll,ftlbf,0.0,1e-05,
"lower left corner of envelope, idle",,output,signalName,thrustBodyMoment_Pitch,ftlbf,0.0,1e-05,
"lower left corner of envelope, idle",,output,signalName,thrustBodyMoment_Yaw,ftlbf,0.0,1e-05,
"lower left corner of envelope, mil power",,input,signalName,powerLeverAngle,pct,50.0,,
"lower left corner of envelope, mil power",,input,signalName,altitudeMSL,ft,0.0,,
"lower left corner of envelope, mil power",,input,signalName,mach,nd,0.0,,
"lower left corner of envelope, mil power",,output,signalName,thrustBodyForce_X,lbf,12680.0,1e-05,
"lower left corner of envelope, mil power",,output,signalName,thrustBodyForce_Y,lbf,0.0,1e-05,
"lower left corner of envelope, mil power",,output,signalName,thrustBodyForce_Z,lbf,0.0,1e-05,
"lower left corner of envelope, mil power",,output,signalName,thrustBodyMoment_Roll,ftlbf,0.0,1e-05,
"lower left corner of envelope, mil power",,output,signalName,thrustBodyMoment_Pitch,ftlbf,0.0,1e-05,
"lower left corner of envelope, mil power",,output,signalName,thrustBodyMoment_Yaw,ftlbf,0.0,1e-05,
"lower left corner of envelope, max power",,input,signalName,powerLeverAngle,pct,100.0,,
"lower left corner of envelope, max power",,input,signalName,altitudeMSL,ft,0.0,,
"lower left corner of envelope, max power",,input,signalName,mach,nd,0.0,,
"lower left corner of envelope, max power",,output,signalName,thrustBodyForce_X,lbf,20000.0,1e-05,
"lower left corner of envelope, max power",,output,signalName,thrustBodyForce_Y,lbf,0.0,1e-05,
"lower left corner of envelope, max power",,output,signalName,thrustBodyForce_Z,lbf,0.0,1e-05,
"lower left corner of envelope, max power",,output,signalName,thrustBodyMoment_Roll,ftlbf,0.0,1e-05,
"lower left corner of envelope, max power",,output,signalName,thrustBodyMoment_Pitch,ftlbf,0.0,1e-05,
"lower left corner of envelope, max power",,output,signalName,thrustBodyMoment_Yaw,ftlbf,0.0,1e-05,
"lower RIGHT corner of envelope, max power",,input,signalName,powerLeverAngle,pct,100.0,,
"lower RIGHT corner of envelope, max power",,input,signalName,altitudeMSL,ft,0.0,,
"lower RIGHT corner of envelope, max power",,input,signalName,mach,nd,1.0,,
"lower RIGHT corner of envelope, max power",,output,signalName,thrustBodyForce_X,lbf,28885.0,1e-05,
"lower RIGHT corner of envelope, max power",,output,signalName,thrustBodyForce_Y,lbf,0.0,1e-05,
"lower RIGHT corner of envelope, max power",,output,signalName,thrustBodyForce_Z,lbf,0.0,1e-05,
"lower RIGHT corner of envelope, max power",,output,signalName,thrustBodyMoment_Roll,ftlbf,0.0,1e-05,
"lower RIGHT corner of envelope, max power",,output,signalName,thrustBodyMoment_Pitch,ftlbf,0.0,1e-05,
"lower RIGHT corner of envelope, max power",,output,signalName,thrustBodyMoment_Yaw,ftlbf,0.0,1e-05,
"upper corner of envelope, idle",,input,signalName,powerLeverAngle,pct,0.0,,
"upper corner of envelope, idle",,input,signalName,altitudeMSL,ft,50000.0,,
"upper corner of envelope, idle",,input,signalName,mach,nd,1.0,,
"upper corner of envelope, idle",,output,signalName,thrustBodyForce_X,lbf,700.0,1e-05,
"upper corner of envelope, idle",,output,signalName,thrustBodyForce_Y,lbf,0.0,1e-05,
"upper corner of envelope, idle",,output,signalName,thrustBodyForce_Z,lbf,0.0,1e-05,
"upper corner of envelope, idle",,output,signalName,thrustBodyMoment_Roll,ftlbf,0.0,1e-05,
"upper corner of envelope, idle",,output,signalName,thrustBodyMoment_Pitch,ftlbf,0.0,1e-05,
"upper corner of envelope, idle",,output,signalName,thrustBodyMoment_Yaw,ftlbf,0.0,1e-05,
"upper corner of envelope, mil power",,input,signalName,powerLeverAngle,pct,50.0,,
"upper corner of envelope, mil power",,input,signalName,altitudeMSL,ft,50000.0,,
"upper corner of envelope, mil power",,input,signalName,mach,nd,1.0,,
"upper corner of envelope, mil power",,output,signalName,thrustBodyForce_X,lbf,2310.0,1e-05,
"upper corner of envelope, mil power",,output,signalName,thrustBodyForce_Y,lbf,0.0,1e-05,
"upper corner of envelope, mil power",,output,signalName,thrustBodyForce_Z,lbf,0.0,1e-05,
"upper corner of envelope, mil power",,output,signalName,thrustBodyMoment_Roll,ftlbf,0.0,1e-05,
"upper corner of envelope, mil power",,output,signalName,thrustBodyMoment_Pitch,ftlbf,0.0,1e-05,
"upper corner of envelope, mil power",,output,signalName,thrustBodyMoment_Yaw,ftlbf,0.0,1e-05,
