breakpoint_id,name,units,index,value,issues
ALPHA1,alpha_bp_for_forces,deg,0,-10.0,
ALPHA1,alpha_bp_for_forces,deg,1,-8.0,
ALPHA1,alpha_bp_for_forces,deg,2,-6.0,
ALPHA1,alpha_bp_for_forces,deg,3,-4.0,
ALPHA1,alpha_bp_for_forces,deg,4,-2.0,
ALPHA1,alpha_bp_for_forces,deg,5,0.0,
ALPHA1,alpha_bp_for_forces,deg,6,2.0,
ALPHA1,alpha_bp_for_forces,deg,7,4.0,
ALPHA1,alpha_bp_for_forces,deg,8,6.0,
ALPHA1,alpha_bp_for_forces,deg,9,8.0,
ALPHA1,alpha_bp_for_forces,deg,10,10.0,
ALPHA2,alpha_bp_for_moments,deg,0,-20.0,
ALPHA2,alpha_bp_for_moments,deg,1,0.0,
ALPHA2,alpha_bp_for_moments,deg,2,20.0,
BETA1,beta_bp_for_forces,deg,0,-10.0,
BETA1,beta_bp_for_forces,deg,1,-8.0,
BETA1,beta_bp_for_forces,deg,2,-6.0,
BETA1,beta_bp_for_forces,deg,3,-4.0,
BETA1,beta_bp_for_forces,deg,4,-2.0,
BETA1,beta_bp_for_forces,deg,5,0.0,
BETA1,beta_bp_for_forces,deg,6,2.0,
BETA1,beta_bp_for_forces,deg,7,4.0,
BETA1,beta_bp_for_forces,deg,8,6.0,
BETA1,beta_bp_for_forces,deg,9,8.0,
BETA1,beta_bp_for_forces,deg,10,10.0,
BETA2,beta_bp_for_moments,deg,0,-20.0,
BETA2,beta_bp_for_moments,deg,1,0.0,
BETA2,beta_bp_for_moments,deg,2,20.0,
