table_id,declared_id,name,function_name,source_kind,dimensions,shape,breakpoint_ids,flat_index,coordinates,value,issues
CL_table_def,CL_table_def,CL_table,LiftCoefficient_fcn,inline-function,1,[11],ALPHA1,0,[-10.0],-1.6,
CL_table_def,CL_table_def,CL_table,LiftCoefficient_fcn,inline-function,1,[11],ALPHA1,1,[-8.0],-1.0,
CL_table_def,CL_table_def,CL_table,LiftCoefficient_fcn,inline-function,1,[11],ALPHA1,2,[-6.0],-0.73,
CL_table_def,CL_table_def,CL_table,LiftCoefficient_fcn,inline-function,1,[11],ALPHA1,3,[-4.0],-0.49,
CL_table_def,CL_table_def,CL_table,LiftCoefficient_fcn,inline-function,1,[11],ALPHA1,4,[-2.0],-0.24,
CL_table_def,CL_table_def,CL_table,LiftCoefficient_fcn,inline-function,1,[11],ALPHA1,5,[0.0],0.0,
CL_table_def,CL_table_def,CL_table,LiftCoefficient_fcn,inline-function,1,[11],ALPHA1,6,[2.0],0.24,
CL_table_def,CL_table_def,CL_table,LiftCoefficient_fcn,inline-function,1,[11],ALPHA1,7,[4.0],0.49,
CL_table_def,CL_table_def,CL_table,LiftCoefficient_fcn,inline-function,1,[11],ALPHA1,8,[6.0],0.73,
CL_table_def,CL_table_def,CL_table,LiftCoefficient_fcn,inline-function,1,[11],ALPHA1,9,[8.0],1.0,
CL_table_def,CL_table_def,CL_table,LiftCoefficient_fcn,inline-function,1,[11],ALPHA1,10,[10.0],1.6,
CD_table_def,CD_table_def,CD_table,DragCoefficient_fcn,inline-function,1,[11],ALPHA1,0,[-10.0],0.48,
CD_table_def,CD_table_def,CD_table,DragCoefficient_fcn,inline-function,1,[11],ALPHA1,1,[-8.0],0.38,
CD_table_def,CD_table_def,CD_table,DragCoefficient_fcn,inline-function,1,[11],ALPHA1,2,[-6.0],0.31,
CD_table_def,CD_table_def,CD_table,DragCoefficient_fcn,inline-function,1,[11],ALPHA1,3,[-4.0],0.25,
CD_table_def,CD_table_def,CD_table,DragCoefficient_fcn,inline-function,1,[11],ALPHA1,4,[-2.0],0.23,
CD_table_def,CD_table_def,CD_table,DragCoefficient_fcn,inline-function,1,[11],ALPHA1,5,[0.0],0.21,
CD_table_def,CD_table_def,CD_table,DragCoefficient_fcn,inline-function,1,[11],ALPHA1,6,[2.0],0.23,
CD_table_def,CD_table_def,CD_table,DragCoefficient_fcn,inline-function,1,[11],ALPHA1,7,[4.0],0.25,
CD_table_def,CD_table_def,CD_table,DragCoefficient_fcn,inline-function,1,[11],ALPHA1,8,[6.0],0.31,
CD_table_def,CD_table_def,CD_table,DragCoefficient_fcn,inline-function,1,[11],ALPHA1,9,[8.0],0.38,
CD_table_def,CD_table_def,CD_table,DragCoefficient_fcn,inline-function,1,[11],ALPHA1,10,[10.0],0.48,
CY_table_def,CY_table_def,CYtable,SideforceCoefficient_fcn,inline-function,1,[11],BETA1,0,[-10.0],1.6,
CY_table_def,CY_table_def,CYtable,SideforceCoefficient_fcn,inline-function,1,[11],BETA1,1,[-8.0],1.0,
CY_table_def,CY_table_def,CYtable,SideforceCoefficient_fcn,inline-function,1,[11],BETA1,2,[-6.0],0.73,
CY_table_def,CY_table_def,CYtable,SideforceCoefficient_fcn,inline-function,1,[11],BETA1,3,[-4.0],0.49,
CY_table_def,CY_table_def,CYtable,SideforceCoefficient_fcn,inline-function,1,[11],BETA1,4,[-2.0],0.24,
CY_table_def,CY_table_def,CYtable,SideforceCoefficient_fcn,inline-function,1,[11],BETA1,5,[0.0],0.0,
CY_table_def,CY_table_def,CYtable,SideforceCoefficient_fcn,inline-function,1,[11],BETA1,6,[2.0],-0.24,
CY_table_def,CY_table_def,CYtable,SideforceCoefficient_fcn,inline-function,1,[11],BETA1,7,[4.0],-0.49,
CY_table_def,CY_table_def,CYtable,SideforceCoefficient_fcn,inline-function,1,[11],BETA1,8,[6.0],-0.73,
CY_table_def,CY_table_def,CYtable,SideforceCoefficient_fcn,inline-function,1,[11],BETA1,9,[8.0],-1.0,
CY_table_def,CY_table_def,CYtable,SideforceCoefficient_fcn,inline-function,1,[11],BETA1,10,[10.0],-1.6,
Cm_table_def,Cm_table_def,Cm_table,PitchingMomentCoefficient_fcn,inline-function,1,[3],ALPHA2,0,[-20.0],0.6,
Cm_table_def,Cm_table_def,Cm_table,PitchingMomentCoefficient_fcn,inline-function,1,[3],ALPHA2,1,[0.0],0.0,
Cm_table_def,Cm_table_def,Cm_table,PitchingMomentCoefficient_fcn,inline-function,1,[3],ALPHA2,2,[20.0],-0.6,
Cn_table_def,Cn_table_def,Cn_table,YawingMomentCoefficient_fcn,inline-function,1,[3],BETA2,0,[-20.0],-0.6,
Cn_table_def,Cn_table_def,Cn_table,YawingMomentCoefficient_fcn,inline-function,1,[3],BETA2,1,[0.0],0.0,
Cn_table_def,Cn_table_def,Cn_table,YawingMomentCoefficient_fcn,inline-function,1,[3],BETA2,2,[20.0],0.6,
