member,is_directory,compressed_bytes,uncompressed_bytes,crc32
All_models/,True,0,0,00000000
All_models/orbital_sphere_inertia.dml,False,952,3913,44556df2
All_models/two-stage_package/,True,0,0,00000000
All_models/two-stage_package/twostage_prop.dml,False,1823,7196,81ad5c06
All_models/two-stage_package/README.html,False,10439,45691,1b2e5eea
All_models/two-stage_package/twostage_inertia.dml,False,3024,17600,c12346e5
All_models/two-stage_package/twostage_aero.dml,False,2510,12131,8bb854ae
All_models/orbital_station_inertia.dml,False,967,3959,34c95cc9
All_models/brick_aero.dml,False,1763,8765,de100d9d
All_models/brick_inertia.dml,False,1010,4051,30e61fde
All_models/F16_package/,True,0,0,00000000
All_models/F16_package/F16_S119_source/,True,0,0,00000000
All_models/F16_package/F16_S119_source/F16_prop.dml,False,3511,29371,be68a917
All_models/F16_package/F16_S119_source/F16_inertia.dml,False,1462,5223,a0d10ed4
All_models/F16_package/F16_S119_source/F16_control.dml,False,6530,39614,5819800c
All_models/F16_package/F16_S119_source/F16_aero.dml,False,12556,175444,884999b6
All_models/F16_package/F16_S119_source/F16_gnc.dml,False,7567,46829,192830c2
All_models/F16_package/README/,True,0,0,00000000
All_models/F16_package/README/README.html,False,15407,85434,24d5733b
All_models/F16_package/README/Figures/,True,0,0,00000000
All_models/F16_package/README/Figures/trim_soln_subsonic.png,False,126562,139992,a65adca7
All_models/F16_package/README/Figures/alt_step_strip.png,False,154392,168734,8ed64384
All_models/F16_package/README/Figures/trk_offset_step_track.png,False,69955,88734,52b92177
All_models/F16_package/README/Figures/idl_strip.png,False,146357,161364,cafd3b2b
All_models/F16_package/README/Figures/hdg_step_track.png,False,84418,96839,facb1af5
All_models/F16_package/README/Figures/idl_track.png,False,104128,111835,e7c91a7e
All_models/F16_package/README/Figures/npole_track.png,False,135693,142809,5ae83e3a
All_models/F16_package/README/Figures/hdg_step_strip.png,False,141300,155698,c9f9536a
All_models/F16_package/README/Figures/keas_step_strip.png,False,153464,168191,c9a95619
All_models/F16_package/README/Figures/trk_offset_step_strip.png,False,142230,156384,5de9c647
All_models/F16_package/README/Figures/npole_strip.png,False,128138,144127,4e3f625c
All_models/cannonball_inertia.dml,False,940,3938,c417832b
All_models/cannonball_aero.dml,False,975,3893,921d1955
All_models/orbital_cylinder_inertia.dml,False,956,3917,26edab00
