member,is_directory,compressed_bytes,uncompressed_bytes,crc32
Atmospheric_checkcases/,True,0,0,00000000
Atmospheric_checkcases/Atmos_13p1_SubsonicAltitudeChangeF16/,True,0,0,00000000
Atmospheric_checkcases/Atmos_13p1_SubsonicAltitudeChangeF16/Atmos_13p1_sim_02.csv,False,30475,71158,83a87a75
Atmospheric_checkcases/Atmos_13p1_SubsonicAltitudeChangeF16/Atmos_13p1_sim_04.csv,False,41309,95173,b58b1c8c
Atmospheric_checkcases/Atmos_13p1_SubsonicAltitudeChangeF16/Atmos_13p1_sim_05.csv,False,169626,447257,d275391c
Atmospheric_checkcases/Atmos_13p2_SubsonicAirspeedChangeF16/,True,0,0,00000000
Atmospheric_checkcases/Atmos_13p2_SubsonicAirspeedChangeF16/Atmos_13p2_sim_05.csv,False,165373,449450,bdb6d5f4
Atmospheric_checkcases/Atmos_13p2_SubsonicAirspeedChangeF16/Atmos_13p2_sim_02.csv,False,29217,71058,e949b9a8
Atmospheric_checkcases/Atmos_13p2_SubsonicAirspeedChangeF16/Atmos_13p2_sim_04.csv,False,39862,96019,fcd125d0
Atmospheric_checkcases/Atmos_02_TumblingBrickNoDamping/,True,0,0,00000000
Atmospheric_checkcases/Atmos_02_TumblingBrickNoDamping/Atmos_02_sim_04.csv,False,47285,107176,19aa5523
Atmospheric_checkcases/Atmos_02_TumblingBrickNoDamping/Atmos_02_sim_02.csv,False,36096,81436,b8116581
Atmospheric_checkcases/Atmos_02_TumblingBrickNoDamping/Atmos_02_sim_01.csv,False,51400,114000,2cba297c
Atmospheric_checkcases/Atmos_02_TumblingBrickNoDamping/Atmos_02_sim_05.csv,False,810132,1947217,d1bcdfc2
Atmospheric_checkcases/Atmos_02_TumblingBrickNoDamping/Atmos_02_sim_06.csv,False,76879,168713,603d3de9
Atmospheric_checkcases/Atmos_12_TrimCheckSupersonicF16/,True,0,0,00000000
Atmospheric_checkcases/Atmos_12_TrimCheckSupersonicF16/Atmos_12_sim_02.csv,False,272475,707210,96a2e706
Atmospheric_checkcases/Atmos_12_TrimCheckSupersonicF16/Atmos_12_sim_04.csv,False,327581,866273,ea45276f
Atmospheric_checkcases/Atmos_12_TrimCheckSupersonicF16/Atmos_12_sim_05.csv,False,500057,1346613,d9be2c03
Atmospheric_checkcases/Atmos_11_TrimCheckSubsonicF16/,True,0,0,00000000
Atmospheric_checkcases/Atmos_11_TrimCheckSubsonicF16/Atmos_11_sim_05.csv,False,491445,1348329,cff84091
