variable_id,name,units,symbol,axis_system,sign,alias,initial_value,minimum_value,maximum_value,roles,has_calculation,description
ALP_UNLIM,angleOfAttack,deg,α,,ANU,,,,,isInput;isStdAIAA,False,"Instantaneous true angle-of-attack, in degrees (before alpha limiter)"
BETA,angleOfSideslip,deg,β,,ANL,,,,,isInput;isStdAIAA,False,"Instantaneous true angle-of-sideslip, in degrees"
XMACH,mach,nd,M,,,,,,,isInput;isStdAIAA,False,Mach number (dimensionless)
PB,bodyAngularRate_Roll,rad_s,p,,,,,,,isInput;isStdAIAA,False,"Body axis roll rate, radians/sec (+RWD)"
QB,bodyAngularRate_Pitch,rad_s,q,,,,,,,isInput;isStdAIAA,False,"Body axis pitch rate, radians/sec (+RWD)"
RB,bodyAngularRate_Yaw,rad_s,r,,,,,,,isInput;isStdAIAA,False,"Body axis yaw rate, radians/sec (+RWD)"
VRW,trueAirspeed,f_s,Vrw,,,,,,,isInput;isStdAIAA,False,"Velocity of vehicle w.r.t. airmass, ft/sec (always +)"
H_rwy,heightOfCgWrtRwy,f,Hrwy,,,,,,,isInput;isStdAIAA,False,"Height of ref. pt. above ground, ft"
DBFUL,upperLeftBodyFlapDeflection,deg,δbful,,ted,,,,,isInput,False,"Upper left body flap deflection, deg, +TED (so deflections are always zero or negative)."
DBFUR,upperRightBodyFlapDeflection,deg,δbfur,,ted,,,,,isInput,False,"Upper right body flap deflection, deg, +TED (so deflections are always zero or negative)."
DBFLL,lowerLeftBodyFlapDeflection,deg,δbfll,,ted,,,,,isInput,False,"Lower left body flap deflection, deg, +TED (so deflections are always zero or positive)."
DBFLR,lowerRightBodyFlapDeflection,deg,δbflr,,ted,,,,,isInput,False,"Lower right body flap deflection, deg, +TED (so deflections are always zero or positive)."
DWFL,leftWingFlapDeflection,deg,δwfl,,ted,,,,,isInput,False,"Left wing flap deflection, deg, +TED"
DWFR,rightWingFlapDeflection,deg,δwfr,,ted,,,,,isInput,False,"Right wing flap deflection, deg, +TED"
DRUD,rudderDeflection,deg,δr,,tel,,,,,isInput,False,"Rudder deflection, deg, +TE left"
DLG,landingGearExtension,deg,δlg,,ext,,,,,isInput,False,"Landing gear extension angle, deg (0 = retracted, 90 = down)"
CBAR,referenceWingChord,f,,,,,28.24,,,isOutput;isStdAIAA,False,"Body length of HL-20, used as reference longitudinal length"
BSPAN,referenceWingSpan,f,b,,,,13.89,,,isOutput;isStdAIAA,False,"Width of HL-20, used as reference lateral length"
SWING,referenceWingArea,f2,S,,,,286.45,,,isOutput;isStdAIAA,False,Reference area of HL-20 aero model
XRP,vrsPositionOfMrc_X,fracMAC,xrp,,aft,,0.54,,,isOutput;isStdAIAA,False,"Longitudinal location of ref pt, fraction (0-1) of body length (+AFT)"
CMQ0,Cmq_0,nd,,,,,-0.22364,,,,False,Aerodynamic pitch damping due to pitch rate due to alpha^0 (constant term).
CMQ1,Cmq_1,nd,,,,,0.020457,,,,False,Aerodynamic pitch damping due to pitch rate due to alpha^1.
CMQ2,Cmq_2,nd,,,,,-0.0016741,,,,False,Aerodynamic pitch damping due to pitch rate due to alpha^2.
CMQ3,Cmq_3,nd,,,,,3.1618e-05,,,,False,Aerodynamic pitch damping due to pitch rate due to alpha^3.
CNP0,Cnp_0,nd,,,,,0.40031,,,,False,Aerodynamic yaw damping due to roll rate due to alpha^0 (constant term).
CNP1,Cnp_1,nd,,,,,-0.015518,,,,False,Aerodynamic yaw damping due to roll rate due to alpha^1.
CNP2,Cnp_2,nd,,,,,-0.00012143,,,,False,Aerodynamic yaw damping due to roll rate due to alpha^2.
CNP3,Cnp_3,nd,,,,,1.824e-05,,,,False,Aerodynamic yaw damping due to roll rate due to alpha^3.
CNR0,Cnr_0,nd,,,,,-0.79533,,,,False,Aerodynamic yaw damping due to yaw rate due to alpha^0 (constant term).
CNR1,Cnr_1,nd,,,,,-0.012647,,,,False,Aerodynamic yaw damping due to yaw rate due to alpha^1.
CNR2,Cnr_2,nd,,,,,0.00032696,,,,False,Aerodynamic yaw damping due to yaw rate due to alpha^2.
CNR3,Cnr_3,nd,,,,,-6.5929e-06,,,,False,Aerodynamic yaw damping due to yaw rate due to alpha^3.
CLP0,Clp_0,nd,,,,,-0.55242,,,,False,Aerodynamic roll damping due to roll rate due to alpha^0 (constant term).
CLP1,Clp_1,nd,,,,,0.014478,,,,False,Aerodynamic roll damping due to roll rate due to alpha^1.
CLP2,Clp_2,nd,,,,,-0.0011545,,,,False,Aerodynamic roll damping due to roll rate due to alpha^2.
CLP3,Clp_3,nd,,,,,1.7706e-05,,,,False,Aerodynamic roll damping due to roll rate due to alpha^3.
CLR0,Clr_0,nd,,,,,0.44685,,,,False,Aerodynamic roll damping due to yaw rate due to alpha^0 (constant term).
CLR1,Clr_1,nd,,,,,0.067411,,,,False,Aerodynamic roll damping due to yaw rate due to alpha^1.
CLR2,Clr_2,nd,,,,,-0.0051866,,,,False,Aerodynamic roll damping due to yaw rate due to alpha^2.
CLR3,Clr_3,nd,,,,,0.00012659,,,,False,Aerodynamic roll damping due to yaw rate due to alpha^3.
ALP_MAX_LIM,Upper limit of alpha,deg,,,anu,,,,,,False,Output of ALPHA_MAX_LIMIT function vs Mach
ALP,Limited_angle_of_attack,deg,,,anu,,,,,,True,"Instantaneous angle of attack, limited as a function of Mach number, degrees. If unlimited alpha (ALP_UNLIM) is less than -2, output -2 (lower alpha limit at all Mach). If unlimited alpha is greater than ALP_MAX_LIM, a function of Mach, output ALP_MAX_LIM. Otherwise, output current value of ALP_UNLIM."
abs_rud,abs_rud,deg,,,,,,,,,True,Absolute value of rudder deflection angle
HOB,hob,nd,h/b,,,,,,,,True,"Height of ref. pt. above ground, normalized by span (width) of vehicle."
PBO2V,pbo2V,nd,pb/2V,,,,,,,,True,Non-dimensionalized body roll rate w.r.t. airmass
QCO2V,qco2V,nd,qc/2V,,,,,,,,True,Non-dimensionalized body pitch rate w.r.t. airmass
RBO2V,rbo2V,nd,rb/2V,,,,,,,,True,Non-dimensionalized body yaw rate w.r.t. airmass
CL0A0,CLo_0,nd,,,,,,,,,False,Output of CL0A0 function; lift contribution of vehicle due to alpha^0 (constant term).
CL0A1,CLo_1,nd,,,,,,,,,False,Output of CL0A1 function; lift contribution of vehicle due to alpha^1.
CL0A2,CLo_2,nd,,,,,,,,,False,Output of CL0A2 function; lift contribution of vehicle due to alpha^2.
CL0A3,CLo_3,nd,,,,,,,,,False,Output of CL0A3 function; lift contribution of vehicle due to alpha^3.
CL0,CLo,nd,,,,,,,,,True,Lift contribution of basic vehicle CLo = CLo_0 + alpha*(CLo_1 + alpha*(CLo_2 + alpha*CLo_3))
CD0A0,CDo_0,nd,,,,,,,,,False,Output of CD0A0 function; drag contribution of vehicle due to alpha^0 (constant term).
CD0A1,CDo_1,nd,,,,,,,,,False,Output of CD0A1 function; drag contribution of vehicle due to alpha^1.
CD0A2,CDo_2,nd,,,,,,,,,False,Output of CD0A2 function; drag contribution of vehicle due to alpha^2.
CD0A3,CDo_3,nd,,,,,,,,,False,Output of CD0A3 function; drag contribution of vehicle due to alpha^3.
CD0,CDo,nd,,,,,,,,,True,Drag contribution of basic vehicle CDo = CDo_0 + alpha*(CDo_1 + alpha*(CDo_2 + alpha*CDo_3))
CM0A0,Cmo_0,nd,,,,,,,,,False,Output of CM0A0 function; pitching moment contribution of vehicle due to alpha^0 (constant term).
CM0A1,Cmo_1,nd,,,,,,,,,False,Output of CM0A1 function; pitching moment contribution of vehicle due to alpha^1.
CM0A2,Cmo_2,nd,,,,,,,,,False,Output of CM0A2 function; pitching moment contribution of vehicle due to alpha^2.
CM0A3,Cmo_3,nd,,,,,,,,,False,Output of CM0A3 function; pitching moment contribution of vehicle due to alpha^3.
CM0,Cmo,nd,,,,,,,,,True,Pitching moment contribution of basic vehicle Cmo = Cmo_0 + alpha*(Cmo_1 + alpha*(Cmo_2 + alpha*Cmo_3))
CY0A0,CYBo_0,nd,,,,,,,,,False,Output of CY0A0 function; sideforce per sideslip contribution of vehicle due to alpha^0 (constant term).
CY0A1,CYBo_1,nd,,,,,,,,,False,Output of CY0A1 function; sideforce per sideslip contribution of vehicle due to alpha^1.
CY0A2,CYBo_2,nd,,,,,,,,,False,Output of CY0A2 function; sideforce per sideslip contribution of vehicle due to alpha^2.
CY0A3,CYBo_3,nd,,,,,,,,,False,Output of CY0A3 function; sideforce per sideslip contribution of vehicle due to alpha^3.
CYB,CYBo,nd,,,,,,,,,True,Sideforce contribution of basic vehicle due to sideslip CYBo = CYBo_0 + alpha*(CYBo_1 + alpha*(CYBo_2 + alpha*CYBo_3))
CR0A0,ClBo_0,nd,,,,,,,,,False,Output of CR0A0 function; rolling moment per sideslip contribution of vehicle due to alpha^0 (constant term).
CR0A1,ClBo_1,nd,,,,,,,,,False,Output of CR0A1 function; rolling moment per sideslip contribution of vehicle due to alpha^1.
CR0A2,ClBo_2,nd,,,,,,,,,False,Output of CR0A2 function; rolling moment per sideslip contribution of vehicle due to alpha^2.
CR0A3,ClBo_3,nd,,,,,,,,,False,Output of CR0A3 function; rolling moment per sideslip contribution of vehicle due to alpha^3.
CRB,ClBo,nd,,,,,,,,,True,Rolling moment contribution of basic vehicle due to sideslip ClBo = ClBo_0 + alpha*(ClBo_1 + alpha*(ClBo_2 + alpha*ClBo_3))
CN0A0,CnBo_0,nd,,,,,,,,,False,Output of CN0A0 function; yawing moment per sideslip contribution of vehicle due to alpha^0 (constant term).
CN0A1,CnBo_1,nd,,,,,,,,,False,Output of CN0A1 function; yawing moment per sideslip contribution of vehicle due to alpha^1.
CN0A2,CnBo_2,nd,,,,,,,,,False,Output of CN0A2 function; yawing moment per sideslip contribution of vehicle due to alpha^2.
CN0A3,CnBo_3,nd,,,,,,,,,False,Output of CN0A3 function; yawing moment per sideslip contribution of vehicle due to alpha^3.
CNB,CnBo,nd,,,,,,,,,True,Yawing moment contribution of basic vehicle due to sideslip Cno = Cno_0 + alpha*(Cno_1 + alpha*(Cno_2 + alpha*Cno_3))
CLRUD0,CLdr_0,nd,,,,,,,,,False,Output of CLRUD0 function; lift contribution of rudder deflection due to alpha^0 (constant term).
CLRUD1,CLdr_1,nd,,,,,,,,,False,Output of CLRUD1 function; lift contribution of rudder deflection due to alpha^1.
CLRUD2,CLdr_2,nd,,,,,,,,,False,Output of CLRUD2 function; lift contribution of rudder deflection due to alpha^2.
