angle_deg,lift_coefficient,drag_coefficient_total_angle,side_coefficient_at_beta
-10,-1.6000000000000001,0.47999999999999998,1.6000000000000001
-8,-1,0.38,1
-6,-0.72999999999999998,0.31,0.72999999999999998
-4,-0.48999999999999999,0.25,0.48999999999999999
-2,-0.23999999999999999,0.23000000000000001,0.23999999999999999
0,0,0.20999999999999999,0
2,0.23999999999999999,0.23000000000000001,-0.23999999999999999
4,0.48999999999999999,0.25,-0.48999999999999999
6,0.72999999999999998,0.31,-0.72999999999999998
8,1,0.38,-1
10,1.6000000000000001,0.47999999999999998,-1.6000000000000001
