time_s,phase,staged,stage1_firing,stage2_firing,stage1_fuel_used_kg,stage2_fuel_used_kg,mass_kg,cg_aft_nose_m,mrc_aft_nose_m,cg_from_mrc_body_x_m,ixx_kg_m2,iyy_kg_m2,izz_kg_m2,ixx_rate_kg_m2_s,iyy_rate_kg_m2_s,izz_rate_kg_m2_s
0,stage1_burn,false,true,false,0,0,314000,16.918790000000001,16.918790000000001,0,353250,33501637.473461002,33501637.473461002,-5417.270001835499,-604995.38752698491,-604995.38752698491
1,stage1_burn,false,true,false,4815.3511127426655,0,309184.64888725732,16.718226666865576,16.918790000000001,0.20056333313442565,347832.72999816446,32896642.085934013,32896642.085934013,-5417.270001835499,-604995.38752698491,-604995.38752698491
2,stage1_burn,false,true,false,9630.7022254853309,0,304369.29777451465,16.517663333731154,16.918790000000001,0.40112666626884774,342415.45999632904,32291646.698407032,32291646.698407032,-5417.270001835499,-604995.38752698491,-604995.38752698491
3,stage1_burn,false,true,false,14446.053338227997,0,299553.94666177197,16.317100000596728,16.918790000000001,0.60168999940327339,336998.1899944935,31686651.31088005,31686651.31088005,-5417.270001835499,-604995.38752698491,-604995.38752698491
4,stage1_burn,false,true,false,19261.404450970662,0,294738.5955490293,16.116536667462302,16.918790000000001,0.80225333253769904,331580.91999265796,31081655.923353061,31081655.923353061,-5417.270001835499,-604995.38752698491,-604995.38752698491
5,stage1_burn,false,true,false,24076.755563713326,0,289923.24443628668,15.915973334327877,16.918790000000001,1.0028166656721247,326163.64999082254,30476660.53582608,30476660.53582608,-5417.270001835499,-604995.38752698491,-604995.38752698491
6,stage1_burn,false,true,false,28892.106676455995,0,285107.89332354401,15.715410001193453,16.918790000000001,1.2033799988065486,320746.379988987,29871665.148299091,29871665.148299091,-5417.270001835499,-604995.38752698491,-604995.38752698491
7,stage1_burn,false,true,false,33707.457789198656,0,280292.54221080133,15.514846668059029,16.918790000000001,1.4039433319409724,315329.10998715146,29266669.760772102,29266669.760772102,-5417.270001835499,-604995.38752698491,-604995.38752698491
8,stage1_burn,false,true,false,38522.808901941324,0,275477.19109805871,15.314283334924603,16.918790000000001,1.6045066650753981,309911.83998531604,28661674.37324512,28661674.37324512,-5417.270001835499,-604995.38752698491,-604995.38752698491
9,stage1_burn,false,true,false,43338.160014683992,0,270661.83998531604,15.113720001790178,16.918790000000001,1.8050699982098237,304494.5699834805,28056678.985718139,28056678.985718139,-5417.270001835499,-604995.38752698491,-604995.38752698491
10,stage1_burn,false,true,false,48153.511127426653,0,265846.48887257336,14.913156668655756,16.918790000000001,2.0056333313442458,299077.29998164508,27451683.598191153,27451683.598191153,-5417.270001835499,-604995.38752698491,-604995.38752698491
11,stage1_burn,false,true,false,52968.862240169321,0,261031.13775983069,14.71259333552133,16.918790000000001,2.2061966644786715,293660.02997980954,26846688.210664168,26846688.210664168,-5417.270001835499,-604995.38752698491,-604995.38752698491
12,stage1_burn,false,true,false,57784.213352911989,0,256215.78664708801,14.512030002386904,16.918790000000001,2.4067599976130971,288242.759977974,26241692.823137179,26241692.823137179,-5417.270001835499,-604995.38752698491,-604995.38752698491
13,stage1_burn,false,true,false,62599.56446565465,0,251400.43553434534,14.31146666925248,16.918790000000001,2.607323330747521,282825.48997613852,25636697.435610197,25636697.435610197,-5417.270001835499,-604995.38752698491,-604995.38752698491
14,stage1_burn,false,true,false,67414.915578397311,0,246585.08442160269,14.110903336118055,16.918790000000001,2.8078866638819466,277408.21997430304,25031702.048083212,25031702.048083212,-5417.270001835499,-604995.38752698491,-604995.38752698491
15,stage1_burn,false,true,false,72230.266691139987,0,241769.73330886001,13.910340002983631,16.918790000000001,3.0084499970163705,271990.9499724675,24426706.660556227,24426706.660556227,-5417.270001835499,-604995.38752698491,-604995.38752698491
16,stage1_burn,false,true,false,77045.617803882647,0,236954.38219611737,13.709776669849205,16.918790000000001,3.2090133301507962,266573.67997063202,23821711.273029242,23821711.273029242,-5417.270001835499,-604995.38752698491,-604995.38752698491
17,stage1_burn,false,true,false,81860.968916625308,0,232139.03108337469,13.509213336714781,16.918790000000001,3.40957666328522,261156.40996879654,23216715.885502256,23216715.885502256,-5417.270001835499,-604995.38752698491,-604995.38752698491
18,stage1_burn,false,true,false,86676.320029367984,0,227323.67997063202,13.308650003580356,16.918790000000001,3.6101399964196457,255739.139966961,22611720.497975271,22611720.497975271,-5417.270001835499,-604995.38752698491,-604995.38752698491
19,stage1_burn,false,true,false,91491.671142110645,0,222508.32885788934,13.108086670445932,16.918790000000001,3.8107033295540695,250321.86996512552,22006725.110448286,22006725.110448286,-5417.270001835499,-604995.38752698491,-604995.38752698491
20,stage1_burn,false,true,false,96307.022254853306,0,217692.97774514669,12.907523337311506,16.918790000000001,4.0112666626884952,244904.59996329003,21401729.722921304,21401729.722921304,-5417.270001835499,-604995.38752698491,-604995.38752698491
