time_s,north_m,east_m,altitude_m,speed_m_s,phase_index,route_leg_index,phase,route_north_command_m,route_east_command_m,route_altitude_command_m,route_speed_command_m_s,route_heading_command_deg,route_flight_path_command_deg,route_bank_command_deg,route_bank_achieved_deg,route_pitch_achieved_deg,route_heading_achieved_deg,p_rad_s,q_rad_s,r_rad_s,source_force_x_n,source_force_y_n,source_force_z_n,dynamic_pressure_pa,mach,aero_alpha_deg,aero_beta_deg,control_path,response_profile_id,elevator_deg,aileron_deg,rudder_deg,throttle_fraction,allocation_status,allocation_residual_norm,saturation_count
0.0,0.0,0.0,0.0,157.4,0,1,outbound-climb,0.0,0.0,0.0,152.4,90.0,2.254574965935033,0.0,0.0,2.145234829781838,90.0,0.0,0.0,0.0,-375.0094814214808,0.0,-39861.903018405166,15174.540500000003,0.46256300312258347,0.0,0.0,point_mass_3dof,legacy_runner_defaults,-0.7562951013162765,0.0,0.0,0.039322583733799196,reduced_response_law,0.0,0
2.0,1.927594061857934e-14,314.8,0.0,154.06666666666666,0,1,outbound-climb,0.0,304.8,12.0,152.4,90.0,2.254574965935033,0.0,0.0,2.145234829781838,90.0,0.0,0.0,0.0,-3416.1828012505935,0.0,-76682.9596667722,14538.62938888889,0.4527670903076198,1.503049977290022,0.0,point_mass_3dof,legacy_runner_defaults,-0.7562951013162765,0.0,0.0,0.07265591706713262,reduced_response_law,0.0,0
4.0,3.8137173821259467e-14,622.8273139294049,8.082387304935175,152.95555555555555,0,1,outbound-climb,0.0,609.6,24.0,152.4,90.0,2.254574965935033,0.0,0.0,2.145234829781838,90.0,0.0,0.0,0.0,1242.5304946503848,0.0,-88161.0282060901,14318.96822354818,0.4495427619243523,2.0040666363866957,0.0,point_mass_3dof,legacy_runner_defaults,-0.7562951013162765,0.0,0.0,0.08376702817824377,reduced_response_law,0.0,0
6.0,5.685736971047866e-14,928.5513137349477,18.780230271395304,152.5851851851852,0,1,outbound-climb,0.0,914.4000000000001,36.0,152.4,90.0,2.254574965935033,0.0,0.0,2.145234829781838,90.0,0.0,0.0,0.0,2784.8800724624925,0.0,-91835.38501789646,14235.593163137795,0.4485083494749114,2.171072189418921,0.0,point_mass_3dof,legacy_runner_defaults,-0.7562951013162765,0.0,0.0,0.08747073188194729,reduced_response_law,0.0,0
8.0,7.553025199947336e-14,1233.5026238105627,30.341088161496412,152.46172839506173,0,1,outbound-climb,0.0,1219.2,48.0,152.4,90.0,2.254574965935033,0.0,0.0,2.145234829781838,90.0,0.0,0.0,0.0,3295.075039095116,0.0,-92980.74324678307,14197.338052424037,0.4482039233336323,2.2267407070963294,0.0,point_mass_3dof,legacy_runner_defaults,-0.7562951013162765,0.0,0.0,0.08870529978318199,reduced_response_law,0.0,0
10.0,9.418733000190328e-14,1538.1958302994817,42.18863728944545,152.42057613168726,0,1,outbound-climb,0.0,1524.0,60.0,152.4,90.0,2.254574965935033,0.0,0.0,2.145234829781838,90.0,0.0,0.0,0.0,3462.1831954357685,0.0,-93291.69276820794,14174.077246653744,0.44814286438540885,2.245296879655465,0.0,point_mass_3dof,legacy_runner_defaults,-0.7562951013162765,0.0,0.0,0.0891168224169267,reduced_response_law,0.0,0
12.0,1.1283913624647659e-13,1842.8029424490326,54.131641148310564,152.40685871056243,0,1,outbound-climb,0.0,1828.8000000000002,72.0,152.4,90.0,2.254574965935033,0.0,0.0,2.145234829781838,90.0,0.0,0.0,0.0,3515.114126800553,0.0,-93325.66241759033,14155.805681558359,0.448162954107614,2.25148227050851,0.0,point_mass_3dof,legacy_runner_defaults,-0.7562951013162765,0.0,0.0,0.08925399662817494,reduced_response_law,0.0,0
14.0,1.3148918483202147e-13,2147.3813498482887,66.10645113503291,152.40228623685414,0,1,outbound-climb,0.0,2133.6,84.0,152.4,90.0,2.254574965935033,0.0,0.0,2.145234829781838,90.0,0.0,0.0,0.0,3530.033893808397,0.0,-93267.5018552137,14139.19494985309,0.44821011338361666,2.2535440674595253,0.0,point_mass_3dof,legacy_runner_defaults,-0.7562951013162765,0.0,0.0,0.08929972136525788,reduced_response_law,0.0,0
16.0,1.5013864748608604e-13,2451.9501882602954,78.09186181806544,152.40076207895137,0,1,outbound-climb,0.0,2438.4,96.0,152.4,90.0,2.254574965935033,0.0,0.0,2.145234829781838,90.0,0.0,0.0,0.0,3532.299087428223,0.0,-93178.67572826988,14123.137158786116,0.44826631350833807,2.2542313331098636,0.0,point_mass_3dof,legacy_runner_defaults,-0.7562951013162765,0.0,0.0,0.08931496294428552,reduced_response_law,0.0,0
18.0,1.6878791482464262e-13,2756.5158369279916,90.08080591694072,152.40025402631713,0,1,outbound-climb,0.0,2743.2000000000003,108.0,152.4,90.0,2.254574965935033,0.0,0.0,2.145234829781838,90.0,0.0,0.0,0.0,3530.352718335538,0.0,-93079.64025563726,14107.263466474458,0.44832554411541153,2.2544604216599766,0.0,point_mass_3dof,legacy_runner_defaults,-0.7562951013162765,0.0,0.0,0.08932004347062797,reduced_response_law,0.0,0
