time_s,north_m,east_m,altitude_m,speed_m_s,phase_index,route_leg_index,phase,route_north_command_m,route_east_command_m,route_altitude_command_m,route_speed_command_m_s,route_heading_command_deg,route_flight_path_command_deg,route_bank_command_deg,route_bank_achieved_deg,route_pitch_achieved_deg,route_heading_achieved_deg,p_rad_s,q_rad_s,r_rad_s,source_force_x_n,source_force_y_n,source_force_z_n,dynamic_pressure_pa,mach,aero_alpha_deg,aero_beta_deg,control_path,response_profile_id,elevator_deg,aileron_deg,rudder_deg,throttle_fraction,allocation_status,allocation_residual_norm,saturation_count
0.0,50.0,-40.0,0.0,152.4,0,1,outbound-climb,0.0,0.0,0.0,152.4,90.0,2.254574965935033,0.0,0.0,15.948755029384083,90.0,0.0,0.12045843792430203,0.0,500.103213400962,0.0,-37369.604898241356,14225.778000000002,0.447869133900138,0.0,0.0,pseudo_6dof_kinematic_bridge,f16_s119.attitude_response_p6dof.v1,-0.7562951013162765,0.0,0.0,0.0893225837337992,reduced_response_law,0.0,0
2.0,50.00000000000002,264.8,0.0,152.4,0,1,outbound-climb,0.0,304.8,12.0,152.4,90.0,2.254574965935033,0.0,0.0,-64.26533628893115,90.0,0.0,-0.7,0.0,2541.3137950604723,0.0,-75032.84741793844,14225.778000000002,0.447869133900138,1.503049977290022,0.0,pseudo_6dof_kinematic_bridge,f16_s119.attitude_response_p6dof.v1,-0.7562951013162765,0.0,0.0,0.0893225837337992,reduced_response_law,0.0,0
4.0,50.00000000000004,569.4951274957245,7.994953431017659,152.4,0,1,outbound-climb,0.0,609.6,24.0,152.4,90.0,2.254574965935033,0.0,0.0,15.94875502938409,90.0,0.0,0.7,0.0,3219.2526550876246,0.0,-87522.47389887384,14215.255290293077,0.44790951923865285,2.004066636386696,0.0,pseudo_6dof_kinematic_bridge,f16_s119.attitude_response_p6dof.v1,-0.7562951013162765,0.0,0.0,0.0893225837337992,reduced_response_law,0.0,0
6.0,50.000000000000064,874.1086958040803,18.653940364619807,152.4,0,1,outbound-climb,0.0,914.4000000000001,36.0,152.4,90.0,2.254574965935033,0.0,0.0,-64.26533628893115,90.0,0.0,-0.7,0.0,3442.3788684424517,0.0,-91613.68034204106,14201.226262326874,0.44796337854879137,2.171072189418921,0.0,pseudo_6dof_kinematic_bridge,f16_s119.attitude_response_p6dof.v1,-0.7562951013162765,0.0,0.0,0.0893225837337992,reduced_response_law,0.0,0
8.0,50.000000000000085,1178.6899013721031,30.20076740626941,152.4,0,1,outbound-climb,0.0,1219.2,48.0,152.4,90.0,2.254574965935033,0.0,0.0,15.94875502938409,90.0,0.0,0.7,0.0,3513.9717785277235,0.0,-92906.6763180343,14186.02868675076,0.44802174599876615,2.226740707096329,0.0,pseudo_6dof_kinematic_bridge,f16_s119.attitude_response_p6dof.v1,-0.7562951013162765,0.0,0.0,0.0893225837337992,reduced_response_law,0.0,0
10.0,50.00000000000011,1483.2597442941733,42.04351972258066,152.4,0,1,outbound-climb,0.0,1524.0,60.0,152.4,90.0,2.254574965935033,0.0,0.0,-64.26533628893115,90.0,0.0,-0.7,0.0,3535.10085724281,0.0,-93267.76363111702,14170.44162350758,0.4480816330117301,2.2452968796554655,0.0,pseudo_6dof_kinematic_bridge,f16_s119.attitude_response_p6dof.v1,-0.7562951013162765,0.0,0.0,0.0893225837337992,reduced_response_law,0.0,0
12.0,50.00000000000013,1787.825735774773,53.984911326549636,152.4,0,1,outbound-climb,0.0,1828.8000000000002,72.0,152.4,90.0,2.254574965935033,0.0,0.0,15.94875502938409,90.0,0.0,0.7,0.0,3539.428412016646,0.0,-93318.53600445774,14154.724734293715,0.44814204315138817,2.25148227050851,0.0,pseudo_6dof_kinematic_bridge,f16_s119.attitude_response_p6dof.v1,-0.7562951013162765,0.0,0.0,0.0893225837337992,reduced_response_law,0.0,0
14.0,50.00000000000015,2092.390436342476,65.95918241524316,152.4,0,1,outbound-climb,0.0,2133.6,84.0,152.4,90.0,2.254574965935033,0.0,0.0,-64.26533628893115,90.0,0.0,-0.7,0.0,3538.163859646229,0.0,-93265.98218297798,14138.964570121958,0.44820264416564476,2.2535440674595253,0.0,pseudo_6dof_kinematic_bridge,f16_s119.attitude_response_p6dof.v1,-0.7562951013162765,0.0,0.0,0.0893225837337992,reduced_response_law,0.0,0
16.0,50.00000000000017,2396.954705817099,77.94441330118542,152.4,0,1,outbound-climb,0.0,2438.4,96.0,152.4,90.0,2.254574965935033,0.0,0.0,15.94875502938409,90.0,0.0,0.7,0.0,3535.0396468932386,0.0,-93179.02422764029,14123.189981005033,0.44826332527188184,2.254231333109864,0.0,pseudo_6dof_kinematic_bridge,f16_s119.attitude_response_p6dof.v1,-0.7562951013162765,0.0,0.0,0.0893225837337992,reduced_response_law,0.0,0
18.0,50.00000000000019,2701.518831506386,89.93329744942906,152.4,0,1,outbound-climb,0.0,2743.2000000000003,108.0,152.4,90.0,2.254574965935033,0.0,0.0,-64.26533628893115,90.0,0.0,-0.7,0.0,3531.298554847549,0.0,-93080.61093340672,14107.410583577588,0.44832404953891897,2.254460421659976,0.0,pseudo_6dof_kinematic_bridge,f16_s119.attitude_response_p6dof.v1,-0.7562951013162765,0.0,0.0,0.0893225837337992,reduced_response_law,0.0,0
