acceleration_ecic_x_m_s2,acceleration_ecic_y_m_s2,acceleration_ecic_z_m_s2,aero_force_body_x_n,aero_force_body_y_n,aero_force_body_z_n,aero_moment_body_x_nm,aero_moment_body_y_nm,aero_moment_body_z_nm,air_relative_speed_m_s,air_relative_velocity_m_s,angular_acceleration_body_x_rad_s2,angular_acceleration_body_y_rad_s2,angular_acceleration_body_z_rad_s2,attitude_control_error_magnitude_rad,attitude_control_error_rad,attitude_quaternion,attitude_rad,attitude_rate_rad_s,candidate_index,configuration_variant_id,drag_force_n,event_id,fidelity,force_body_x_n,force_body_y_n,force_body_z_n,force_ecic_x_n,force_ecic_y_n,force_ecic_z_n,gravity_force_body_x_n,gravity_force_body_y_n,gravity_force_body_z_n,heat_rate_w_m2,inertia_x_kg_m2,inertia_xz_kg_m2,inertia_y_kg_m2,inertia_z_kg_m2,left_wing_flap_deg,lower_left_body_flap_deg,lower_right_body_flap_deg,mass_kg,mass_property_profile_id,mission_bank_command_deg,mission_profile_id,mission_segment,moment_body_x_nm,moment_body_y_nm,moment_body_z_nm,phase,pitch_deg,position_m,projected_area_m2,propellant_mass_rate_kg_s,propulsion_force_body_x_n,propulsion_force_body_y_n,propulsion_force_body_z_n,propulsion_moment_body_x_nm,propulsion_moment_body_y_nm,propulsion_moment_body_z_nm,pseudo6dof_profile_id,query_id,right_wing_flap_deg,roll_deg,rotation_equation_residual_nm,rotation_equation_residual_normalized,rudder_deg,specific_energy_j_per_kg,speed_m_s,surface_allocation_achieved_bank_deg,surface_allocation_achieved_pitch_deg,surface_allocation_achieved_yaw_deg,surface_allocation_active,surface_allocation_requested_bank_deg,surface_allocation_requested_pitch_deg,surface_allocation_requested_yaw_deg,surface_allocation_residual_deg,surface_allocation_saturated,termination,time_s,total_force_body_x_n,total_force_body_y_n,total_force_body_z_n,total_force_ecic_n,total_force_ecic_x_n,total_force_ecic_y_n,total_force_ecic_z_n,total_moment_body_x_nm,total_moment_body_y_nm,total_moment_body_z_nm,translation_equation_residual_n,translation_equation_residual_normalized,upper_left_body_flap_deg,upper_right_body_flap_deg,velocity_m_s,wind_velocity_m_s,yaw_deg
,,,,,,,,,250.0,"[125.00000000000003, 0.0, 216.50635094610965]",,,,,,,,,0,nominal,61124.61162149999,,point_mass_3dof,,,,,,,,,,,,,,,,,,11664.1,generic_slender_body_v1,0.0,none,unprofiled,,,,boost,,"[0.0, 0.0, 0.0]",26.612075808,,,,,,,,,query-000000,,,,,,31250.0,250.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,"[125.00000000000003, 0.0, 216.50635094610965]","[0.0, 0.0, 0.0]",
,,,,,,,,,246.75888894083053,"[127.55865107399433, 0.0, 211.23148394000384]",,,,,,,,,0,nominal,58070.524897814634,,point_mass_3dof,,,,,,,,,,,,,,,,,,11564.1,generic_slender_body_v1,0.0,none,unprofiled,,,,boost,,"[126.2735873573467, 0.0, 213.84251801386202]",26.612075808,,,,,,,,,query-000000,,,,,,32542.05336493721,246.75888894083053,,,,,,,,,,,1.0,,,,,,,,,,,,,,,"[127.55865107399433, 0.0, 211.23148394000384]","[0.0, 0.0, 0.0]",
,,,,,,,,,243.90881137749747,"[130.18350847279896, 0.0, 206.26139335633397]",,,,,,,,,0,nominal,55360.60002480976,,point_mass_3dof,,,,,,,,,,,,,,,,,,11464.1,generic_slender_body_v1,0.0,none,unprofiled,,,,boost,,"[255.13935867369668, 0.0, 422.5645078977867]",26.612075808,,,,,,,,,query-000000,,,,,,33889.69636516765,243.90881137749747,,,,,,,,,,,2.0,,,,,,,,,,,,,,,"[130.18350847279896, 0.0, 206.26139335633397]","[0.0, 0.0, 0.0]",
,,,,,,,,,241.42597557332437,"[132.86966438895823, 0.0, 201.57418973345028]",,,,,,,,,0,nominal,52953.6735579202,,point_mass_3dof,,,,,,,,,,,,,,,,,,11364.1,generic_slender_body_v1,0.0,none,unprofiled,,,,boost,,"[386.66102637296655, 0.0, 626.4595555833525]",26.612075808,,,,,,,,,query-000000,,,,,,35286.72044152719,241.42597557332437,,,,,,,,,,,3.0,,,,,,,,,,,,,,,"[132.86966438895823, 0.0, 201.57418973345028]","[0.0, 0.0, 0.0]",
,,,,,,,,,239.28893876668565,"[135.61265506058507, 0.0, 197.15071393100612]",,,,,,,,,0,nominal,50814.5773424023,,point_mass_3dof,,,,,,,,,,,,,,,,,,11264.1,generic_slender_body_v1,0.0,none,unprofiled,,,,boost,,"[520.8976228252073, 0.0, 825.8007579074578]",26.612075808,,,,,,,,,query-000000,,,,,,36727.93711057649,239.28893876668565,,,,,,,,,,,4.0,,,,,,,,,,,,,,,"[135.61265506058507, 0.0, 197.15071393100612]","[0.0, 0.0, 0.0]",
,,,,,,,,,237.4782266774272,"[138.40839856383198, 0.0, 192.9741520329884]",,,,,,,,,0,nominal,48913.108892105,,point_mass_3dof,,,,,,,,,,,,,,,,,,11164.1,generic_slender_body_v1,0.0,none,unprofiled,,,,boost,,"[657.9039122435227, 0.0, 1020.8432544043907]",26.612075808,,,,,,,,,query-000000,,,,,,38209.006573732564,237.4782266774272,,,,,,,,,,,5.0,,,,,,,,,,,,,,,"[138.40839856383198, 0.0, 192.9741520329884]","[0.0, 0.0, 0.0]",
,,,,,,,,,235.97602354510096,"[141.2531438633085, 0.0, 189.02971469292734]",,,,,,,,,0,nominal,47223.202727280084,,point_mass_3dof,,,,,,,,,,,,,,,,,,11064.1,generic_slender_body_v1,0.0,none,unprofiled,,,,boost,,"[797.7307462055057, 0.0, 1211.8264073881785]",26.612075808,,,,,,,,,query-000000,,,,,,39726.299282092295,235.97602354510096,,,,,,,,,,,6.0,,,,,,,,,,,,,,,"[141.2531438633085, 0.0, 189.02971469292734]","[0.0, 0.0, 0.0]",
,,,,,,,,,234.76591981667778,"[144.1434289571438, 0.0, 185.3043685287738]",,,,,,,,,0,nominal,45722.25898298096,,point_mass_3dof,,,,,,,,,,,,,,,,,,10964.1,generic_slender_body_v1,0.0,none,unprofiled,,,,boost,,"[940.4253729323516, 0.0, 1398.9756883175228]",26.612075808,,,,,,,,,query-000000,,,,,,41276.78348752442,234.76591981667778,,,,,,,,,,,7.0,,,,,,,,,,,,,,,"[144.1434289571438, 0.0, 185.3043685287738]","[0.0, 0.0, 0.0]",
,,,,,,,,,233.8327071688744,"[147.07604640607815, 0.0, 181.78660983549287]",,,,,,,,,0,nominal,44390.59602570835,,point_mass_3dof,,,,,,,,,,,,,,,,,,10864.1,generic_slender_body_v1,0.0,none,unprofiled,,,,boost,,"[1086.0317085320305, 0.0, 1582.5043174337206]",26.612075808,,,,,,,,,query-000000,,,,,,42857.93343552368,233.8327071688744,,,,,,,,,,,8.0,,,,,,,,,,,,,,,"[147.07604640607815, 0.0, 181.78660983549287]","[0.0, 0.0, 0.0]",
,,,,,,,,,233.1622125048847,"[150.04801488337745, 0.0, 178.46627291936917]",,,,,,,,,0,nominal,43211.00154385389,,point_mass_3dof,,,,,,,,,,,,,,,,,,10764.1,generic_slender_body_v1,0.0,none,unprofiled,,,,boost,,"[1234.5905768835355, 0.0, 1762.6146949927543]",26.612075808,,,,,,,,,query-000000,,,,,,44467.6540687372,233.1622125048847,,,,,,,,,,,9.0,,,,,,,,,,,,,,,"[150.04801488337745, 0.0, 178.46627291936917]","[0.0, 0.0, 0.0]",
