query_id,air_relative_speed_m_s,air_relative_velocity_m_s,attitude_rad,attitude_rate_rad_s,configuration_variant_id,drag_force_n,event_id,mass_kg,mass_property_profile_id,mission_bank_command_deg,mission_profile_id,mission_segment,phase,position_m,projected_area_m2,pseudo6dof_profile_id,pseudo6dof_response_phase,pseudo6dof_response_schedule_applied,query_id,specific_energy_j_per_kg,termination,time_s,velocity_m_s,wind_velocity_m_s
query-000000,250.0,"[250.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",nominal-sphere-pseudo_6dof,850.8101270456251,,1013.0,alpha3-passive-deployment-parent-v1,0.0,none,unprofiled,boost,"[0.0, 0.0, 1000.0]",0.1,,not_applicable,False,query-000000,41056.65,,0.0,"[250.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
query-000000,249.80463303559947,"[249.79261214443298, 0.0, -2.4506334102405485]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",nominal-sphere-pseudo_6dof,849.5115041397105,,1012.5,alpha3-passive-deployment-parent-v1,0.0,none,unprofiled,boost,"[62.47407176239658, 0.0, 999.6936279539769]",0.1,,not_applicable,False,query-000000,41004.82285960012,,0.25,"[249.79261214443298, 0.0, -2.4506334102405485]","[0.0, 0.0, 0.0]"
query-000000,249.63310272568896,"[249.58509155282766, 0.0, -4.895717620636012]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",nominal-sphere-pseudo_6dof,848.4369606344371,booster-release,1000.0,alpha3-passive-deployment-parent-v1,0.0,none,unprofiled,glide,"[124.89632360772165, 0.0, 998.7748546767486]",0.1,,not_applicable,False,query-000000,40952.978416842925,,0.5,"[249.58509155282766, 0.0, -4.895717620636012]","[0.0, 0.0, 0.0]"
query-000000,249.48112041899716,"[249.3736803134724, 0.0, -7.320998048916363]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",nominal-sphere-pseudo_6dof,847.5564401927082,booster-release,1000.0,alpha3-passive-deployment-parent-v1,0.0,none,unprofiled,glide,"[187.26616016613863, 0.0, 997.2477229057054]",0.1,,not_applicable,False,query-000000,40900.07410459232,,0.75,"[249.3736803134724, 0.0, -7.320998048916363]","[0.0, 0.0, 0.0]"
query-000000,249.35319336420795,"[249.1627273385535, 0.0, -9.744246822701523]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",nominal-sphere-pseudo_6dof,846.8999709267384,booster-release,1000.0,alpha3-passive-deployment-parent-v1,0.0,none,unprofiled,glide,"[249.58320195208438, 0.0, 995.1145249533163]",0.1,,not_applicable,False,query-000000,40847.24737659748,,1.0,"[249.1627273385535, 0.0, -9.744246822701523]","[0.0, 0.0, 0.0]"
query-000000,249.24926206127026,"[248.95219656352347, 0.0, -12.165461942916473]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",nominal-sphere-pseudo_6dof,846.4668294342509,booster-release,1000.0,alpha3-passive-deployment-parent-v1,0.0,none,unprofiled,glide,"[311.8475590176893, 0.0, 992.3757689619835]",0.1,,not_applicable,False,query-000000,40794.47915373492,,1.25,"[248.95219656352347, 0.0, -12.165461942916473]","[0.0, 0.0, 0.0]"
query-000000,249.16926028332472,"[248.742052203806, 0.0, -14.584640399347347]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",nominal-sphere-pseudo_6dof,846.2563764308815,booster-release,1000.0,alpha3-passive-deployment-parent-v1,0.0,none,unprofiled,glide,"[374.0593324340977, 0.0, 989.0319637003506]",0.1,,not_applicable,False,query-000000,40741.75044189165,,1.5,"[248.742052203806, 0.0, -14.584640399347347]","[0.0, 0.0, 0.0]"
query-000000,249.1131150686667,"[248.53225874748088, 0.0, -17.001778174355458]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",nominal-sphere-pseudo_6dof,846.2680558162882,booster-release,1000.0,alpha3-passive-deployment-parent-v1,0.0,none,unprofiled,glide,"[436.21861436054223, 0.0, 985.0836188156172]",0.1,,not_applicable,False,query-000000,40689.04232006556,,1.75,"[248.53225874748088, 0.0, -17.001778174355458]","[0.0, 0.0, 0.0]"
query-000000,249.0807467227931,"[248.32278094814836, 0.0, -19.41687024631243]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",nominal-sphere-pseudo_6dof,846.5013937865721,booster-release,1000.0,alpha3-passive-deployment-parent-v1,0.0,none,unprofiled,glide,"[498.32548811161246, 0.0, 980.5312450849599]",0.1,,not_applicable,False,query-000000,40636.33592860452,,2.0,"[248.32278094814836, 0.0, -19.41687024631243]","[0.0, 0.0, 0.0]"
query-000000,249.07206883045168,"[248.11358381796288, 0.0, -21.829910592761863]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",nominal-sphere-pseudo_6dof,846.9559979916565,booster-release,1000.0,alpha3-passive-deployment-parent-v1,0.0,none,unprofiled,glide,"[560.3800282227608, 0.0, 975.375354666129]",0.1,,not_applicable,False,query-000000,40583.61245757723,,2.25,"[248.11358381796288, 0.0, -21.829910592761863]","[0.0, 0.0, 0.0]"
query-000000,249.08698827757894,"[247.9046326208265, 0.0, -24.240892193312312]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",nominal-sphere-pseudo_6dof,847.6315567363235,booster-release,1000.0,alpha3-passive-deployment-parent-v1,0.0,none,unprofiled,glide,"[622.3823005140868, 0.0, 969.6164613472885]",0.1,,not_applicable,False,query-000000,40530.85313526876,,2.5,"[247.9046326208265, 0.0, -24.240892193312312]","[0.0, 0.0, 0.0]"
query-000000,249.12540528298095,"[247.69589286573265, 0.0, -26.649807032265997]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",nominal-sphere-pseudo_6dof,848.5278382236388,booster-release,1000.0,alpha3-passive-deployment-parent-v1,0.0,none,unprofiled,glide,"[684.3323621524391, 0.0, 963.2550807961651]",0.1,,not_applicable,False,query-000000,40478.03921679447,,2.75,"[247.69589286573265, 0.0, -26.649807032265997]","[0.0, 0.0, 0.0]"
query-000000,249.1872134395813,"[247.48733030025085, 0.0, -29.056646100986963]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",nominal-sphere-pseudo_6dof,849.6446898395403,booster-release,1000.0,alpha3-passive-deployment-parent-v1,0.0,none,unprofiled,glide,"[746.2302617118713, 0.0, 956.2917308085742]",0.1,,not_applicable,False,query-000000,40425.15197282563,,3.0,"[247.48733030025085, 0.0, -29.056646100986963]","[0.0, 0.0, 0.0]"
query-000000,249.27229976502937,"[247.278910904144, 0.0, -31.46139940001211]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",nominal-sphere-pseudo_6dof,850.9820374773986,booster-release,1000.0,alpha3-passive-deployment-parent-v1,0.0,none,unprofiled,glide,"[808.0760392324848, 0.0, 948.726931556385]",0.1,,not_applicable,False,query-000000,40372.17267842076,,3.25,"[247.278910904144, 0.0, -31.46139940001211]","[0.0, 0.0, 0.0]"
query-000000,249.38054476143392,"[247.07060088310914, 0.0, -33.86405594090785]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",nominal-sphere-pseudo_6dof,852.539884901386,booster-release,1000.0,alpha3-passive-deployment-parent-v1,0.0,none,unprofiled,glide,"[869.8697262776931, 0.0, 940.5612058349896]",0.1,,not_applicable,False,query-000000,40319.08260195648,,3.5,"[247.07060088310914, 0.0, -33.86405594090785]","[0.0, 0.0, 0.0]"
query-000000,249.51182248395992,"[246.86236666263397, 0.0, -36.26460374787493]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",nominal-sphere-pseudo_6dof,854.3183131475325,booster-release,1000.0,alpha3-passive-deployment-parent-v1,0.0,none,unprofiled,glide,"[931.6113459899342, 0.0, 931.79507931034]",0.1,,not_applicable,False,query-000000,40265.86299415231,,3.75,"[246.86236666263397, 0.0, -36.26460374787493]","[0.0, 0.0, 0.0]"
query-000000,249.66600061799969,"[246.6541748819612, 0.0, -38.66302985910322]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",nominal-sphere-pseudo_6dof,856.3174799613739,booster-release,1000.0,alpha3-passive-deployment-parent-v1,0.0,none,unprofiled,glide,"[993.3009131448624, 0.0, 922.4290807656154]",0.1,,not_applicable,False,query-000000,40212.49507718363,,4.0,"[246.6541748819612, 0.0, -38.66302985910322]","[0.0, 0.0, 0.0]"
query-000000,249.84294056460536,"[246.4459923881531, 0.0, -41.059320327878254]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",nominal-sphere-pseudo_6dof,858.5376192711094,booster-release,1000.0,alpha3-passive-deployment-parent-v1,0.0,none,unprofiled,glide,"[1054.9384342040428, 0.0, 912.4637423475805]",0.1,,not_applicable,False,query-000000,40158.96003387736,,4.25,"[246.4459923881531, 0.0, -41.059320327878254]","[0.0, 0.0, 0.0]"
query-000000,250.04249753384704,"[246.23778623024893, 0.0, -43.45346022344058]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",nominal-sphere-pseudo_6dof,860.9790406952429,booster-release,1000.0,alpha3-passive-deployment-parent-v1,0.0,none,unprofiled,glide,"[1116.5239073661735, 0.0, 901.8995998127]",0.1,,not_applicable,False,query-000000,40105.238996985165,,4.5,"[246.23778623024893, 0.0, -43.45346022344058]","[0.0, 0.0, 0.0]"
query-000000,250.2645206457399,"[246.02952365350922, 0.0, -45.84543363159876]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",nominal-sphere-pseudo_6dof,863.6421290836729,booster-release,1000.0,alpha3-passive-deployment-parent-v1,0.0,none,unprofiled,glide,"[1178.0573226168597, 0.0, 890.7371927730675]",0.1,,not_applicable,False,query-000000,40051.31303852899,,4.75,"[246.02952365350922, 0.0, -45.84543363159876]","[0.0, 0.0, 0.0]"
query-000000,250.50885303836466,"[245.8211720937393, 0.0, -48.2352236550966]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",nominal-sphere-pseudo_6dof,866.5273440912414,booster-release,1000.0,alpha3-passive-deployment-parent-v1,0.0,none,unprofiled,glide,"[1239.538661776957, 0.0, 878.9770649422126]",0.1,,not_applicable,False,query-000000,39997.16315921404,,5.0,"[245.8211720937393, 0.0, -48.2352236550966]","[0.0, 0.0, 0.0]"
query-000000,250.77533198278843,"[245.61269917168693, 0.0, -50.62281241373471]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",nominal-sphere-pseudo_6dof,869.635219782765,booster-release,1000.0,alpha3-passive-deployment-parent-v1,0.0,none,unprofiled,glide,"[1300.9678985495066, 0.0, 866.6197643808468]",0.1,,not_applicable,False,query-000000,39942.7702779043,,5.25,"[245.61269917168693, 0.0, -50.62281241373471]","[0.0, 0.0, 0.0]"
query-000000,251.0637890043787,"[245.40407268750772, 0.0, -53.00818104424639]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",nominal-sphere-pseudo_6dof,872.9663642685842,booster-release,1000.0,alpha3-passive-deployment-parent-v1,0.0,none,unprofiled,glide,"[1362.3449985652765, 0.0, 853.66584374261]",0.1,,not_applicable,False,query-000000,39888.115221156055,,5.5,"[245.40407268750772, 0.0, -53.00818104424639]","[0.0, 0.0, 0.0]"
query-000000,251.3740500100894,"[245.19526061529342, 0.0, -55.39130969992741]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",nominal-sphere-pseudo_6dof,876.5214593696973,booster-release,1000.0,alpha3-passive-deployment-parent-v1,0.0,none,unprofiled,glide,"[1423.6699194269295, 0.0, 840.115860519878]",0.1,,not_applicable,False,query-000000,39833.17871280473,,5.75,"[245.19526061529342, 0.0, -55.39130969992741]","[0.0, 0.0, 0.0]"
query-000000,251.70593542128827,"[244.98623109765742, 0.0, -57.77217755001911]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",nominal-sphere-pseudo_6dof,880.301260311548,booster-release,1000.0,alpha3-passive-deployment-parent-v1,0.0,none,unprofiled,glide,"[1484.9426107518286, 0.0, 825.9703772896938]",0.1,,not_applicable,False,query-000000,39777.94136360085,,6.0,"[244.98623109765742, 0.0, -57.77217755001911]","[0.0, 0.0, 0.0]"
