query_id,acceleration_ecic_x_m_s2,acceleration_ecic_y_m_s2,acceleration_ecic_z_m_s2,aero_force_body_x_n,aero_force_body_y_n,aero_force_body_z_n,aero_moment_body_x_nm,aero_moment_body_y_nm,aero_moment_body_z_nm,air_relative_speed_m_s,air_relative_velocity_m_s,angular_acceleration_body_x_rad_s2,angular_acceleration_body_y_rad_s2,angular_acceleration_body_z_rad_s2,angular_rate_norm_rad_s,attitude_quaternion,attitude_rate_rad_s,configuration_variant_id,drag_force_n,event_id,force_body_x_n,force_body_y_n,force_body_z_n,force_ecic_x_n,force_ecic_y_n,force_ecic_z_n,gravity_force_body_x_n,gravity_force_body_y_n,gravity_force_body_z_n,heat_rate_w_m2,inertia_x_kg_m2,inertia_xz_kg_m2,inertia_y_kg_m2,inertia_z_kg_m2,mass_kg,mass_property_profile_id,moment_body_x_nm,moment_body_y_nm,moment_body_z_nm,pitch_deg,position_m,projected_area_m2,projected_area_policy,projected_area_ratio_to_reference_average,projected_area_reference_average_m2,propellant_mass_rate_kg_s,propulsion_force_body_x_n,propulsion_force_body_y_n,propulsion_force_body_z_n,propulsion_moment_body_x_nm,propulsion_moment_body_y_nm,propulsion_moment_body_z_nm,query_id,realized_state_fidelity,requested_fidelity,roll_deg,rotation_equation_residual_nm,rotation_equation_residual_normalized,termination,time_s,total_force_body_x_n,total_force_body_y_n,total_force_body_z_n,total_force_ecic_n,total_force_ecic_x_n,total_force_ecic_y_n,total_force_ecic_z_n,total_moment_body_x_nm,total_moment_body_y_nm,total_moment_body_z_nm,translation_equation_residual_n,translation_equation_residual_normalized,velocity_m_s,wind_velocity_m_s,yaw_deg
query-000000,-449.70705325961404,0.0,-0.9854550677642859,-5396.484639115369,-0.0,105.85433918682857,-0.04860000000000001,-0.07776000000000002,-0.11664000000000001,249.63310272568896,"[249.58509155282766, 0.0, -4.895717620636012]",-0.05,-0.08,-0.11999999999999998,0.7632168761236874,"[1.0, 0.0, 0.0, 0.0]","[0.25, 0.4, 0.6]",nominal-sphere-pseudo_6dof,5397.522728190481,booster-release,-5396.484639115369,-0.0,105.85433918682857,-5396.484639115369,0.0,105.85433918682857,0.0,0.0,-117.6798,0.0,0.9720000000000002,0.0,0.9720000000000002,0.9720000000000002,12.0,alpha3-passive-deployment-parent-v1,-0.04860000000000001,-0.07776000000000002,-0.11664000000000001,0.0,"[124.89632360772165, 0.0, 998.7748546767486]",0.6361725123519332,native_rigid_body_reuse_instantaneous_projected_area,0.9999999999999997,0.6361725123519334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,query-000000,rigid_body_6dof,pseudo_6dof,0.0,0.0,0.0,,0.5,-5396.484639115369,0.0,-11.825460813171432,5396.497595823756,-5396.484639115369,0.0,-11.825460813171432,-0.04860000000000001,-0.07776000000000002,-0.11664000000000001,0.0,0.0,"[249.58509155282766, 0.0, -4.895717620636012]","[0.0, 0.0, 0.0]",0.0
query-000000,-213.82839525216653,5.10702591327572e-15,-3.038750435928428,-2533.898857464912,371.15698258004323,-179.57397926828895,-0.04622975003092895,-0.07396760004948631,-0.11095140007422948,172.14887981022522,"[172.0627159578676, -1.4543728875536667e-16, -5.445970723162993]",-0.04756147122523553,-0.07609835396037684,-0.11414753094056526,0.7259943498474183,"[0.9956733846027929, 0.03043763622369806, 0.048700217957916896, 0.07305032693687534]","[0.23780735612617765, 0.38049176980188426, 0.5707376547028264]",nominal-sphere-pseudo_6dof,2567.2256892626624,booster-release,-2533.898857464912,371.15698258004323,-179.57397926828895,-2565.9407430259985,6.128431095930864e-14,81.21479476885887,10.889154683367368,-7.970102432241449,-116.90354616324214,0.0,0.9720000000000002,0.0,0.9720000000000002,0.9720000000000002,12.0,alpha3-passive-deployment-parent-v1,-0.04622975003092895,-0.07396760004948631,-0.11095140007422948,5.30929166979417,"[176.406984388261, -6.573879172503776e-18, 997.4925497337538]",0.6361725123519332,native_rigid_body_reuse_instantaneous_projected_area,0.9999999999999997,0.6361725123519334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,query-000000,rigid_body_6dof,pseudo_6dof,3.900204013342017,1.3877787807814457e-17,1.3877787807814457e-17,,0.7500000000000002,-2523.0097027815445,363.1868801478018,-296.4775254315311,2566.199835033765,-2565.9407430259985,6.128431095930864e-14,-36.465005231141134,-0.04622975003092895,-0.07396760004948631,-0.11095140007422948,1.3795512472269816e-12,5.375852762490848e-16,"[172.0627159578676, -1.4543728875536667e-16, -5.445970723162993]","[0.0, 0.0, 0.0]",8.573194176528677
query-000000,-124.55237044422348,-4.440892098500626e-16,-3.8139770132287234,-1419.7922019873206,410.94694390001604,-233.2343214851558,-0.04397509851691717,-0.07036015762706747,-0.10554023644060122,131.4172545257117,"[131.26540748325098, 2.1137605554777393e-16, -6.315661907652474]",-0.04524187090217815,-0.07238699344348505,-0.10858049016522756,0.6905871875990313,"[0.9835606417017309, 0.059150335941419496, 0.0946405375062712, 0.14196080625940682]","[0.22620935451089075, 0.36193496721742524, 0.5429024508261379]",nominal-sphere-pseudo_6dof,1496.3574226244898,booster-release,-1419.7922019873206,410.94694390001604,-233.2343214851558,-1494.6284453306819,-5.329070518200751e-15,71.91207584125532,19.93205811783774,-16.854851608290623,-114.74825647690533,0.0,0.9720000000000002,0.0,0.9720000000000002,0.9720000000000002,12.0,alpha3-passive-deployment-parent-v1,-0.04397509851691717,-0.07036015762706747,-0.10554023644060122,9.751502979546292,"[213.86473101269803, -1.8330967530936587e-17, 996.0263253460937]",0.6361725123519332,native_rigid_body_reuse_instantaneous_projected_area,0.9999999999999997,0.6361725123519334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,query-000000,rigid_body_6dof,pseudo_6dof,8.356163722212884,6.938893903907228e-18,6.938893903907228e-18,,1.0000000000000004,-1399.860143869483,394.0920922917254,-347.9825779620611,1495.3290186999925,-1494.6284453306819,-5.329070518200751e-15,-45.767724158744684,-0.04397509851691717,-0.07036015762706747,-0.10554023644060122,4.823324033076557e-13,3.2255938143097457e-16,"[131.26540748325098, 2.1137605554777393e-16, -6.315661907652474]","[0.0, 0.0, 0.0]",17.140041795871944
query-000000,-81.46481204879656,4.6629367034256575e-15,-4.185008644768872,-872.6901610859134,381.4187445701072,-230.5226265754835,-0.04183040765478507,-0.06692865224765612,-0.10039297837148417,106.33657603373466,"[106.08429120689902, 2.761390653175747e-16, -7.320557472493367]",-0.043035398821795336,-0.06885663811487255,-0.10328495717230879,0.6569068530301532,"[0.9648892162938264, 0.08603622370657206, 0.1376579579305153, 0.206486936895773]","[0.21517699410897667, 0.34428319057436274, 0.5164247858615441]",nominal-sphere-pseudo_6dof,979.9025754271976,booster-release,-872.6901610859134,381.4187445701072,-230.5226265754835,-977.5777445855588,5.595524044110789e-14,67.45969626277353,27.080316201995927,-26.228472538351454,-111.47761672526399,0.0,0.9720000000000002,0.0,0.9720000000000002,0.9720000000000002,12.0,alpha3-passive-deployment-parent-v1,-0.04183040765478507,-0.06692865224765612,-0.10039297837148417,13.304057013503796,"[243.31104002423794, 2.0820295718963297e-17, 994.3237131525818]",0.6361725123519332,native_rigid_body_reuse_instantaneous_projected_area,0.9999999999999997,0.6361725123519334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,query-000000,rigid_body_6dof,pseudo_6dof,13.23976265669427,1.3877787807814457e-17,1.3877787807814457e-17,,1.2500000000000007,-845.6098448839174,355.19027203175574,-342.0002433007475,978.8668477011395,-977.5777445855588,5.595524044110789e-14,-50.22010373722647,-0.04183040765478507,-0.06692865224765612,-0.10039297837148417,3.979039320256561e-13,4.064944409549982e-16,"[106.08429120689902, 2.761390653175747e-16, -7.320557472493367]","[0.0, 0.0, 0.0]",25.709173039435065
query-000000,-57.448111752508574,3.6267285471088444e-15,-4.387144370668802,-565.810092862145,338.2423397397552,-211.9471790111781,-0.03979031460025865,-0.06366450336041385,-0.09549675504062077,89.37818885430939,"[88.98311128743669, 9.356905682366018e-17, -8.39443556674619]",-0.040936537654587074,-0.06549846024733934,-0.098247690371009,0.6248691277610732,"[0.940781078765328, 0.11104795480236536, 0.17767672768378456, 0.26651509152567693]","[0.2046826882729354, 0.3274923012366967, 0.49123845185504506]",nominal-sphere-pseudo_6dof,692.4381187283733,booster-release,-565.810092862145,338.2423397397552,-211.9471790111781,-689.3773410301029,4.3520742565306136e-14,65.03406755197437,32.375818908023206,-35.73355224647755,-107.34735638069132,0.0,0.9720000000000002,0.0,0.9720000000000002,0.9720000000000002,12.0,alpha3-passive-deployment-parent-v1,-0.03979031460025865,-0.06366450336041385,-0.09549675504062077,15.969040080309805,"[267.5701419574226, 7.169057978435096e-17, 992.3603853711403]",0.6361725123519332,native_rigid_body_reuse_instantaneous_projected_area,0.9999999999999997,0.6361725123519334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,query-000000,rigid_body_6dof,pseudo_6dof,18.411455691119087,6.938893903907228e-18,6.938893903907228e-18,,1.5000000000000009,-533.4342739541217,302.5087874932777,-319.29453539186943,691.384619058541,-689.3773410301029,4.3520742565306136e-14,-52.645732448025626,-0.03979031460025865,-0.06366450336041385,-0.09549675504062077,1.7053025658242404e-13,2.46650347551317e-16,"[88.98311128743669, 9.356905682366018e-17, -8.39443556674619]","[0.0, 0.0, 0.0]",34.238423274940594
query-000000,-42.719332099965904,6.143234069592532e-15,-4.504531606423706,-378.47219483857504,296.037185559253,-189.63261563367638,-0.03784971805806542,-0.06055954889290468,-0.09083932333935703,77.18742366050863,"[76.59968538703286, 1.3119328154706825e-16, -9.507185175141544]",-0.03894003915438828,-0.06230406264702124,-0.0934560939705319,0.594393900790926,"[0.9122480664938125, 0.1341814579058537, 0.21469033264936593, 0.3220354989740489]","[0.19470019577194142, 0.3115203132351063, 0.4672804698526595]",nominal-sphere-pseudo_6dof,516.5653360532833,booster-release,-378.47219483857504,296.037185559253,-189.63261563367638,-512.6319851995909,7.37188088351104e-14,63.62542072291552,35.92520652202073,-45.0818801927336,-102.59404925568624,0.0,0.9720000000000002,0.0,0.9720000000000002,0.9720000000000002,12.0,alpha3-passive-deployment-parent-v1,-0.03784971805806542,-0.06055954889290468,-0.09083932333935703,17.774967819307022,"[288.1916188508471, 1.0390294913034364e-16, 990.1232913878803]",0.6361725123519332,native_rigid_body_reuse_instantaneous_projected_area,0.9999999999999997,0.6361725123519334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,query-000000,rigid_body_6dof,pseudo_6dof,23.721648529738857,1.5515838457795457e-17,1.5515838457795457e-17,,1.750000000000001,-342.5469883165543,250.95530536651938,-292.2266648893626,515.4739839882363,-512.6319851995909,7.37188088351104e-14,-54.05437927708448,-0.03784971805806542,-0.06055954889290468,-0.09083932333935703,9.845568954283847e-14,1.910003076800969e-16,"[76.59968538703286, 1.3119328154706825e-16, -9.507185175141544]","[0.0, 0.0, 0.0]",42.64935742174397
query-000000,-33.05130100174833,1.6283271027835629e-15,-4.572777904592014,-257.3186522850646,258.6818148070398,-167.68847794976213,-0.03600376552603912,-0.05760602484166259,-0.08640903726249391,68.04458421002917,"[67.20713767939095, 1.207078418700529e-16, -10.64265405146381]",-0.037040911035019664,-0.05926545765603146,-0.08889818648404721,0.5654049681784626,"[0.8801919869347823, 0.15546623294267567, 0.24874597270828108, 0.3731189590624216]","[0.18520455517509832, 0.2963272882801573, 0.4444909324202361]",nominal-sphere-pseudo_6dof,401.55771162159664,booster-release,-257.3186522850646,258.6818148070398,-167.68847794976213,-396.61561202098,1.9539925233402755e-14,62.806465144895824,37.87802392241068,-54.05079600622577,-97.42844596352062,0.0,0.9720000000000002,0.0,0.9720000000000002,0.9720000000000002,12.0,alpha3-passive-deployment-parent-v1,-0.03600376552603912,-0.05760602484166259,-0.08640903726249391,18.776271745514734,"[306.11728672216327, 1.3654707187480166e-16, 987.6049156212505]",0.6361725123519332,native_rigid_body_reuse_instantaneous_projected_area,0.9999999999999997,0.6361725123519334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,query-000000,rigid_body_6dof,pseudo_6dof,29.02038648056109,0.0,0.0,,2.0000000000000013,-219.44062836265394,204.63101880081405,-265.11692391328273,400.39358958017414,-396.61561202098,1.9539925233402755e-14,-54.873334855104176,-0.03600376552603912,-0.05760602484166259,-0.08640903726249391,1.302446348448666e-13,3.252915087412673e-16,"[67.20713767939095, 1.207078418700529e-16, -10.64265405146381]","[0.0, 0.0, 0.0]",50.845200649975034
query-000000,-26.375128541026772,-1.258252761241844e-15,-4.608573121768914,-175.6502400804716,226.82049705479324,-147.5247848360265,-0.03424784116133673,-0.05479654585813877,-0.08219481878720818,60.97800146562856,"[59.82718057704493, -7.049723459316851e-17, -11.790891694178892]",-0.03523440448697194,-0.0563750471791551,-0.08456257076873268,0.5378298424925033,"[0.8454080883903519, 0.17495712659497548, 0.2799314025519608, 0.41989710382794115]","[0.1761720224348597, 0.2818752358957755, 0.4228128538436634]",nominal-sphere-pseudo_6dof,322.58968809530563,booster-release,-175.6502400804716,226.82049705479324,-147.5247848360265,-316.5015424923213,-1.509903313490213e-14,62.37692253877303,38.40887001704509,-62.476807198373265,-92.03229104151997,0.0,0.9720000000000002,0.0,0.9720000000000002,0.9720000000000002,12.0,alpha3-passive-deployment-parent-v1,-0.03424784116133673,-0.05479654585813877,-0.08219481878720818,19.049479394321082,"[321.96189671670714, 1.306417840419973e-16, 984.8009081896065]",0.6361725123519332,native_rigid_body_reuse_instantaneous_projected_area,0.9999999999999997,0.6361725123519334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,query-000000,rigid_body_6dof,pseudo_6dof,34.170914394369774,6.938893903907228e-18,6.938893903907228e-18,,2.2500000000000004,-137.24137006342653,164.34368985641999,-239.55707587754648,321.29680150214716,-316.5015424923213,-1.509903313490213e-14,-55.30287746122697,-0.03424784116133673,-0.05479654585813877,-0.08219481878720818,1.0634429903501374e-13,3.3098461776720515e-16,"[59.82718057704493, -7.049723459316851e-17, -11.790891694178892]","[0.0, 0.0, 0.0]",58.72972330899684
query-000000,-21.58094708978812,8.881784197001252e-16,-4.620178215712991,-118.84819011197273,200.08667900422967,-129.5381141603277,-0.03257755423842708,-0.052124086781483336,-0.078186130172225,55.39764284854075,"[53.8639719563476, -1.9632251071735293e-16, -12.944935622098601]",-0.03351600230290849,-0.053625603684653626,-0.08043840552698044,0.5115995715556031,"[0.8085907962132942, 0.19272746559745205, 0.30836394495592323, 0.4625459174338848]","[0.16758001151454255, 0.2681280184232681, 0.40219202763490225]",nominal-sphere-pseudo_6dof,266.3450664608739,booster-release,-118.84819011197273,200.08667900422967,-129.5381141603277,-258.97136507745745,1.0658141036401503e-14,62.23766141144411,37.70341826804761,-70.24781245232445,-86.5576826434702,0.0,0.9720000000000002,0.0,0.9720000000000002,0.9720000000000002,12.0,alpha3-passive-deployment-parent-v1,-0.03257755423842708,-0.052124086781483336,-0.078186130172225,18.686505458541866,"[336.148374481982, 9.16148426412091e-17, 981.7089898996771]",0.6361725123519332,native_rigid_body_reuse_instantaneous_projected_area,0.9999999999999997,0.6361725123519334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,query-000000,rigid_body_6dof,pseudo_6dof,39.06182525437235,0.0,0.0,,2.4999999999999996,-81.14477184392511,129.8388665519052,-216.0957968037979,264.839571554846,-258.97136507745745,1.0658141036401503e-14,-55.44213858855589,-0.03257755423842708,-0.052124086781483336,-0.078186130172225,9.099386826154683e-14,3.4358108845793377e-16,"[53.8639719563476, -1.9632251071735293e-16, -12.944935622098601]","[0.0, 0.0, 0.0]",66.22292418650859
query-000000,-18.029732827573895,2.6645352591003757e-15,-4.611734357248699,-78.34579085283147,177.83560766423378,-113.72266867899667,-0.03098872816998998,-0.04958196507198398,-0.074372947607976,50.924514845304884,"[48.933786983007, -2.5245045251784695e-16, -14.099315718550748]",-0.03188140758229423,-0.05101025213167074,-0.07651537819750616,0.4866485660276928,"[0.7703408609353976, 0.20886340639117518, 0.3341814502258803, 0.5012721753388203]","[0.15940703791147107, 0.25505126065835376, 0.3825768909875307]",nominal-sphere-pseudo_6dof,225.15863667453613,booster-release,-78.34579085283147,177.83560766423378,-113.72266867899667,-216.35679393088677,3.197442310920451e-14,62.338987713015605,35.94793376307409,-77.29488843194332,-81.12818011331862,0.0,0.9720000000000002,0.0,0.9720000000000002,0.9720000000000002,12.0,alpha3-passive-deployment-parent-v1,-0.03098872816998998,-0.04958196507198398,-0.074372947607976,17.78658831637425,"[348.9796311739394, 2.9674131593296124e-17, 978.3284143545604]",0.6361725123519332,native_rigid_body_reuse_instantaneous_projected_area,0.9999999999999997,0.6361725123519334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,query-000000,rigid_body_6dof,pseudo_6dof,43.61391027650079,0.0,0.0,,2.7499999999999987,-42.39785708975738,100.54071923229046,-194.85084879231528,223.32234054083224,-216.35679393088677,3.197442310920451e-14,-55.340812286984395,-0.03098872816998998,-0.04958196507198398,-0.074372947607976,1.5888218580782548e-13,7.114477907720811e-16,"[48.933786983007, -2.5245045251784695e-16, -14.099315718550748]","[0.0, 0.0, 0.0]",73.27028452591722
