time_s,north_m,east_m,altitude_m,speed_m_s,phase_index,route_leg_index,phase,route_north_command_m,route_east_command_m,route_altitude_command_m,route_speed_command_m_s,route_heading_command_deg,route_flight_path_command_deg,route_bank_command_deg,route_bank_achieved_deg,route_pitch_achieved_deg,route_heading_achieved_deg,p_rad_s,q_rad_s,r_rad_s,source_force_x_n,source_force_y_n,source_force_z_n,dynamic_pressure_pa,mach,aero_alpha_deg,aero_beta_deg,control_path,response_profile_id,elevator_deg,aileron_deg,rudder_deg,throttle_fraction,allocation_status,allocation_residual_norm,saturation_count
0.0,0.0,0.0,0.0,152.4,0,1,outbound-climb,0.0,0.0,0.0,152.4,90.0,2.254574965935033,0.0,0.0,2.145234829781838,90.0,0.0,0.0,0.0,500.103213400962,0.0,-37369.604898241356,14225.778000000002,0.447869133900138,0.0,0.0,point_mass_3dof,legacy_runner_defaults,-0.7562951013162765,0.0,0.0,0.0893225837337992,reduced_response_law,0.0,0
0.5,4.665904304751416e-15,76.2,0.0,152.4,0,1,outbound-climb,0.0,76.2,3.0,152.4,90.0,2.254574965935033,0.0,0.0,2.145234829781838,90.0,0.0,0.0,0.0,1010.4058588158423,0.0,-46785.41552816562,14225.778000000002,0.447869133900138,0.37576249432250547,0.0,point_mass_3dof,legacy_runner_defaults,-0.7562951013162765,0.0,0.0,0.0893225837337992,reduced_response_law,0.0,0
1.0,9.331708266782586e-15,152.39836127901833,0.4997383237261838,152.4,0,1,outbound-climb,0.0,152.4,6.0,152.4,90.0,2.254574965935033,0.0,0.0,2.145234829781838,90.0,0.0,0.0,0.0,1435.5865398193719,0.0,-54629.398436268384,14225.120259919915,0.44787165793516387,0.6888979062579267,0.0,point_mass_3dof,legacy_runner_defaults,-0.7562951013162765,0.0,0.0,0.0893225837337992,reduced_response_law,0.0,0
1.5,1.3997275311356267e-14,228.59285340233146,1.415909743482055,152.4,0,1,outbound-climb,0.0,228.60000000000002,9.0,152.4,90.0,2.254574965935033,0.0,0.0,2.145234829781838,90.0,0.0,0.0,0.0,1789.785844963846,0.0,-61162.66841088376,14223.914423516359,0.44787628536522195,0.9498440828707777,0.0,point_mass_3dof,legacy_runner_defaults,-0.7562951013162765,0.0,0.0,0.0893225837337992,reduced_response_law,0.0,0
2.0,1.866253847257804e-14,304.7823827338891,2.6790883673171644,152.4,0,1,outbound-climb,0.0,304.8,12.0,152.4,90.0,2.254574965935033,0.0,0.0,2.145234829781838,90.0,0.0,0.0,0.0,2084.804526970044,0.0,-66603.13329110286,14222.251866994762,0.4478826657063949,1.1672992300481537,0.0,point_mass_3dof,legacy_runner_defaults,-0.7562951013162765,0.0,0.0,0.0893225837337992,reduced_response_law,0.0,0
2.5,2.33274744773042e-14,380.96656919441097,4.2314199518813735,152.4,0,1,outbound-climb,0.0,381.0,15.0,152.4,90.0,2.254574965935033,0.0,0.0,2.145234829781838,90.0,0.0,0.0,0.0,2330.4878461816616,0.0,-71132.59131678902,14220.208736315612,0.4478905069385747,1.348511852695967,0.0,point_mass_3dof,legacy_runner_defaults,-0.7562951013162765,0.0,0.0,0.0893225837337992,reduced_response_law,0.0,0
3.0,2.7992086521599026e-14,457.14546497958776,6.02469543299881,152.4,0,1,outbound-climb,0.0,457.20000000000005,18.0,152.4,90.0,2.254574965935033,0.0,0.0,2.145234829781838,90.0,0.0,0.0,0.0,2535.047652552057,0.0,-74902.67870568064,14217.848482753769,0.4478995657539941,1.4995223715691446,0.0,point_mass_3dof,legacy_runner_defaults,-0.7562951013162765,0.0,0.0,0.0893225837337992,reduced_response_law,0.0,0
3.5,3.2656392955491587e-14,533.3193697681363,8.018743894082213,152.4,0,1,outbound-climb,0.0,533.4,21.0,152.4,90.0,2.254574965935033,0.0,0.0,2.145234829781838,90.0,0.0,0.0,0.0,2705.3320220626956,0.0,-78039.84873839856,14215.223978023556,0.4479096394290026,1.6253644706301258,0.0,point_mass_3dof,legacy_runner_defaults,-0.7562951013162765,0.0,0.0,0.0893225837337992,reduced_response_law,0.0,0
4.0,3.732041996332814e-14,609.4887111828826,10.180092649792215,152.4,0,1,outbound-climb,0.0,609.6,24.0,152.4,90.0,2.254574965935033,0.0,0.0,2.145234829781838,90.0,0.0,0.0,0.0,2847.0508007303706,0.0,-80649.5366148629,14212.37927783512,0.44792055905113654,1.7302328865142773,0.0,point_mass_3dof,legacy_runner_defaults,-0.7562951013162765,0.0,0.0,0.0893225837337992,reduced_response_law,0.0,0
4.5,4.1984196929150916e-14,685.6539691016536,12.480850387384661,152.4,0,1,outbound-climb,0.0,685.8000000000001,27.0,152.4,90.0,2.254574965935033,0.0,0.0,2.145234829781838,90.0,0.0,0.0,0.0,2964.9641373159884,0.0,-82819.6408513785,14209.351091869115,0.44793218387654354,1.8176232330844033,0.0,point_mass_3dof,legacy_runner_defaults,-0.7562951013162765,0.0,0.0,0.0893225837337992,reduced_response_law,0.0,0
5.0,4.6647753591878326e-14,761.8156291978439,14.897776408672119,152.4,0,1,outbound-climb,0.0,762.0,30.0,152.4,90.0,2.254574965935033,0.0,0.0,2.145234829781838,90.0,0.0,0.0,0.0,3063.039988880566,0.0,-84623.43172770643,14206.17000881159,0.4479443966295203,1.8904485218928415,0.0,point_mass_3dof,legacy_runner_defaults,-0.7562951013162765,0.0,0.0,0.0893225837337992,reduced_response_law,0.0,0
5.5,5.131111838106577e-14,837.9741557613276,17.41150504938915,152.4,0,1,outbound-climb,0.0,838.2,33.0,152.4,90.0,2.254574965935033,0.0,0.0,2.145234829781838,90.0,0.0,0.0,0.0,3144.585643548042,0.0,-86121.97993700723,14202.861517149131,0.4479570995869735,1.9511362625665403,0.0,point_mass_3dof,legacy_runner_defaults,-0.7562951013162765,0.0,0.0,0.0893225837337992,reduced_response_law,0.0,0
6.0,5.5974317520578506e-14,914.1299770603247,20.0058994440825,152.4,0,1,outbound-climb,0.0,914.4000000000001,36.0,152.4,90.0,2.254574965935033,0.0,0.0,2.145234829781838,90.0,0.0,0.0,0.0,3212.3575038908266,0.0,-87366.18379971899,14199.446855723503,0.44797021131669784,2.0017093797946224,0.0,point_mass_3dof,legacy_runner_defaults,-0.7562951013162765,0.0,0.0,0.0893225837337992,reduced_response_law,0.0,0
6.5,6.063737462227066e-14,990.2834787056768,22.667513080836592,152.4,0,1,outbound-climb,0.0,990.6,39.0,152.4,90.0,2.254574965935033,0.0,0.0,2.145234829781838,90.0,0.0,0.0,0.0,3268.6526945745245,0.0,-88398.46084856648,14195.943722416567,0.44798366396022127,2.0438536441513575,0.0,point_mass_3dof,legacy_runner_defaults,-0.7562951013162765,0.0,0.0,0.0893225837337992,reduced_response_law,0.0,0
7.0,6.530031058390249e-14,1066.4350019837084,25.385141170812037,152.4,0,1,outbound-climb,0.0,1066.8,42.0,152.4,90.0,2.254574965935033,0.0,0.0,2.145234829781838,90.0,0.0,0.0,0.0,3315.3854828823123,0.0,-89254.15897297047,14192.366864623842,0.44799740096920343,2.0789738644486366,0.0,point_mass_3dof,legacy_runner_defaults,-0.7562951013162765,0.0,0.0,0.0893225837337992,reduced_response_law,0.0,0
7.5,6.99631436683055e-14,1142.5848451490922,28.14944684990487,152.4,0,1,outbound-climb,0.0,1143.0,45.0,152.4,90.0,2.254574965935033,0.0,0.0,2.145234829781838,90.0,0.0,0.0,0.0,3354.1510156571367,0.0,-89962.73335317179,14188.728571236235,0.4480113752195988,2.10824071469637,0.0,point_mass_3dof,legacy_runner_defaults,-0.7562951013162765,0.0,0.0,0.0893225837337992,reduced_response_law,0.0,0
8.0,7.462588968339586e-14,1218.733266364691,30.952649727285458,152.4,0,1,outbound-climb,0.0,1219.2,48.0,152.4,90.0,2.254574965935033,0.0,0.0,2.145234829781838,90.0,0.0,0.0,0.0,3386.2784678858143,0.0,-90548.72787421697,14185.039082562811,0.4480255474404716,2.13262975656948,0.0,point_mass_3dof,legacy_runner_defaults,-0.7562951013162765,0.0,0.0,0.0893225837337992,reduced_response_law,0.0,0
8.5,7.928856221137613e-14,1294.8804874447053,33.788266378286814,152.4,0,1,outbound-climb,0.0,1295.4,51.0,152.4,90.0,2.254574965935033,0.0,0.0,2.145234829781838,90.0,0.0,0.0,0.0,3412.875355072252,0.0,-91032.59337455979,14181.306931886002,0.4480398849049082,2.1529539581304054,0.0,point_mass_3dof,legacy_runner_defaults,-0.7562951013162765,0.0,0.0,0.0893225837337992,reduced_response_law,0.0,0
9.0,8.39511728547266e-14,1371.026697872018,36.650894115070756,152.4,0,1,outbound-climb,0.0,1371.6000000000001,54.0,152.4,90.0,2.254574965935033,0.0,0.0,2.145234829781838,90.0,0.0,0.0,0.0,3434.8644737081713,0.0,-91431.36976875062,14177.539230055952,0.44805436033926116,2.1698907927645106,0.0,point_mass_3dof,legacy_runner_defaults,-0.7562951013162765,0.0,0.0,0.0893225837337992,reduced_response_law,0.0,0
9.5,8.861373147938368e-14,1447.1720587695984,39.53603081499649,152.4,0,1,outbound-climb,0.0,1447.8,57.0,152.4,90.0,2.254574965935033,0.0,0.0,2.145234829781838,90.0,0.0,0.0,0.0,3453.0146929477023,0.0,-91759.25462964355,14173.741902626838,0.4480689510142845,2.184004821626264,0.0,point_mass_3dof,legacy_runner_defaults,-0.7562951013162765,0.0,0.0,0.0893225837337992,reduced_response_law,0.0,0
10.0,9.327624644390496e-14,1523.3167066430506,42.43992479170845,152.4,0,1,outbound-climb,0.0,1524.0,60.0,152.4,90.0,2.254574965935033,0.0,0.0,2.145234829781838,90.0,0.0,0.0,0.0,3467.9666186726554,0.0,-92028.07708691715,14169.919887451857,0.44808363798779877,2.195766512344392,0.0,point_mass_3dof,legacy_runner_defaults,-0.7562951013162765,0.0,0.0,0.0893225837337992,reduced_response_law,0.0,0
